article_title,paragraph_index,agreed_text,category,subcategory,bagozzi_text,inhouse_text,bagozzi_category,bagozzi_subcategory,inhouse_category,inhouse_subcategory,inhouse_vote_pattern
Biden Criticizes Amazon For Paying $0 In Corporate Taxes,2,amazon crushes small companies,Persuasive Propaganda,Exaggeration,Amazon crushes small companies,Amazon crushes small companies by copying the goods,Persuasive Propaganda,Exaggeration,inflammatory language,demonization,3-0
Buzzfeed Journalists Protest In Push For Union Recognition,0,recognize the buzzfeed union!!,Persuasive Propaganda,Slogans,Recognize the BuzzFeed Union!!,"Recognize the BuzzFeed Union!!""",Persuasive Propaganda,Slogans,persuasive propaganda,slogans,2-1
Buzzfeed Journalists Protest In Push For Union Recognition,1,skyrocketing health insurance costs,Persuasive Propaganda,Exaggeration,skyrocketing health insurance costs,"unfair pay disparities, mismanaged pivots and layoffs, weak benefits, skyrocketing health insurance costs, diversity, and more",Persuasive Propaganda,Exaggeration,persuasive propaganda,exaggeration,2-1
Dc Mayor Says Trump'S Fourth Of July Celebration Emptied Security Fund,2,baby trump,Inflammatory Language,Name-Calling,Baby Trump,"Baby Trump"" balloon and a ""Dump Trump"" r",Inflammatory Language,Name-Calling,inflammatory language,name-calling,3-0
Dc Mayor Says Trump'S Fourth Of July Celebration Emptied Security Fund,2,Dump Trump,Persuasive Propaganda,Slogans,Dump Trump,"""Dump Trump"" robot to protest the president",Persuasive Propaganda,Slogans,inflammatory language,name-calling,3-0
Did Jared Kushner Violate The Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,1,his many deceptions regarding his security clearance,Persuasive Propaganda,Doubt,his many deceptions regarding his security clearance,benefited from special treatment; as with his many deceptions regarding his security clearance this is something no rank-and-file federal employee would get away with,Persuasive Propaganda,Doubt,inflammatory language,demonization,2-1
"Donald Trump Jr. Mocks Roy Moore After Campaign Announcement, Reigniting Feud",0,based on the allegations i'd stay away from that,Persuasive Propaganda,Doubt,based on the allegations i'd stay away from that,"more personal contact with people."" ""This can't be real... can it? Based on the allegations I'd stay away from that but hey I'm new",Persuasive Propaganda,Doubt,inflammatory language,demonization,3-0
"Donald Trump Jr. Mocks Roy Moore After Campaign Announcement, Reigniting Feud",2,"nominating roy moore would be gift wrapping this senate seat for chuck schumer,",Persuasive Propaganda,Exaggeration,"nominating Roy Moore would be gift wrapping this Senate seat for Chuck Schumer,",We believe most Alabama Republicans realize that nominating Roy Moore would be gift wrapping this Senate seat for Chuck Schumer,Persuasive Propaganda,Exaggeration,persuasive propaganda,exaggeration,3-0
"Donald Trump Jr. Mocks Roy Moore After Campaign Announcement, Reigniting Feud",2,"""abrm,"" which stands for ""anyone but roy moore.""",Persuasive Propaganda,Slogans,"""ABRM,"" which stands for ""anyone but Roy Moore.""","The National Republican Senatorial Committee has said its motto in the race is ""ABRM,"" which stands for ""anyone but Roy Moore.""",Persuasive Propaganda,Slogans,persuasive propaganda,slogans,3-0
Donald Trump'S Criminal Justice Reform Shows Results,2,an 18-year-old makes a mistake,Persuasive Propaganda,Exaggeration,an 18-year-old makes a mistake,"Too often, an 18-year-old makes a mistake for which he will pay until he's 90 years old",Persuasive Propaganda,Exaggeration,persuasive propaganda,exaggeration,3-0
"Editorial: Six Months After California'S Landmark Police Transparency Law, Many Agencies Still Won'T Release Their Records",0,compliance with the law is optional,Persuasive Propaganda,Exaggeration,compliance with the law is optional,But the biggest thing we've learned is that many police departments believe that compliance with the law is optiona,Persuasive Propaganda,Exaggeration,inflammatory language,demonization,2-1
"Editorial: Six Months After California'S Landmark Police Transparency Law, Many Agencies Still Won'T Release Their Records",1,deliberately sandbagging the release of these records,Persuasive Propaganda,Doubt,deliberately sandbagging the release of these records,"""Law enforcement in San Francisco is deliberately sandbagging the release of these records,""",Persuasive Propaganda,Doubt,persuasive propaganda,doubt,2-1
"Editorial: Six Months After California'S Landmark Police Transparency Law, Many Agencies Still Won'T Release Their Records",1,this is lawless conduct,Persuasive Propaganda,Exaggeration,This is lawless conduct,"This is lawless conduct, and it's depriving the public from the right to know about the activities of police in their communities",Persuasive Propaganda,Exaggeration,persuasive propaganda,bandwagon,3-0
"Editorial: Six Months After California'S Landmark Police Transparency Law, Many Agencies Still Won'T Release Their Records",2,becerra's obvious bias toward the police groups could prove an obstacle,Persuasive Propaganda,Doubt,Becerra's obvious bias toward the police groups could prove an obstacle,"Becerra's obvious bias toward the police groups could prove an obstacle, too.",Persuasive Propaganda,Doubt,inflammatory language,demonization,3-0
'Every American Is Entitled To Health Care': Sen. Bernie Sanders,1,private corporations to make billions of dollars in profits off americans' health care,Inflammatory Language,Scapegoating,private corporations to make billions of dollars in profits off Americans' health care,no longer private corporations to make billions of dollars in profits off Americans' health care.,Inflammatory Language,Scapegoating,inflammatory language,demonization,2-1
'Every American Is Entitled To Health Care': Sen. Bernie Sanders,1,the greed of the health insurance and pharmaceutical industries,Inflammatory Language,Scapegoating,the greed of the health insurance and pharmaceutical industries,"f you support Medicare for all, you have to be willing to end the greed of the health insurance and pharmaceutical industries",Inflammatory Language,Scapegoating,inflammatory language,demonization,2-1
'Every American Is Entitled To Health Care': Sen. Bernie Sanders,1,dysfunctional system,Persuasive Propaganda,Exaggeration,dysfunctional system,That means boldly transforming our dysfunctional system by ending the use of private health insurance,Persuasive Propaganda,Exaggeration,persuasive propaganda,doubt,2-1
Gabbard Was Most Searched Democratic Candidate After Debate Despite Getting Third-Lowest Speaking Time,0,chicken hawk cabinet,Inflammatory Language,Name-Calling,chicken hawk cabinet,"this president and his chicken hawk cabinet have led us to the brink of war with Iran.""",Inflammatory Language,Name-Calling,inflammatory language,name-calling,3-0
Gabbard Was Most Searched Democratic Candidate After Debate Despite Getting Third-Lowest Speaking Time,1,"weren't in there, they started flying planes into our buildings,""",Persuasive Propaganda,Casual Oversimplification,"When we weren't in there, they started flying planes into our buildings","weren't in there, they started flying planes into our buildings,""",Persuasive Propaganda,Casual Oversimplification,persuasive propaganda,casual oversimplification,3-0
Gabbard Was Most Searched Democratic Candidate After Debate Despite Getting Third-Lowest Speaking Time,2,they're giving her more time than all the other candidates combined,Persuasive Propaganda,Exaggeration,They're giving her more time than all the other candidates combined,It's clear who MSNBC wants to be president: Elizabeth Warren. They're giving her more time than all the other candidates combined.,Persuasive Propaganda,Exaggeration,persuasive propaganda,doubt,3-0
George Conway Urges Trump To Resign Over Aborted Iran Strike,0,trump didn't realize until ten minutes beforehand that a planned airstrike would kill over a hundred people,Persuasive Propaganda,Doubt,trump didn't realize until ten minutes beforehand that a planned airstrike would kill over a hundred people,Trump didn't realize UNTIL TEN MINUTES BEFOREHAND that a planned airstrike would kill over a hundred people,Persuasive Propaganda,Doubt,persuasive propaganda,doubt,3-0
George Conway Urges Trump To Resign Over Aborted Iran Strike,0,to say this is amateur hour would defame amateurs,Persuasive Propaganda,Exaggeration,To say this is amateur hour would defame amateurs,"To say this is amateur hour would defame amateurs.""",Persuasive Propaganda,Exaggeration,persuasive propaganda,doubt,3-0
George Conway Urges Trump To Resign Over Aborted Iran Strike,0,even more of an idiot than people think you are,Inflammatory Language,Name-Calling,even more of an idiot than people think you are,"Resign. If you didn't know this until it was almost too late, you're even more of an idiot than people think you are",Inflammatory Language,Name-Calling,inflammatory language,name-calling,3-0
George Conway Urges Trump To Resign Over Aborted Iran Strike,1,to say this is amateur hour would defame amateurs,Persuasive Propaganda,Exaggeration,To say this is amateur hour would defame amateurs,To say this is amateur hour would defame amateurs,Persuasive Propaganda,Exaggeration,inflammatory language,name-calling,2-1
George Conway Urges Trump To Resign Over Aborted Iran Strike,1,even more of an idiot than people think you are,Inflammatory Language,Name-Calling,even more of an idiot than people think you are,"If you didn't know this until it was almost too late, you're even more of an idiot than people think you are.",Inflammatory Language,Name-Calling,inflammatory language,name-calling,3-0
George Conway Urges Trump To Resign Over Aborted Iran Strike,3,"erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man",Inflammatory Language,Name-Calling,"erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man","""erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man whose judgment no serious, intelligent person trusts",Inflammatory Language,Name-Calling,inflammatory language,demonization,3-0
George Conway Urges Trump To Resign Over Aborted Iran Strike,3,"whose judgment no serious, intelligent person trusts",Persuasive Propaganda,Bandwagon,"whose judgment no serious, intelligent person trusts","whose judgment no serious, intelligent person trusts",Persuasive Propaganda,Bandwagon,persuasive propaganda,bandwagon,2-1
Gop Lawmaker Suggests Colin Kaepernick Move To A Different Country,1,very radical people in the united states of america who don't like america,Inflammatory Language,Name-Calling,very radical people in the United States of America who don't like America,"""very radical people in the United States of America who don't like America.",Inflammatory Language,Name-Calling,inflammatory language,name-calling,4-0
"'If You'Re Directly Complicit In Spreading Hate, Consider Dining At Home': Restaurant Owner Who Kicked Sarah Sanders Out Last Year Defends Chicago Server Who Spat On Eric Trump In A Cocktail Bar",0,politicians involved in 'spreading hate' should consider dining at home,Inflammatory Language,Demonization,politicians involved in 'spreading hate' should consider dining at home,"who spat in Eric Trump's face last week, saying politicians involved in 'spreading hate' should consider dining at home",Inflammatory Language,Demonization,inflammatory language,demonization,2-1
"'If You'Re Directly Complicit In Spreading Hate, Consider Dining At Home': Restaurant Owner Who Kicked Sarah Sanders Out Last Year Defends Chicago Server Who Spat On Eric Trump In A Cocktail Bar",1,administration that has made its name trashing norms and breaking backs,Inflammatory Language,Demonization,administration that has made its name trashing norms and breaking backs,an administration that has made its name trashing norms and breaking backs,Inflammatory Language,Demonization,inflammatory language,demonization,3-0
Meghan Markle Has Been Branded 'Difficult' By Tabloids. It'S The Same Sexism That Demonizes Driven Women In The Workplace.,0,duchess difficult,Inflammatory Language,Name-Calling,duchess difficult,"duchess difficult,"" Me-Gain,"" and ""Hurricane Meghan.",Inflammatory Language,Name-Calling,inflammatory language,name-calling,3-0
"Ocasio-Cortez, Sanders Call For Climate Change Emergency Mobilization, Seeks A Re-Do Of Failed Green New Deal",0,so-called emergency.,Persuasive Propaganda,Doubt,so-called emergency.,address the so-called emergency.,Persuasive Propaganda,Doubt,persuasive propaganda,casual oversimplification,2-1
"Ocasio-Cortez, Sanders Call For Climate Change Emergency Mobilization, Seeks A Re-Do Of Failed Green New Deal",1,"a radical, top-down, socialist makeover of the entire u.s. economy",Inflammatory Language,Name-Calling,"a radical, top-down, socialist makeover of the entire U.S. economy","""a radical, top-down, socialist makeover of the entire U.S. economy.""",Inflammatory Language,Name-Calling,inflammatory language,name-calling,2-1
