group_index,annotation_index,subcategory,span,accept,deny,total,accept_rate
8,0,No Polarizing language,no polarizing language selected,1,3,4,0.25
8,2,No Polarizing language,no polarizing language selected,1,3,4,0.25
11,3,exaggeration,a slew of recent anti-abortion legislation across the country,0,2,2,0.0
4,1,No Polarizing language,no polarizing language selected,2,2,4,0.5
8,1,No Polarizing language,no polarizing language selected,2,2,4,0.5
10,0,exaggeration,raising fears that environmental rollbacks seen in the United States may be spreading to Europe,4,2,6,0.6666666666666666
3,0,No Polarizing language,no polarizing language selected,2,1,3,0.6666666666666666
3,1,No Polarizing language,no polarizing language selected,2,1,3,0.6666666666666666
6,1,No Polarizing language,no polarizing language selected,2,1,3,0.6666666666666666
6,2,No Polarizing language,no polarizing language selected,2,1,3,0.6666666666666666
7,1,No Polarizing language,no polarizing language selected,2,1,3,0.6666666666666666
5,0,No Polarizing language,no polarizing language selected,4,1,5,0.8
