index,title,topic,source,rating,provider,model,prompt_file,temperature,raw_json
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",legal arguments,The Washington Post,left,gemini,gemini-3.1-flash-lite,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""title"": ""'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki"",
  ""topic"": ""legal arguments"",
  ""source"": ""The Washington Post"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""Video by CNBC Of all the critical statements issued about Monday's Helsinki happenings, the one by Senate Armed Services Chairman John McCain perhaps stood out the most, as the Arizona Republican accused President Donald Trump of making a \""tragic mistake\"" in his meetings with Russian President Vladimir Putin and the joint press conference that followed."",
      ""openFeedback"": ""Reporting on a statement made by a politician without using inflammatory language to describe the events themselves."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""The Republican pulled no punches in his latest verbal fisticuffs with the president, issuing a lengthy statement from Arizona about what may he thinks may be incalculable damage to U.S. foreign policy. McCain's absence from the Capitol has been obvious throughout his battle with brain cancer, but no more so than during debates over the relationship between the United States and Russia, as well as between the U.S. and NATO allies."",
      ""openFeedback"": ""Descriptive summary of the political context."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""The full statement from McCain appears below: \""Today's press conference in Helsinki was one of the most disgraceful performances by an American president in memory."",
      ""openFeedback"": ""Using the loaded label 'disgraceful' to shape the audience's perception of the performance."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""He and Putin seemed to be speaking from the same script as the president made a conscious choice to defend a tyrant against the fair questions of a free press"",
      ""openFeedback"": ""The term 'tyrant' is used to cast the target in a highly negative and dangerous light."",
      ""paragraphIndex"": 3
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""It is tempting to describe the press conference as a pathetic rout as an illustration of the perils of under-preparation and inexperience."",
      ""openFeedback"": ""Uses the loaded negative label 'pathetic rout' to discredit the event."",
      ""paragraphIndex"": 4
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""Coming close on the heels of President Trump's bombastic and erratic conduct towards our closest friends and allies in Brussels and Britain, today's press conference marks a recent low point in the history of the American Presidency."",
      ""openFeedback"": ""While critical, this is standard political critique of presidential behavior."",
      ""paragraphIndex"": 5
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""That the president was attended in Helsinki by a team of competent and patriotic advisors makes his blunders and capitulations all the more painful and inexplicable."",
      ""openFeedback"": ""Using the loaded term 'capitulations' to frame the actions negatively."",
      ""paragraphIndex"": 6
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""No prior president has ever abased himself more abjectly before a tyrant."",
      ""openFeedback"": ""Uses the term 'tyrant' to frame the interaction as one between a corrupt figure and a leader."",
      ""paragraphIndex"": 7
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""Get breaking news alerts and more from Roll Call on your iPhone or your Android ."",
      ""openFeedback"": ""Standard promotional text."",
      ""paragraphIndex"": 8
    }
  ]
}"
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",legal arguments,The Washington Post,left,gemini,gemini-3.1-flash-lite,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""title"": ""trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house"",
  ""topic"": ""legal arguments"",
  ""source"": ""The Washington Post"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""The Failing New York Times or the Amazon (lobbyist) Washington Post! They are both a disgrace to our Country"",
      ""openFeedback"": ""The subject uses pejorative labels like 'Failing' and 'disgrace' to discredit the media outlets."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""They are both a disgrace to our Country, the Enemy of the People"",
      ""openFeedback"": ""Labeling the press as 'Enemy of the People' is a clear attempt to demonize the institutions."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""slogans"",
      ""text"": ""KEEP AMERICA GREAT"",
      ""openFeedback"": ""The use of a recognizable campaign slogan intended to evoke patriotic support."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""often referring to it as the \""enemy of the people.\"""",
      ""openFeedback"": ""Repeated use of dehumanizing rhetoric toward the press corps."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""This is a virtual act of Treason by a once great paper so desperate for a story"",
      ""openFeedback"": ""Using the loaded term 'Treason' to characterize journalistic activity without evidence."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""The Times, citing current and former government officials, noted that the actions are a warning to Moscow on how the Trump administration is using new authorities to unleash cyber tools in an aggressive manner."",
      ""openFeedback"": ""This paragraph provides factual reporting on the newspaper's process."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""text"": ""The Fake News has never been more dishonest than it is today."",
      ""openFeedback"": ""Hyperbolic claim intended to discredit the media landscape."",
      ""paragraphIndex"": 3
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""Polls released in the past week have shown Trump trailing multiple Democratic presidential contenders in hypothetical 2020 matchups."",
      ""openFeedback"": ""This is a neutral summary of polling data."",
      ""paragraphIndex"": 4
    }
  ]
}"
2,'Every American is entitled to health care': Sen. Bernie Sanders,health,ABC News,left,gemini,gemini-3.1-flash-lite,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""title"": ""'Every American is entitled to health care': Sen. Bernie Sanders"",
  ""topic"": ""health"",
  ""source"": ""ABC News"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""international embarrassment of not guaranteeing health care as a right"",
      ""openFeedback"": ""The speaker uses a loaded negative label to characterize the current US healthcare system."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""The following morning she walked back her support of eliminating private insurance on MSNBC , saying that she had misunderstood the question and she would not eliminate private insurance in favor of Medicare for all, but does support Sanders' proposal for a single-payer government-run insurance plan."",
      ""openFeedback"": ""Reporting on a political candidate's stance change without using inflammatory or propagandistic language."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""end the greed of the health insurance and pharmaceutical industries"",
      ""openFeedback"": ""Using the term 'greed' to characterize entire industries as morally corrupt."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""boldly transforming our dysfunctional system"",
      ""openFeedback"": ""Using a loaded negative label to describe the existing healthcare system."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""Referencing a Wall Street Journal editorial claiming that he has \""set the Democratic agenda,\"" the senator touted both nights of the debate as a victory during a campaign stop in Hudson, New Hampshire."",
      ""openFeedback"": ""Neutral reporting of the senator's campaign activities."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""So how did we win a debate that we weren't even participating in? Because of New Hampshire and 21 other states that supported our agenda, other Democratic candidates now understand that they have got to talk to the needs of the working class of this country"",
      ""openFeedback"": ""The senator is quoting his own speech regarding political strategy; while rhetorical, it does not fit the specific inflammatory or propaganda categories."",
      ""paragraphIndex"": 3
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""This is a developing news story. Please check back for updates."",
      ""openFeedback"": ""Standard journalistic sign-off."",
      ""paragraphIndex"": 4
    }
  ]
}"
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,crime,CBS News,left,gemini,gemini-3.1-flash-lite,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""title"": ""Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets"",
  ""topic"": ""crime"",
  ""source"": ""CBS News"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""The paragraph provides a factual report of the police department's actions and the protesters' requests without using inflammatory or propagandistic language."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""calling for hearings on the racist police who posted on Facebook"",
      ""openFeedback"": ""The term 'racist police' serves as a loaded label to discredit the group involved without nuance."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""This paragraph reports on the protesters' attendance at the council meeting and quotes their demands without using loaded rhetoric."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""causal oversimplification"",
      ""text"": ""the more officers that are taken off the streets, the more vulnerable the city becomes to the crime wave"",
      ""openFeedback"": ""This statement simplifies the complex issue of crime rates by directly attributing it to the removal of specific officers."",
      ""paragraphIndex"": 3
    }
  ]
}"
4,the latest: nadler says panel will move quickly on mcgahn,politics,Louisville Courier Journal,left,gemini,gemini-3.1-flash-lite,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""title"": ""the latest: nadler says panel will move quickly on mcgahn"",
  ""topic"": ""politics"",
  ""source"": ""Louisville Courier Journal"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""The paragraph provides a factual account of the House Judiciary Committee's proceedings and legal strategies without using loaded language."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""The paragraph describes legislative processes and political strategies neutrally."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""He called her \""Nervous Nancy\"" after it was reported she privately told Democrats she'd rather see him voted out of office"",
      ""openFeedback"": ""The use of 'Nervous Nancy' constitutes a derogatory label applied to a political figure."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""The paragraph reports on the content of a House resolution in a factual manner."",
      ""paragraphIndex"": 3
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""The paragraph explains the legal reasoning behind the House vote without using bias or loaded terms."",
      ""paragraphIndex"": 4
    }
  ]
}"
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,crime,CBS,left,gemini,gemini-3.1-flash-lite,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""title"": ""'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized"",
  ""topic"": ""crime"",
  ""source"": ""CBS"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""PHILADELPHIA (CBS) Neighbors are upset after a mural honoring a fallen Philadelphia police officer was vandalized on Thursday. The mural was dedicated to Sgt. Robert Wilson in 2017. Wilson was killed in the line of duty when he walked in on an attempted robbery at a North Philadelphia GameStop in 2015. Wilson went to the store to buy a gift for his son's birthday. The Philadelphia FOP is offering a $10,000 reward for any information that leads to the arrest of the vandal."",
      ""openFeedback"": ""The paragraph provides factual context regarding the incident without using inflammatory or propagandistic language."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""It's sickening and disgusting that some low-life would deface the mural of hero and fallen-officer, Robert Wilson III"",
      ""openFeedback"": ""The quote uses loaded, derogatory labels like 'low-life' to characterize the perpetrator."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""We will never forget Rob's bravery, courage and valor when he saved lives inside that GameStop store.'I'm Disgusted': Family Of Murdered Philadelphia Police Sgt. Robert Wilson III Frustrated With Killers' Plea Deal Denise Hooks, the owner of the Strawberry Mansion building where the mural is painted, is speaking out."",
      ""openFeedback"": ""These are personal expressions of grief and remembrance and do not target a group for disparagement."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""I don't know if this is a racial slur against the police, or if it's a slur because they want this neighborhood back, but there's something going on around here, Hooks said. It's terrible because I feel like his mother got to see this, his son got to see this, his sister has to see this and they already buried their son, their father, their brother. We loved Officer Wilson, he was a hero."",
      ""openFeedback"": ""The subject is speculating about motives; while subjective, it does not fit the specific definitions of propaganda or inflammatory attacks on a group."",
      ""paragraphIndex"": 3
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""One year ago, the DA of this city set this tone of disrespect for the city by slighting Sgt. Wilson, III by offering a backdoor plea and denying him a trial."",
      ""openFeedback"": ""Accusing the public official of actively fostering 'disrespect' for the city as an institution borders on demonization by casting the DA as an antagonist to social order."",
      ""paragraphIndex"": 4
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""causal oversimplification"",
      ""text"": ""If the DA, top persecutor of this city, can tarnish the efforts and life of a slain officer while backing criminals then, why should any other layman warrant any real respect and keep their memory alive?"",
      ""openFeedback"": ""This suggests a complex legal plea deal is a direct cause for a total societal collapse of respect, which is an oversimplification of the relationship between legal process and social conduct."",
      ""paragraphIndex"": 5
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""Stating this is not to take away from the shaming and defacement of Sgt. Wilson's mural. It has enhanced the ignorance and disrespect shown toward our officers as the consequences of such are as minuscule as a slap on the wrist."",
      ""openFeedback"": ""This paragraph expresses personal frustration and critique of sentencing, not explicit propaganda or inflammatory targeting."",
      ""paragraphIndex"": 6
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""Yes, my brother was an officer of the Philadelphia Police Department. He was also a man who put his life on the line to protect and save the lives of those in that GameStop. He lost his life and, in any capacity, that should be enough to warrant respect. If you know anything about this graffiti, call police."",
      ""openFeedback"": ""The paragraph concludes with a summary of the officer's service and a call for information, which is non-inflammatory."",
      ""paragraphIndex"": 7
    }
  ]
}"
6,george conway urges trump to resign over aborted iran strike,science,The Boston Globe,left,gemini,gemini-3.1-flash-lite,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""title"": ""george conway urges trump to resign over aborted iran strike"",
  ""topic"": ""science"",
  ""source"": ""The Boston Globe"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""The paragraph provides a factual summary of the events and the context of the tweets without using inflammatory rhetoric."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""you're even more of an idiot than people think you are"",
      ""openFeedback"": ""The subject uses a derogatory label to disparage the individual rather than engaging in policy debate."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""This paragraph describes the social media posts and the event timeline without using propagandistic language."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""The paragraph reports on the diplomatic claims and counter-claims between U.S. and Iranian officials."",
      ""paragraphIndex"": 3
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""The paragraph summarizes official statements regarding the incident without bias."",
      ""paragraphIndex"": 4
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man"",
      ""openFeedback"": ""The use of multiple heavily loaded negative labels is intended to discredit the target through name-calling."",
      ""paragraphIndex"": 5
    }
  ]
}"
7,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,legal arguments,Newsweek,left,gemini,gemini-3.1-flash-lite,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""title"": ""Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings"",
  ""topic"": ""legal arguments"",
  ""source"": ""Newsweek"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""This paragraph reports on a request for investigation and summarizes factual allegations without using inflammatory labels or propaganda techniques."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""Jared Kushner has repeatedly benefited from special treatment; as with his many deceptions regarding his security clearance"",
      ""openFeedback"": ""The use of the term 'deceptions' serves as a loaded label to characterize the subject's conduct negatively without presenting neutral evidence."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""Jared Kushner lied on his SF-86 form and must lose his security clearance"",
      ""openFeedback"": ""The word 'lied' is used as a loaded, emotionally charged term to shape the audience's perception of the individual's character."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""This paragraph provides context regarding the White House's response and notes related article headlines without applying inflammatory rhetoric in the main text body."",
      ""paragraphIndex"": 3
    }
  ]
}"
8,"ron desantis signs amendment 4 bill, limiting felon voting",environmental issues,The Sacramento Bee,left,gemini,gemini-3.1-flash-lite,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""title"": ""ron desantis signs amendment 4 bill, limiting felon voting"",
  ""topic"": ""environmental issues"",
  ""source"": ""The Sacramento Bee"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""TALLAHASSEE Gov. Ron DeSantis signed into law Friday evening a controversial bill limiting how many felons will be able to vote, undercutting much of the promise of last year's historic Amendment 4."",
      ""openFeedback"": ""The sentence describes the legislative act neutrally."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""The bill passed last month by Florida's Republican-controlled Legislature was called a \""poll tax\"" by critics"",
      ""openFeedback"": ""Using the term poll tax is a loaded label designed to negatively frame the legislative requirement."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""one of the most racist and enduring policies of Florida's Jim Crow era."",
      ""openFeedback"": ""Labeling a law as racist serves to discredit it through emotionally charged language rather than purely legal analysis."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""The amendment voters passed allowed felons to automatically be eligible to vote if they completed \""all terms of their sentence including parole or probation.\"""",
      ""openFeedback"": ""This paragraph provides a factual account of the amendment's language and the subsequent debate."",
      ""paragraphIndex"": 3
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""text"": ""One woman told lawmakers during the Legislative session that she owes $59 million in restitution, which she'll never be able to repay."",
      ""openFeedback"": ""This anecdote uses an extreme outlier case to shape the reader's perception of the overall policy."",
      ""paragraphIndex"": 4
    }
  ]
}"
9,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",science,Business Insider,center,gemini,gemini-3.1-flash-lite,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""title"": ""senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'"",
  ""topic"": ""science"",
  ""source"": ""Business Insider"",
  ""rating"": ""center"",
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""The Senate voted Wednesday to confirm Matthew Kacsmaryk to a lifetime federal judgeship despite his record of hostility toward LGBTQ rights and abortion rights."",
      ""openFeedback"": ""Paragraph describes the voting event and the nominee's record neutrally."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""He signed a 2016 letter that called being transgender \""a delusion.\"" On reproductive rights, Kacsmaryk opposed the employer contraceptive mandate in the Affordable Care Act and played a lead role in opposing a Washington state law that required pharmacists to provide birth control to women."",
      ""openFeedback"": ""Paragraph describes past actions and quotes without the author using labels to influence."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""Why would my colleagues want to drape black robes over these bigoted views?"",
      ""openFeedback"": ""The use of the label 'bigoted' is a name-calling tactic to discredit the nominee's views."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""Kacsmaryk, who is the deputy general counsel for First Liberty Institute, a right-wing Christian advocacy group, sounds like a lot of President Donald Trump's other judicial nominees young, right-wing ideologues"",
      ""openFeedback"": ""Use of the label 'ideologues' is used here to characterize and discredit the group of nominees."",
      ""paragraphIndex"": 3
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""Senate Majority Leader Mitch McConnell (R-Ky.) has made judicial confirmations his top priority while Trump is in the White House."",
      ""openFeedback"": ""Paragraph provides a factual summary of Senate activities."",
      ""paragraphIndex"": 4
    }
  ]
}"
