prompt,model,provider,prediction_path,shared_titles,prediction_total,gold_total,polarization_precision,polarization_recall,polarization_f1,polarization_matches,category_match,category_correct,subcategory_match,subcategory_correct
Prompt 1: default original,GPT-5 mini,openai,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_1_default_original_single_models/openai_gpt_5_mini/final_annotations.json,26,122,86,0.508,0.721,0.596,62,0.839,52,0.758,47
Prompt 1: default original,Gemini 3.1 Flash Lite,gemini,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_1_default_original_single_models/gemini_gemini_3_1_flash_lite/final_annotations.json,26,108,86,0.463,0.581,0.515,50,0.76,38,0.68,34
Prompt 1: default original,Claude Haiku 4.5,anthropic,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_1_default_original_single_models/claude_claude_haiku_4_5/final_annotations.json,26,89,86,0.191,0.198,0.194,17,0.941,16,0.941,16
Prompt 2: Dr. Bagozzi,GPT-5 mini,openai,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/bagozzi_intersection_single_model_dr_bagozzi_prompt/openai_gpt_5_mini/final_annotations.json,26,152,86,0.441,0.779,0.563,67,0.851,57,0.701,47
Prompt 2: Dr. Bagozzi,Gemini 3.1 Flash Lite,gemini,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/bagozzi_intersection_single_model_dr_bagozzi_prompt/gemini_gemini_3_1_flash_lite/final_annotations.json,26,106,86,0.491,0.605,0.542,52,0.712,37,0.596,31
Prompt 2: Dr. Bagozzi,Claude Haiku 4.5,anthropic,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/bagozzi_intersection_single_model_dr_bagozzi_prompt/claude_claude_haiku_4_5/final_annotations.json,26,89,86,0.225,0.233,0.229,20,0.95,19,0.9,18
Prompt 3: precision short spans,GPT-5 mini,openai,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_3_precision_short_spans_single_models/openai_gpt_5_mini/final_annotations.json,26,131,86,0.466,0.709,0.562,61,0.885,54,0.82,50
Prompt 3: precision short spans,Gemini 3.1 Flash Lite,gemini,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_3_precision_short_spans_single_models/gemini_gemini_3_1_flash_lite/final_annotations.json,26,104,86,0.413,0.5,0.453,43,0.767,33,0.698,30
Prompt 3: precision short spans,Claude Haiku 4.5,anthropic,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_3_precision_short_spans_single_models/claude_claude_haiku_4_5/final_annotations.json,26,89,86,0.281,0.291,0.286,25,0.88,22,0.84,21
Prompt 4: boundary examples precision,GPT-5 mini,openai,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_4_boundary_examples_precision_single_models/openai_gpt_5_mini/final_annotations.json,26,122,86,0.467,0.663,0.548,57,0.825,47,0.719,41
Prompt 4: boundary examples precision,Gemini 3.1 Flash Lite,gemini,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_4_boundary_examples_precision_single_models/gemini_gemini_3_1_flash_lite/final_annotations.json,26,103,86,0.388,0.465,0.423,40,0.8,32,0.725,29
Prompt 4: boundary examples precision,Claude Haiku 4.5,anthropic,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_4_boundary_examples_precision_single_models/claude_claude_haiku_4_5/final_annotations.json,26,89,86,0.281,0.291,0.286,25,0.96,24,0.92,23
