index,title,topic,source,rating,provider,model,prompt_file,temperature,raw_json
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",legal arguments,The Washington Post,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
    ""category"": ""Inflammatory Language"",
    ""subcategory"": ""name-calling"",
    ""text"": ""the most disgraceful performances by an American president in memory"",
    ""openFeedback"": ""Uses loaded negative label 'disgraceful' to characterize Trump's performance rather than providing evidence-based analysis."",
    ""paragraphIndex"": 1
  }"
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",legal arguments,The Washington Post,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
    ""category"": ""Inflammatory Language"",
    ""subcategory"": ""name-calling"",
    ""text"": ""the more dishonest and deceitful newspaper, the Failing New York Times"",
    ""openFeedback"": ""Uses loaded negative labels 'dishonest and deceitful' and 'Failing' to discredit the newspaper without evidence."",
    ""paragraphIndex"": 0
  }"
2,'Every American is entitled to health care': Sen. Bernie Sanders,health,ABC News,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
    ""category"": ""Persuasive Propaganda"",
    ""subcategory"": ""exaggeration"",
    ""text"": ""The United States must end the international embarrassment of not guaranteeing health care as a right"",
    ""openFeedback"": ""Describes lack of universal healthcare as an 'international embarrassment,' which exaggerates the characterization to amplify emotional response."",
    ""paragraphIndex"": 0
  }"
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,crime,CBS News,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
    ""category"": ""Persuasive Propaganda"",
    ""subcategory"": ""casual oversimplification"",
    ""text"": ""72 Philadelphia Police Officers On Administrative Duty Over Alleged Racist And Violent Social Media Posts"",
    ""openFeedback"": ""The headline presents a simplified causal connection between social media posts and administrative duty, without acknowledging complexity of investigation or due process considerations."",
    ""paragraphIndex"": 0
  }"
4,the latest: nadler says panel will move quickly on mcgahn,politics,Louisville Courier Journal,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
    ""category"": ""No Polarizing language"",
    ""subcategory"": ""no polarizing language"",
    ""text"": ""no polarizing language selected"",
    ""openFeedback"": ""The paragraph reports factual information about House Judiciary Committee actions and procedures without inflammatory language or propaganda techniques."",
    ""paragraphIndex"": 0
  }"
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,crime,CBS,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
    ""category"": ""Inflammatory Language"",
    ""subcategory"": ""name-calling"",
    ""text"": ""some low-life would deface the mural of hero and fallen-officer"",
    ""openFeedback"": ""Uses emotionally charged label 'low-life' to describe the vandal without evidence, shaping audience perception negatively."",
    ""paragraphIndex"": 1
  }"
6,george conway urges trump to resign over aborted iran strike,science,The Boston Globe,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
    ""category"": ""Inflammatory Language"",
    ""subcategory"": ""name-calling"",
    ""text"": ""you're even more of an idiot than people think you are"",
    ""openFeedback"": ""Direct name-calling using 'idiot' to attack Trump's intelligence."",
    ""paragraphIndex"": 0
  }"
7,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,legal arguments,Newsweek,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
    ""category"": ""Inflammatory Language"",
    ""subcategory"": ""name-calling"",
    ""text"": ""Jared Kushner has repeatedly benefited from special treatment; as with his many deceptions regarding his security clearance"",
    ""openFeedback"": ""The phrase 'many deceptions' uses a loaded negative label to characterize Kushner's actions without providing specific evidence."",
    ""paragraphIndex"": 1
  }"
8,"ron desantis signs amendment 4 bill, limiting felon voting",environmental issues,The Sacramento Bee,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
    ""category"": ""Persuasive Propaganda"",
    ""subcategory"": ""exaggeration"",
    ""text"": ""undercutting much of the promise of last year's historic Amendment 4"",
    ""openFeedback"": ""Characterizes the bill as severely undermining Amendment 4 in emphatic terms without quantifying the actual scope of limitation."",
    ""paragraphIndex"": 0
  }"
9,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",science,Business Insider,center,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
    ""category"": ""Inflammatory Language"",
    ""subcategory"": ""name-calling"",
    ""text"": ""bigoted views"",
    ""openFeedback"": ""Schumer uses 'bigoted' as a loaded label to describe Kacsmaryk's views without providing evidence, relying on emotionally charged wording."",
    ""paragraphIndex"": 2
  }"
