index,title,topic,source,rating,provider,model,prompt_file,temperature,raw_json
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",legal arguments,The Washington Post,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_5_human_aligned_precision_recall.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""tragic mistake"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""Quoted phrase overstates the severity of the summit's outcome, framing it as a monumental failure."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""one of the most disgraceful performances by an American president in memory"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""Superlative framing exaggerates the severity of the press conference as unprecedented in history."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""the summit in Helsinki was a tragic mistake"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""Overstated characterization of the summit as a definitive catastrophic error."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""defend a tyrant against the fair questions of a free press"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Labels Putin as a 'tyrant,' a loaded term used to discredit rather than describe factually."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""grant Putin an uncontested platform to spew propaganda and lies to the world"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Portrays Putin's statements as inherently dishonest and dangerous, framing him as a threat spreading falsehoods globally."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""pathetic rout"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""Loaded, exaggerated description of the press conference as a total humiliating defeat."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""his complicity in the slaughter of the Syrian people"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Directly frames Putin as complicit in mass violence, portraying him as fundamentally dangerous and criminal."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""bombastic and erratic conduct towards our closest friends and allies"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Uses loaded, disparaging adjectives to characterize Trump's diplomatic behavior rather than a neutral description."",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""marks a recent low point in the history of the American Presidency"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""Sweeping historical superlative exaggerates the significance of the event relative to the entire presidency's history."",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""his blunders and capitulations all the more painful and inexplicable"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""Emotionally charged overstatement of the severity and inexplicability of the president's actions."",
      ""paragraphIndex"": 5
    },
    {
      ""text"": ""No prior president has ever abased himself more abjectly before a tyrant"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""Absolute superlative claim exaggerates the uniqueness and severity of the president's conduct compared to all prior presidents."",
      ""paragraphIndex"": 6
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 7
    }
  ]
}"
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",legal arguments,The Washington Post,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_5_human_aligned_precision_recall.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""more dishonest and deceitful"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""doubt"",
      ""openFeedback"": ""Directly undermines the credibility and honesty of the newspapers."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""the Failing New York Times or the Amazon"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Loaded derogatory labels applied to news organizations."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""a disgrace to our Country"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Emotionally loaded label discrediting the newspapers."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""the Enemy of the People"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Frames the press as a dangerous threat to the nation."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""America has been made GREAT again"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""slogans"",
      ""openFeedback"": ""Short, mobilizing political slogan."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""stay longer? KEEP AMERICA GREAT"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""slogans"",
      ""openFeedback"": ""Repetition of a mobilizing campaign slogan."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""both of these horrible papers"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Loaded negative label applied to the newspapers."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""will quickly go out of business & be forever gone"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""Overstated claim predicting the total collapse of major newspapers."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""enemy of the people"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Portrays the press as a dangerous enemy of the public."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""a virtual act of treason by reporting on the administration's digital attacks against Russia"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Accuses the newspaper of treasonous, dangerous conduct."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""the Failing New York Times just did a story"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Derogatory label repeated to discredit the newspaper."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""This is a virtual act of Treason by a once great paper so desperate for a story"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Frames the newspaper's reporting as a treasonous, dangerous act."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""Neutral factual reporting on the newspaper's sourcing and findings."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""the \""fake news \"" and \""fake polling\"""",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Loaded dismissive labels applied to media and polling."",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""The Fake News has never been more dishonest than it is today"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""doubt"",
      ""openFeedback"": ""Directly undermines the credibility of the press as an institution."",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""Fake Polling, sometimes referred to as Suppression Polls"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""doubt"",
      ""openFeedback"": ""Casts doubt on the legitimacy and reliability of polling data."",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""Neutral factual reporting of poll results."",
      ""paragraphIndex"": 5
    }
  ]
}"
2,'Every American is entitled to health care': Sen. Bernie Sanders,health,ABC News,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_5_human_aligned_precision_recall.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""the international embarrassment of not guaranteeing health care as a right"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""Frames the U.S. health care situation with exaggerated, loaded language ('international embarrassment') rather than neutral description."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""This paragraph describes the Medicare for all proposal and critics' claims factually without loaded rhetorical wording."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""the greed of the health insurance and pharmaceutical industries"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""scapegoating"",
      ""openFeedback"": ""Blames entire industries broadly for the health care crisis, matching the scapegoating example in the codebook."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""boldly transforming our dysfunctional system"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""Uses the loaded term 'dysfunctional system,' an exaggerated characterization matching the codebook example."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""everybody said our ideas are crazy and wild and extreme"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Quoted language uses loaded, dismissive labels ('crazy and wild and extreme') applied to his policy ideas."",
      ""paragraphIndex"": 3
    }
  ]
}"
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,crime,CBS News,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_5_human_aligned_precision_recall.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""the racist police who posted on Facebook"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Loaded label 'racist police' applied to the group of officers, used to discredit them."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""they hate the people whose communities they patrol"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Portrays the officers as hostile and hateful toward the communities they serve, framing them as a threat."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""Get Them Off The Streets"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""slogans"",
      ""openFeedback"": ""Short, memorable, mobilizing phrase used as a rallying cry by protesters."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""the more vulnerable the city becomes to the crime wave they say it's already experiencing"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""Uses the loaded term 'crime wave' to overstate the severity of crime in the city."",
      ""paragraphIndex"": 1
    }
  ]
}"
4,the latest: nadler says panel will move quickly on mcgahn,politics,Louisville Courier Journal,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_5_human_aligned_precision_recall.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""Neutral procedural reporting on the subpoena enforcement process; no loaded or polarizing wording present."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""Factual description of the resolution and its legislative effects; no rhetorical polarizing cues."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""Pelosi's quoted remarks are factual/political commentary without loaded or demonizing language."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""He called her \""Nervous Nancy\"""",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Trump's quoted nickname for Pelosi is a loaded, derogatory label used to belittle her, fitting the name-calling subcategory."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""Neutral factual summary of the resolution's legal provisions."",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""Neutral procedural explanation of the legal standing effects of the House vote."",
      ""paragraphIndex"": 5
    }
  ]
}"
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,crime,CBS,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_5_human_aligned_precision_recall.md,0.0,"{
    ""text"": ""some low-life would deface the mural of hero and fallen-officer, Robert Wilson III"",
    ""category"": ""Inflammatory Language"",
    ""subcategory"": ""name-calling"",
    ""openFeedback"": ""The term 'low-life' is a loaded insult used to label the unidentified vandal."",
    ""paragraphIndex"": 0
  }"
6,george conway urges trump to resign over aborted iran strike,science,The Boston Globe,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_5_human_aligned_precision_recall.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""The paragraph is largely neutral reporting framing; the loaded quotes are annotated separately where they appear as direct quoted text."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""To say this is amateur hour would defame amateurs"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Quoted insult labeling Trump's decision-making as sub-amateur, a loaded derogatory characterization."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""you're even more of an idiot than people think you are"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Direct insult calling the target an idiot, a loaded derogatory label."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""To say this is amateur hour would defame amateurs"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Repeated quoted insult characterizing the decision-making as sub-amateur."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""you're even more of an idiot than people think you are"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Repeated quoted insult calling the target an idiot."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""Factual attribution of statements by Iranian officials without loaded rhetorical wording."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""Neutral factual dispute over drone location and official military statement without rhetorical exaggeration or name-calling."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""A string of loaded derogatory labels directly describing the target as fundamentally flawed."",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""whose judgment no serious, intelligent person trusts"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""doubt"",
      ""openFeedback"": ""Directly undermines the target's credibility and trustworthiness by invoking what serious, intelligent people believe."",
      ""paragraphIndex"": 4
    }
  ]
}"
7,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,legal arguments,Newsweek,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_5_human_aligned_precision_recall.md,0.0,"{
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""This paragraph is a neutral factual recap of the letter and allegations without loaded rhetorical wording."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""doubt"",
      ""text"": ""as with his many deceptions regarding his security clearance"",
      ""openFeedback"": ""The phrase directly undermines Kushner's honesty and credibility, matching the doubt subcategory's trust-undermining criterion."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""doubt"",
      ""text"": ""Jared Kushner lied on his SF-86 form and must lose his security clearance"",
      ""openFeedback"": ""This quoted statement directly accuses Kushner of dishonesty, undermining his credibility and legitimacy."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""slogans"",
      ""text"": ""#RevokeKushner"",
      ""openFeedback"": ""A short, mobilizing hashtag slogan calling for action against Kushner."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""This paragraph reports factual statements and a direct quote from Trump without loaded or polarizing wording."",
      ""paragraphIndex"": 3
    }
  ]
}"
8,"ron desantis signs amendment 4 bill, limiting felon voting",environmental issues,The Sacramento Bee,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_5_human_aligned_precision_recall.md,0.0,"{
    ""text"": ""called a \""poll tax\"" by critics"",
    ""category"": ""Inflammatory Language"",
    ""subcategory"": ""name-calling"",
    ""openFeedback"": ""The quoted term 'poll tax' is a loaded label used to discredit the bill by invoking historically discriminatory voting practices."",
    ""paragraphIndex"": 0
  }"
9,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",science,Business Insider,center,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_5_human_aligned_precision_recall.md,0.0,"{
  ""annotations"": [
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""his extreme views on both fronts"",
      ""openFeedback"": ""Loaded characterization labeling the nominee's positions as 'extreme' without specific evidentiary framing in this span."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""doubt"",
      ""text"": ""a celestial phenomenon invisible to the non-lawyer eye"",
      ""openFeedback"": ""Quoted language mocking the legal reasoning behind Roe v. Wade, undermining its legitimacy."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""an autonomous blob of Silly Putty, unconstrained by nature or biology"",
      ""openFeedback"": ""Quoted dehumanizing metaphor describing human beings, portraying the concept as absurd and degrading."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""cited bizarre comments Kacsmaryk has made"",
      ""openFeedback"": ""Journalistic characterization using the loaded term 'bizarre' to frame the nominee's statements negatively."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""drape black robes over these bigoted views"",
      ""openFeedback"": ""Quoted rhetorical question using the loaded label 'bigoted views' to discredit the nominee."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""text"": ""one of Trump's most extreme nominees"",
      ""openFeedback"": ""Quoted superlative framing that overstates the nominee's position relative to others without direct comparison evidence in this span."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 3
    }
  ]
}"
