index,title,topic,source,rating,provider,model,prompt_file,temperature,raw_json
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",legal arguments,The Washington Post,left,openai,gpt-5-mini,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""making a \""tragic mistake\"" in his meetings with Russian President"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Doubt"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""incalculable damage to U.S. foreign policy"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""one of the most disgraceful performances by an American president"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""the damage inflicted by President Trump's naiveté, egotism, false equivalence, and sympathy for autocrats"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""not only unable, but unwilling to stand up to Putin"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Doubt"",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""defend a tyrant against the fair questions of a free press"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 5
    },
    {
      ""text"": ""spew propaganda and lies to the world"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 5
    },
    {
      ""text"": ""the press conference as a pathetic rout"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 6
    },
    {
      ""text"": ""his complicity in the slaughter of the Syrian people"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 6
    },
    {
      ""text"": ""bombastic and erratic conduct towards our closest friends and allies"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 7
    },
    {
      ""text"": ""marks a recent low point in the history of the American Presidency"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 7
    },
    {
      ""text"": ""makes his blunders and capitulations all the more painful and inexplicable"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Doubt"",
      ""paragraphIndex"": 8
    },
    {
      ""text"": ""abased himself more abjectly before a tyrant"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 9
    },
    {
      ""text"": ""failed to defend all that makes us who we are"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Doubt"",
      ""paragraphIndex"": 9
    }
  ]
}"
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",legal arguments,The Washington Post,left,openai,gpt-5-mini,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""the Failing New York Times or the Amazon (lobbyist) Washington Post"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""a disgrace to our Country, the Enemy of the People"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""both of these horrible papers will quickly go out of business"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""the Failing New York Times just did a story"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""referring to it as the \""enemy of the people.\"""",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""This is a virtual act of Treason by a once great paper"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""denounced the \""fake news \"" and \""fake polling\"""",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""The Fake News has never been more dishonest than it is today"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Doubt"",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 5
    }
  ]
}"
2,'Every American is entitled to health care': Sen. Bernie Sanders,health,ABC News,left,openai,gpt-5-mini,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""international embarrassment of not guaranteeing health care"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""end the greed of the health insurance and pharmaceutical industries"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""make billions of dollars in profits off Americans' health care"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""our ideas are crazy and wild and extreme"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""all of the other candidates are saying what we said four years ago"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Bandwagon"",
      ""paragraphIndex"": 3
    }
  ]
}"
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,crime,CBS News,left,openai,gpt-5-mini,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""the racist police who posted on Facebook"",
      ""category"": ""INFLAMMATORY LANGUAGE"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""they hate the people whose communities they patrol"",
      ""category"": ""INFLAMMATORY LANGUAGE"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""Get Them Off The Streets"",
      ""category"": ""PERSUASIVE PROPAGANDA"",
      ""subcategory"": ""Slogans"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""the crime wave they say it's already experiencing"",
      ""category"": ""PERSUASIVE PROPAGANDA"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""the investigation is far too broad"",
      ""category"": ""PERSUASIVE PROPAGANDA"",
      ""subcategory"": ""Doubt"",
      ""paragraphIndex"": 2
    }
  ]
}"
4,the latest: nadler says panel will move quickly on mcgahn,politics,Louisville Courier Journal,left,openai,gpt-5-mini,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 5
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 6
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 7
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 8
    },
    {
      ""text"": ""He called her \""Nervous Nancy\"" after it was reported"",
      ""category"": ""INFLAMMATORY LANGUAGE"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 9
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 10
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 11
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 12
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 13
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 14
    }
  ]
}"
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,crime,CBS,left,openai,gpt-5-mini,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""some low-life would deface the mural of hero and fallen-officer"",
      ""category"": ""INFLAMMATORY LANGUAGE"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 5
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 6
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 7
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 8
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 9
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 10
    },
    {
      ""text"": ""The ignorance and disrespect shown toward police is at an all time high"",
      ""category"": ""PERSUASIVE PROPAGANDA"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 11
    },
    {
      ""text"": ""If the DA, top persecutor of this city, can tarnish the efforts and life"",
      ""category"": ""INFLAMMATORY LANGUAGE"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 12
    },
    {
      ""text"": ""consequences of such are as minuscule as a slap on the wrist"",
      ""category"": ""PERSUASIVE PROPAGANDA"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 13
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 14
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 15
    }
  ]
}"
6,george conway urges trump to resign over aborted iran strike,science,The Boston Globe,left,openai,gpt-5-mini,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""you're even more of an idiot than people think you are"",
      ""category"": ""INFLAMMATORY LANGUAGE"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""To say this is amateur hour would defame amateurs."",
      ""category"": ""INFLAMMATORY LANGUAGE"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man"",
      ""category"": ""INFLAMMATORY LANGUAGE"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""whose judgment no serious, intelligent person trusts"",
      ""category"": ""PERSUASIVE PROPAGANDA"",
      ""subcategory"": ""Doubt"",
      ""paragraphIndex"": 3
    }
  ]
}"
7,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,legal arguments,Newsweek,left,openai,gpt-5-mini,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""Jared Kushner is in violation of both the spirit and the letter of that Act"",
      ""category"": ""PERSUASIVE PROPAGANDA"",
      ""subcategory"": ""Doubt"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""poor track record of compliance with the spirit of the Hatch Act"",
      ""category"": ""PERSUASIVE PROPAGANDA"",
      ""subcategory"": ""Doubt"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""his many deceptions regarding his security clearance"",
      ""category"": ""INFLAMMATORY LANGUAGE"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""National security is more important than party"",
      ""category"": ""PERSUASIVE PROPAGANDA"",
      ""subcategory"": ""Slogans"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""Jared Kushner lied on his SF-86 form"",
      ""category"": ""INFLAMMATORY LANGUAGE"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""they're trying to take away her right to free speech and that's just not fair"",
      ""category"": ""PERSUASIVE PROPAGANDA"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""Donald Trump's Refusal to Fire Kellyanne Conway is 'Dangerous'"",
      ""category"": ""INFLAMMATORY LANGUAGE"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 5
    }
  ]
}"
8,"ron desantis signs amendment 4 bill, limiting felon voting",environmental issues,The Sacramento Bee,left,openai,gpt-5-mini,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""was called a \""poll tax\"" by critics"",
      ""category"": ""INFLAMMATORY LANGUAGE"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""some felons will have to wait years to vote, if they can ever vote at all"",
      ""category"": ""PERSUASIVE PROPAGANDA"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""the Republicans' approach is confusing and expensive"",
      ""category"": ""PERSUASIVE PROPAGANDA"",
      ""subcategory"": ""Doubt"",
      ""paragraphIndex"": 3
    }
  ]
}"
9,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",science,Business Insider,center,openai,gpt-5-mini,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""because of his extreme views on both fronts"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""called being transgender \""a delusion.\"""",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""public affirmation of the lie that the human person is an autonomous blob of Silly Putty"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""drape black robes over these bigoted views"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""young, right-wing ideologues , the vast majority of whom are white men"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""one of Trump's most extreme nominees"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 3
    }
  ]
}"
