index,title,topic,source,rating,provider,model,prompt_file,temperature,raw_json
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",legal arguments,The Washington Post,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""one of the most disgraceful performances by an American president in memory"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""Superlative, hyperbolic claim about the press conference performance."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""President Trump's naiveté, egotism, false equivalence, and sympathy for autocrats"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Assigns a series of loaded negative labels directly to Trump."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""defend a tyrant against the fair questions of a free press"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Loaded label 'tyrant' applied to Putin."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""to spew propaganda and lies to the world"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Portrays Putin's speech as corrupt and dangerous to global discourse."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""pathetic rout"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Loaded negative label describing the press conference."",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""his delusions of a warm relationship with Putin's regime"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Loaded term 'delusions' used to characterize Trump's judgment."",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""President Trump's bombastic and erratic conduct"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Loaded negative labels describing Trump's behavior toward allies."",
      ""paragraphIndex"": 5
    },
    {
      ""text"": ""a recent low point in the history of the American Presidency"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""Superlative characterization of the event's historical significance."",
      ""paragraphIndex"": 5
    },
    {
      ""text"": ""No prior president has ever abased himself more abjectly before a tyrant"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""Sweeping superlative claim comparing to all prior presidents."",
      ""paragraphIndex"": 6
    },
    {
      ""text"": ""did President Trump fail to speak the truth about an adversary"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""doubt"",
      ""openFeedback"": ""Casts doubt on Trump's honesty regarding the adversary."",
      ""paragraphIndex"": 6
    }
  ]
}"
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",legal arguments,The Washington Post,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""the Failing New York Times or the Amazon (lobbyist) Washington Post"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Trump assigns loaded derogatory labels ('Failing', 'Amazon lobbyist') to the newspapers."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""a disgrace to our Country"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Frames the newspapers as a shameful threat to the nation."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""the Enemy of the People"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""A loaded, dehumanizing label applied to the press."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""KEEP AMERICA GREAT"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""slogans"",
      ""openFeedback"": ""A short, memorable political slogan meant to spark emotional support."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""both of these horrible papers will quickly go out of business & be forever gone"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""Predicts an extreme, overstated outcome for the newspapers' downfall."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""both of these horrible papers will quickly go out of business & be forever gone"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""Repeats the exaggerated prediction that the papers will vanish entirely."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""referring to it as the"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""Neutral reporting frame; the loaded phrase itself is annotated separately."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""enemy of the people"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""A loaded, dehumanizing label repeated to describe the press."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""a virtual act of Treason by a once great paper so desperate for a story"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Portrays the newspaper as committing a grave, dangerous betrayal of the country."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""the Failing New York Times just did a story"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Repeats the derogatory 'Failing' label for the newspaper."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""The Fake News has never been more dishonest than it is today"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Applies the loaded 'Fake News' label to discredit media coverage broadly."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""Suppression Polls (they suppress the numbers)"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""doubt"",
      ""openFeedback"": ""Casts doubt on the legitimacy and honesty of polling data."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""This paragraph is factual reporting on polling results without polarizing language."",
      ""paragraphIndex"": 4
    }
  ]
}"
2,'Every American is entitled to health care': Sen. Bernie Sanders,health,ABC News,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
    ""text"": ""must end the international embarrassment of not guaranteeing health care as a right"",
    ""category"": ""Persuasive Propaganda"",
    ""subcategory"": ""exaggeration"",
    ""openFeedback"": ""The characterization of the current system as an 'international embarrassment' is a dramatic, emotionally charged framing rather than a neutral factual description."",
    ""paragraphIndex"": 0
  }"
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,crime,CBS News,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""and said openly that they hate the people whose communities they patrol"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""The quoted language frames the officers as openly hostile and hateful toward the communities they serve, portraying them as a threat rather than simply criticizing their conduct."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""This paragraph reports on the protesters' demands and statements without using language that clearly meets the threshold for any polarizing category."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""The FOP's quoted concerns about crime and investigation scope are attributed statements reflecting their position, not editorializing language that meets a polarizing category definition."",
      ""paragraphIndex"": 2
    }
  ]
}"
4,the latest: nadler says panel will move quickly on mcgahn,politics,Louisville Courier Journal,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
    ""text"": ""no polarizing language selected"",
    ""category"": ""No Polarizing language"",
    ""subcategory"": ""no polarizing language"",
    ""openFeedback"": ""This paragraph is factual reporting on legislative procedure with no loaded or persuasive language."",
    ""paragraphIndex"": 0
  }"
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,crime,CBS,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
    ""text"": ""no polarizing language selected"",
    ""category"": ""No Polarizing language"",
    ""subcategory"": ""no polarizing language"",
    ""openFeedback"": ""This paragraph is neutral factual reporting about the mural and vandalism."",
    ""paragraphIndex"": 0
  }"
6,george conway urges trump to resign over aborted iran strike,science,The Boston Globe,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""Neutral factual reporting of Conway's call for resignation; no loaded language in the narration itself."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""To say this is amateur hour would defame amateurs"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""doubt"",
      ""openFeedback"": ""This quoted statement functions to cast doubt on Trump's competence by suggesting he is worse than an amateur."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""you're even more of an idiot than people think you are"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Loaded insult 'idiot' used to discredit Trump rather than provide argument."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""To say this is amateur hour would defame amateurs"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""doubt"",
      ""openFeedback"": ""Repeated quoted tweet casting doubt on Trump's competence."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""you're even more of an idiot than people think you are"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Repeated quoted insult labeling Trump as an idiot."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""Direct quote of Trump's tweet is factual reporting without loaded language."",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""Neutral factual reporting of Iranian officials' statements."",
      ""paragraphIndex"": 5
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""Neutral factual reporting and quoted official statement."",
      ""paragraphIndex"": 6
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""Neutral factual reporting of disputed drone location and official U.S. characterization."",
      ""paragraphIndex"": 7
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""Direct quote from a military official describing the incident factually."",
      ""paragraphIndex"": 8
    },
    {
      ""text"": ""erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""A string of loaded negative labels applied to Trump, quoted from Conway's tweet."",
      ""paragraphIndex"": 9
    },
    {
      ""text"": ""whose judgment no serious, intelligent person trusts"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""bandwagon"",
      ""openFeedback"": ""Invokes an implied consensus of 'serious, intelligent' people to delegitimize Trump's judgment rather than presenting evidence."",
      ""paragraphIndex"": 9
    }
  ]
}"
7,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,legal arguments,Newsweek,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""his many deceptions regarding his security clearance"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""The phrase 'deceptions' is a loaded negative label applied to Kushner's conduct rather than a neutral description of disputed facts."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""Jared Kushner lied on his SF-86 form and must lose his security clearance"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Directly labeling Kushner as having 'lied' is a loaded accusatory characterization rather than neutral reporting."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""#RevokeKushner"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""slogans"",
      ""openFeedback"": ""This hashtag functions as a short, memorable rallying phrase intended to mobilize opposition to Kushner."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 5
    }
  ]
}"
8,"ron desantis signs amendment 4 bill, limiting felon voting",environmental issues,The Sacramento Bee,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
    ""text"": ""was called a \""poll tax\"" by critics"",
    ""category"": ""Inflammatory Language"",
    ""subcategory"": ""name-calling"",
    ""openFeedback"": ""The quoted label 'poll tax' is a historically loaded term used to discredit the bill by associating it with racially discriminatory practices."",
    ""paragraphIndex"": 0
  }"
9,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",science,Business Insider,center,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
    ""text"": ""no polarizing language selected"",
    ""category"": ""No Polarizing language"",
    ""subcategory"": ""no polarizing language"",
    ""openFeedback"": ""This paragraph consists of factual reporting and direct quotes describing Kacsmaryk's positions; it does not contain language meeting the threshold for inflammatory or persuasive propaganda categories."",
    ""paragraphIndex"": 0
  }"
