index,title,topic,source,rating,provider,model,prompt_file,temperature,raw_json
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",legal arguments,The Washington Post,left,gemini,gemini-3.1-flash-lite,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""title"": ""'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki"",
  ""topic"": ""legal arguments"",
  ""source"": ""The Washington Post"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""Video by CNBC Of all the critical statements issued about Monday's Helsinki happenings, the one by Senate Armed Services Chairman John McCain perhaps stood out the most"",
      ""openFeedback"": ""Reporting on the existence of a statement without using charged language."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""one of the most disgraceful performances by an American president in memory"",
      ""openFeedback"": ""Uses loaded language to describe a political performance as disgraceful, framing the president's actions as a threat to dignity."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""defend a tyrant against the fair questions of a free press"",
      ""openFeedback"": ""Uses the loaded label 'tyrant' to discredit Putin and the President's association with him."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""describe the press conference as a pathetic rout"",
      ""openFeedback"": ""Uses emotionally charged language to discredit the event."",
      ""paragraphIndex"": 3
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""Coming close on the heels of President Trump's bombastic and erratic conduct towards our closest friends and allies in Brussels and Britain"",
      ""openFeedback"": ""Descriptive of political conduct, though arguably critical, it falls under standard political commentary."",
      ""paragraphIndex"": 4
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""No prior president has ever abased himself more abjectly before a tyrant."",
      ""openFeedback"": ""Strongly loaded language intended to portray the president's actions as deeply shameful and harmful to the nation's integrity."",
      ""paragraphIndex"": 5
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""Get breaking news alerts and more from Roll Call on your iPhone or your Android"",
      ""openFeedback"": ""Standard boilerplate text for the publication."",
      ""paragraphIndex"": 6
    }
  ]
}"
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",legal arguments,The Washington Post,left,gemini,gemini-3.1-flash-lite,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""title"": ""trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house"",
  ""topic"": ""legal arguments"",
  ""source"": ""The Washington Post"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""the Failing New York Times or the Amazon (lobbyist) Washington Post!"",
      ""openFeedback"": ""Using loaded, derogatory labels to discredit the newspapers."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""They are both a disgrace to our Country, the Enemy of the People"",
      ""openFeedback"": ""Characterizing the press as an enemy to society to spark hostility."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""slogans"",
      ""text"": ""KEEP AMERICA GREAT"",
      ""openFeedback"": ""Using a campaign slogan to mobilize support."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""slogans"",
      ""text"": ""keep America great"",
      ""openFeedback"": ""Using a campaign slogan to frame the political objective."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""referring to it as the \""enemy of the people.\"""",
      ""openFeedback"": ""Labeling the press as a societal threat."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""This is a virtual act of Treason by a once great paper"",
      ""openFeedback"": ""Using extreme, loaded language to discredit the reporting."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""The Times, citing current and former government officials, noted that the actions are a warning to Moscow on how the Trump administration is using new authorities to unleash cyber tools in an aggressive manner."",
      ""openFeedback"": ""This paragraph provides a factual summary of the news reporting without loaded rhetoric."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""causal oversimplification"",
      ""text"": ""The Fake News has never been more dishonest than it is today."",
      ""openFeedback"": ""Using a sweeping, oversimplified claim to dismiss media coverage."",
      ""paragraphIndex"": 3
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""Polls released in the past week have shown Trump trailing multiple Democratic presidential contenders in hypothetical 2020 matchups."",
      ""openFeedback"": ""This paragraph reports on polling data in a neutral tone."",
      ""paragraphIndex"": 4
    }
  ]
}"
2,'Every American is entitled to health care': Sen. Bernie Sanders,health,ABC News,left,gemini,gemini-3.1-flash-lite,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""title"": ""'Every American is entitled to health care': Sen. Bernie Sanders"",
  ""topic"": ""health"",
  ""source"": ""ABC News"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""The paragraph reports on Sen. Sanders' policy stance and the debate context without using inflammatory or propagandistic language."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""The paragraph objectively describes Sen. Harris's debate stance and subsequent clarification of her position."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""end the greed of the health insurance and pharmaceutical industries"",
      ""openFeedback"": ""The use of the word 'greed' characterizes these industries as corrupt or evil to mobilize the audience against them."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""scapegoating"",
      ""text"": ""no longer private corporations to make billions of dollars in profits off Americans' health care"",
      ""openFeedback"": ""Blames private corporations for the systemic issues in healthcare and frames them as the cause of widespread harm."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""The paragraph quotes the senator regarding his campaign strategy and perceived influence on the political agenda."",
      ""paragraphIndex"": 3
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""Standard closing remarks for a developing news story."",
      ""paragraphIndex"": 4
    }
  ]
}"
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,crime,CBS News,left,gemini,gemini-3.1-flash-lite,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""title"": ""Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets"",
  ""topic"": ""crime"",
  ""source"": ""CBS News"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""PHILADELPHIA (CBS) Philadelphia Police officials announced Wednesday that more than 70 officers are now off the street in connection to controversial Facebook posts."",
      ""openFeedback"": ""The text describes administrative actions taken by the police department in a factual manner."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""calling for hearings on the racist police who posted on Facebook"",
      ""openFeedback"": ""Using the label 'racist police' as a blanket descriptor for the individuals involved in the posts functions as name-calling to discredit the officers."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""slogans"",
      ""text"": ""Get Them Off The Streets"",
      ""openFeedback"": ""This phrase is used as a rally cry to simplify a complex personnel issue into a short, emotional demand for immediate action."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""text"": ""excessive to take over 6,000 police officers off the street"",
      ""openFeedback"": ""The speaker significantly exaggerates the scale of the police removal to emphasize their point about safety concerns."",
      ""paragraphIndex"": 3
    }
  ]
}"
4,the latest: nadler says panel will move quickly on mcgahn,politics,Louisville Courier Journal,left,gemini,gemini-3.1-flash-lite,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""title"": ""the latest: nadler says panel will move quickly on mcgahn"",
  ""topic"": ""politics"",
  ""source"": ""Louisville Courier Journal"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""The House Judiciary Committee chairman says his panel will move \""as quickly as possible\"" to seek court enforcement of a subpoena against former White House Counsel Don McGahn."",
      ""openFeedback"": ""The paragraph is descriptive and reports on legislative actions without using inflammatory or propagandistic language."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""The legislation passed 229-191, along party lines. It empowers Democrats to take legal action to enforce subpoenas against Attorney General William Barr and former White House counsel Don McGahn."",
      ""openFeedback"": ""The paragraph provides a factual account of the legislation and its scope."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""He called her \""Nervous Nancy\"" after it was reported she privately told Democrats she'd rather see him voted out of office"",
      ""openFeedback"": ""The term 'Nervous Nancy' is a loaded label used by a political figure to disparage an opponent."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""A resolution being voted on in the House would make it easier for Democrats to sue members of President Donald Trump's administration and other potential witnesses who refuse to comply with subpoenas."",
      ""openFeedback"": ""The text neutrally describes the intent of the legislative resolution."",
      ""paragraphIndex"": 3
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""The votes aren't technically necessary, as Democrats already can go to court. But a House vote will give them increased standing if they do decide to file lawsuits."",
      ""openFeedback"": ""The text explains the procedural implications of the vote without bias or charged language."",
      ""paragraphIndex"": 4
    }
  ]
}"
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,crime,CBS,left,gemini,gemini-3.1-flash-lite,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""title"": ""WE ARE LIVID!: Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized"",
  ""topic"": ""crime"",
  ""source"": ""CBS"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""PHILADELPHIA (CBS) Neighbors are upset after a mural honoring a fallen Philadelphia police officer was vandalized on Thursday."",
      ""openFeedback"": ""Standard reporting of an event."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""The mural was dedicated to Sgt. Robert Wilson in 2017. Wilson was killed in the line of duty when he walked in on an attempted robbery at a North Philadelphia GameStop in 2015."",
      ""openFeedback"": ""Providing historical context of the officer."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""Wilson went to the store to buy a gift for his son's birthday. The Philadelphia FOP is offering a $10,000 reward for any information that leads to the arrest of the vandal."",
      ""openFeedback"": ""Reporting on the reward offer."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""It's sickening and disgusting that some low-life would deface the mural of hero and fallen-officer"",
      ""openFeedback"": ""Uses pejorative 'low-life' to label the perpetrator."",
      ""paragraphIndex"": 3
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""We will never forget Rob's bravery, courage and valor when he saved lives inside that GameStop store."",
      ""openFeedback"": ""Commemorative language regarding the officer."",
      ""paragraphIndex"": 4
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""I'm Disgusted: Family Of Murdered Philadelphia Police Sgt. Robert Wilson III Frustrated With Killers' Plea Deal Denise Hooks, the owner of the Strawberry Mansion building where the mural is painted, is speaking out."",
      ""openFeedback"": ""Reporting on family reaction."",
      ""paragraphIndex"": 5
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""I don't know if this is a racial slur against the police, or if it's a slur because they want this neighborhood back, but there's something going on around here,"",
      ""openFeedback"": ""Direct quote expressing personal uncertainty."",
      ""paragraphIndex"": 6
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""It's terrible because I feel like his mother got to see this, his son got to see this, his sister has to see this and they already buried their son, their father, their brother. We loved Officer Wilson, he was a hero."",
      ""openFeedback"": ""Expression of personal grief."",
      ""paragraphIndex"": 7
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""Shaki'ra Wilson-Burroughs, the sister of officer Wilson released a statement Thursday night."",
      ""openFeedback"": ""Neutral introduction to a statement."",
      ""paragraphIndex"": 8
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""scapegoating"",
      ""text"": ""One year ago, the DA of this city set this tone of disrespect for the city by slighting Sgt. Wilson, III by offering a backdoor plea"",
      ""openFeedback"": ""Blaming the District Attorney for a systemic tone of disrespect."",
      ""paragraphIndex"": 9
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""If the DA, top persecutor of this city, can tarnish the efforts and life of a slain officer while backing criminals"",
      ""openFeedback"": ""Frames the DA as someone who 'backs criminals' and tarnishes life, implying corruption."",
      ""paragraphIndex"": 10
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""Stating this is not to take away from the shaming and defacement of Sgt. Wilson's mural."",
      ""openFeedback"": ""Clarifying statement of intent."",
      ""paragraphIndex"": 11
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""It has enhanced the ignorance and disrespect shown toward our officers as the consequences of such are as minuscule as a slap on the wrist."",
      ""openFeedback"": ""Opinion on judicial consequences."",
      ""paragraphIndex"": 12
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""Yes, my brother was an officer of the Philadelphia Police Department. He was also a man who put his life on the line to protect and save the lives of those in that GameStop. He lost his life and, in any capacity, that should be enough to warrant respect."",
      ""openFeedback"": ""Personal reflection and call for respect."",
      ""paragraphIndex"": 13
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""If you know anything about this graffiti, call police."",
      ""openFeedback"": ""Public call for information."",
      ""paragraphIndex"": 14
    }
  ]
}"
6,george conway urges trump to resign over aborted iran strike,science,The Boston Globe,left,gemini,gemini-3.1-flash-lite,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""title"": ""george conway urges trump to resign over aborted iran strike"",
  ""topic"": ""science"",
  ""source"": ""The Boston Globe"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""George Conway blasted President Trump and called for him to resign from office after he walked back a planned military strike against Iran"",
      ""openFeedback"": ""Reporting on a public statement is not necessarily inflammatory, as it describes a documented event."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""you're even more of an idiot than people think you are"",
      ""openFeedback"": ""The subject uses a direct derogatory label 'idiot' to attack the President's intelligence."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""Conway's comments came after Trump confirmed via Twitter that the U.S. had been cocked and loaded to retaliate against Iran"",
      ""openFeedback"": ""This paragraph provides context regarding the tweet and the military situation."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""The officials also said Friday that they were informed of the planned attack in a short period before it was"",
      ""openFeedback"": ""Neutral reporting on statements provided by Iranian officials."",
      ""paragraphIndex"": 3
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""U.S. and Iranian officials are disputing the location of the drone when it was shot down late Wednesday"",
      ""openFeedback"": ""Standard journalistic account of a dispute over facts between two parties."",
      ""paragraphIndex"": 4
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man"",
      ""openFeedback"": ""The text lists a series of highly charged, negative labels intended to discredit the President."",
      ""paragraphIndex"": 5
    }
  ]
}"
7,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,legal arguments,Newsweek,left,gemini,gemini-3.1-flash-lite,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""title"": ""Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings"",
  ""topic"": ""legal arguments"",
  ""source"": ""Newsweek"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""The Office of Special Counsel's recommendation last week that Counselor to the President Kellyanne Conway be removed from service for violating the Hatch Act led two Democratic congressman on Monday to demand an investigation into whether the president's son-in-law Jared Kushner similarly broke federal law."",
      ""openFeedback"": ""Reporting on official government recommendations and subsequent political requests for investigation."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""Jared Kushner has repeatedly benefited from special treatment; as with his many deceptions regarding his security clearance"",
      ""openFeedback"": ""Use of loaded terminology like 'deceptions' targets the individual without presenting evidence in this context."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""National security is more important than party. Jared Kushner lied on his SF-86 form and must lose his security clearance"",
      ""openFeedback"": ""This reflects a public figure's political argument and social media activity, not propaganda."",
      ""paragraphIndex"": 2
    }
  ]
}"
8,"ron desantis signs amendment 4 bill, limiting felon voting",environmental issues,The Sacramento Bee,left,gemini,gemini-3.1-flash-lite,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""title"": ""ron desantis signs amendment 4 bill, limiting felon voting"",
  ""topic"": ""environmental issues"",
  ""source"": ""The Sacramento Bee"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""causal oversimplification"",
      ""text"": ""The bill passed last month by Florida's Republican-controlled Legislature was called a \""poll tax\"" by critics"",
      ""openFeedback"": ""The text uses a politically charged label (poll tax) to define a complex legislative issue as a single, discriminatory cause."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""one of the most racist and enduring policies of Florida's Jim Crow era"",
      ""openFeedback"": ""Uses highly charged, loaded moral framing to describe a policy, aiming to discredit it through historical association."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""The amendment voters passed allowed felons to automatically be eligible to vote if they completed \""all terms of their sentence including parole or probation.\"""",
      ""openFeedback"": ""This paragraph describes the amendment's language and the legislative process without using inflammatory or propagandistic framing."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""text"": ""the Republicans' approach is confusing and expensive. Because no state or local agency tracks restitution, lawmakers estimated it would cost \""millions\"" to carry out."",
      ""openFeedback"": ""The framing of the bill's implementation cost as 'millions' serves to emphasize the negative impact and heighten the scale of the issue."",
      ""paragraphIndex"": 3
    }
  ]
}"
9,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",science,Business Insider,center,gemini,gemini-3.1-flash-lite,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
  ""title"": ""senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'"",
  ""topic"": ""science"",
  ""source"": ""Business Insider"",
  ""rating"": ""center"",
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""Paragraph 0 contains factual reporting on a Senate vote and the professional background of the nominee."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""Paragraph 1 reports on quotes and public records attributed to the subject, maintaining a journalistic tone."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""Why would my colleagues want to drape black robes over these bigoted views?"",
      ""openFeedback"": ""The term 'bigoted' is used as a loaded label to characterize the nominee's views."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""young, right-wing ideologues , the vast majority of whom are white men"",
      ""openFeedback"": ""The term 'ideologues' is used as a negative, loaded label to discredit the group of nominees."",
      ""paragraphIndex"": 3
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""Paragraph 4 provides factual statistics regarding judicial confirmations."",
      ""paragraphIndex"": 4
    }
  ]
}"
