index,title,topic,source,rating,provider,model,prompt_file,temperature,raw_json
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",legal arguments,The Washington Post,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_1_default_original.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""accused President Donald Trump of making a \""tragic mistake\"""",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""one of the most disgraceful performances by an American president in memory"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""tragic mistake"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""unable, but unwilling to stand up to Putin"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""defend a tyrant against the fair questions of a free press"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""grant Putin an uncontested platform to spew propaganda and lies to the world"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""tempting to describe the press conference as a pathetic rout"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""deliberate choices of a president who seems determined to realize his delusions"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""his violent disregard for the sovereignty of his neighbors, his complicity in the slaughter of the Syrian people"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""his assault on democratic institutions throughout the world"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""bombastic and erratic conduct towards our closest friends and allies"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 5
    },
    {
      ""text"": ""marks a recent low point in the history of the American Presidency"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 5
    },
    {
      ""text"": ""his blunders and capitulations all the more painful and inexplicable"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 5
    },
    {
      ""text"": ""No prior president has ever abased himself more abjectly before a tyrant"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 6
    },
    {
      ""text"": ""abased himself more abjectly before a tyrant"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 6
    },
    {
      ""text"": ""failed to defend all that makes us who we are a republic of free people dedicated to the cause of liberty"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 6
    },
    {
      ""text"": ""Americans are waiting and hoping for President Trump to embrace that sacred responsibility"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Bandwagon"",
      ""paragraphIndex"": 6
    },
    {
      ""text"": ""One can only hope they are not waiting totally in vain"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Doubt"",
      ""paragraphIndex"": 6
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 7
    }
  ]
}"
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",legal arguments,The Washington Post,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_1_default_original.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""more dishonest and deceitful"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""the Failing New York Times or the Amazon (lobbyist) Washington Post"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""They are both a disgrace to our Country, the Enemy of the People"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""after America has been made GREAT again"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Slogans"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""KEEP AMERICA GREAT"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Slogans"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""both of these horrible papers will quickly go out of business & be forever gone"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""both of these horrible papers"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""people would demand that I stay longer"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Bandwagon"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""to \""keep America great\"""",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Slogans"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""enemy of the people"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""virtual act of treason"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""so desperate for a story, any story, even if bad for our Country"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""fake news"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""fake polling"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""The Fake News has never been more dishonest than it is today"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""Their new weapon of choice is Fake Polling, sometimes referred to as Suppression Polls (they suppress the numbers)"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Causal Oversimplification"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 4
    }
  ]
}"
2,'Every American is entitled to health care': Sen. Bernie Sanders,health,ABC News,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_1_default_original.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""end the international embarrassment of not guaranteeing health care as a right"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""end the greed of the health insurance and pharmaceutical industries"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""our dysfunctional system by ending the use of private health insurance"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""make billions of dollars in profits off Americans' health care"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""they have got to talk to the needs of the working class of this country"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Bandwagon"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""everybody said our ideas are crazy and wild and extreme and now it turns out, all of the other candidates are saying what we said four years ago"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Bandwagon"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 4
    }
  ]
}"
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,crime,CBS News,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_1_default_original.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""racist and violent public Facebook posts unearthed by the Plain View Project"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""the racist police who posted on Facebook,\"" Solomon Jones said, \""and said openly that they hate the people whose communities they patrol"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""They say they won't be satisfied until all officers involved in this scandal are removed from the streets"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""the police that do not want to police our community are removed"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""Despite calls for mass firings within the police department"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""with the level of violence that's occurring in the city"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""the more vulnerable the city becomes to the crime wave they say it's already experiencing"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 2
    }
  ]
}"
4,the latest: nadler says panel will move quickly on mcgahn,politics,Louisville Courier Journal,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_1_default_original.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""\""it's not even close\"" to having enough support among House Democrats for a vote"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""He called her \""Nervous Nancy\"""",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 2
    }
  ]
}"
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,crime,CBS,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_1_default_original.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""It's sickening and disgusting that some low-life would deface the mural"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""hero and fallen-officer, Robert Wilson III"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""The ignorance and disrespect shown toward police is at an all time high"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""the DA of this city set this tone of disrespect for the city"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Causal Oversimplification"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""If the DA, top persecutor of this city, can tarnish the efforts and life of a slain officer while backing criminals"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""while backing criminals then, why should any other layman warrant any real respect"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Causal Oversimplification"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""It has enhanced the ignorance and disrespect shown toward our officers"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""the consequences of such are as minuscule as a slap on the wrist"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 4
    }
  ]
}"
6,george conway urges trump to resign over aborted iran strike,science,The Boston Globe,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_1_default_original.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""you're even more of an idiot than people think you are"",
      ""category"": ""Inflammatory language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""amateur hour would defame amateurs"",
      ""category"": ""Inflammatory language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""you're even more of an idiot than people think you are. Do the country and the world a favor. Go back to real estate"",
      ""category"": ""Inflammatory language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""unprovoked attack"",
      ""category"": ""Persuasive propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""attempt to disrupt our ability to monitor the area following recent threats to international shipping and free flow of commerce"",
      ""category"": ""Persuasive propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man whose judgment no serious, intelligent person trusts"",
      ""category"": ""Inflammatory language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 5
    }
  ]
}"
7,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,legal arguments,Newsweek,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_1_default_original.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""poor track record of compliance with the spirit of the Hatch Act"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""Jared Kushner has repeatedly benefited from special treatment; as with his many deceptions regarding his security clearance"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""National security is more important than party. Jared Kushner lied on his SF-86 form and must lose his security clearance"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Causal Oversimplification"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""Jared Kushner lied on his SF-86 form and must lose his security clearance"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""#RevokeKushner"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Slogans"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 3
    }
  ]
}"
8,"ron desantis signs amendment 4 bill, limiting felon voting",environmental issues,The Sacramento Bee,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_1_default_original.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""a controversial bill limiting how many felons will be able to vote, undercutting much of the promise of last year's historic Amendment 4"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""was called a \""poll tax\"" by critics"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""one of the most racist and enduring policies of Florida's Jim Crow era"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""And the Republicans' approach is confusing and expensive"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 3
    }
  ]
}"
9,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",science,Business Insider,center,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_1_default_original.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""record of hostility toward LGBTQ rights and abortion rights"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""because of his extreme views on both fronts"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""a celestial phenomenon invisible to the non-lawyer eye"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""he cited bizarre comments Kacsmaryk has made"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""an autonomous blob of Silly Putty, unconstrained by nature or biology"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""Why on earth is this man a nominee for a lifetime appointment?"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""these bigoted views"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""a right-wing Christian advocacy group, sounds like a lot of President Donald Trump's other judicial nominees young, right-wing ideologues"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""He is one of Trump's most extreme nominees"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""funneling anti-abortion and anti-LGBTQ nominees to the White House"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Causal Oversimplification"",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""has made judicial confirmations his top priority"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 5
    },
    {
      ""text"": ""ushered through the confirmations of two Supreme Court justices"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 5
    }
  ]
}"
