article_title,paragraph_index,agreed_text,inhouse_final_category,inhouse_final_subcategory,bagozzi_category,bagozzi_subcategory,raw_match_count,raw_metas,raw_categories,raw_subcategories,any_raw_category_matches_bagozzi,any_raw_subcategory_matches_bagozzi
Buzzfeed Journalists Protest In Push For Union Recognition,0,recognize the buzzfeed union!!,persuasive propaganda,slogans,Persuasive Propaganda,Slogans,2,Ashrey; Prerana,persuasive propaganda,slogans,True,True
Buzzfeed Journalists Protest In Push For Union Recognition,1,skyrocketing health insurance costs,persuasive propaganda,exaggeration,Persuasive Propaganda,Exaggeration,1,Prerana,persuasive propaganda,exaggeration,True,True
Did Jared Kushner Violate The Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,1,his many deceptions regarding his security clearance,inflammatory language,demonization,Persuasive Propaganda,Doubt,2,Ashrey; Prerana,inflammatory language,demonization; name-calling,False,False
"Editorial: Six Months After California'S Landmark Police Transparency Law, Many Agencies Still Won'T Release Their Records",0,compliance with the law is optional,inflammatory language,demonization,Persuasive Propaganda,Exaggeration,2,Ashrey; Prerana,inflammatory language; persuasive propaganda,casual oversimplification; demonization,True,False
"Editorial: Six Months After California'S Landmark Police Transparency Law, Many Agencies Still Won'T Release Their Records",1,deliberately sandbagging the release of these records,persuasive propaganda,doubt,Persuasive Propaganda,Doubt,2,Ashrey; Prerana,inflammatory language; persuasive propaganda,doubt; name-calling,True,True
'Every American Is Entitled To Health Care': Sen. Bernie Sanders,1,private corporations to make billions of dollars in profits off americans' health care,inflammatory language,demonization,Inflammatory Language,Scapegoating,2,Ashrey; Prerana,inflammatory language; persuasive propaganda,demonization; exaggeration,True,False
'Every American Is Entitled To Health Care': Sen. Bernie Sanders,1,the greed of the health insurance and pharmaceutical industries,inflammatory language,demonization,Inflammatory Language,Scapegoating,2,Ashrey; Prerana,inflammatory language,demonization,True,False
'Every American Is Entitled To Health Care': Sen. Bernie Sanders,1,dysfunctional system,persuasive propaganda,doubt,Persuasive Propaganda,Exaggeration,1,Ashrey,persuasive propaganda,doubt,True,False
George Conway Urges Trump To Resign Over Aborted Iran Strike,1,to say this is amateur hour would defame amateurs,inflammatory language,name-calling,Persuasive Propaganda,Exaggeration,2,Ashrey; Prerana,inflammatory language; persuasive propaganda,doubt; name-calling,True,False
George Conway Urges Trump To Resign Over Aborted Iran Strike,3,"whose judgment no serious, intelligent person trusts",persuasive propaganda,bandwagon,Persuasive Propaganda,Bandwagon,2,"Aarush. I tagged the article with some examples of exaggerated language. The author uses ""slammed"" and ""blasted"" as words for Conway's words toward Trump instead of simply saying criticized.; Ashrey",inflammatory language; persuasive propaganda,bandwagon; demonization,True,True
"'If You'Re Directly Complicit In Spreading Hate, Consider Dining At Home': Restaurant Owner Who Kicked Sarah Sanders Out Last Year Defends Chicago Server Who Spat On Eric Trump In A Cocktail Bar",0,politicians involved in 'spreading hate' should consider dining at home,inflammatory language,demonization,Inflammatory Language,Demonization,2,Ashrey; Prerana,inflammatory language,demonization; name-calling,True,True
"Ocasio-Cortez, Sanders Call For Climate Change Emergency Mobilization, Seeks A Re-Do Of Failed Green New Deal",0,so-called emergency.,persuasive propaganda,casual oversimplification,Persuasive Propaganda,Doubt,3,"Aarush. While I'm not super confident, I feel that ""so-called emergency"" is an oversimplification of the actual climate-change emergency.; Ashrey; Prerana",persuasive propaganda,casual oversimplification; doubt,True,True
"Ocasio-Cortez, Sanders Call For Climate Change Emergency Mobilization, Seeks A Re-Do Of Failed Green New Deal",1,"a radical, top-down, socialist makeover of the entire u.s. economy",inflammatory language,name-calling,Inflammatory Language,Name-Calling,2,Ashrey; Prerana,inflammatory language,name-calling,True,True
"Ron Desantis Signs Amendment 4 Bill, Limiting Felon Voting",0,poll tax,inflammatory language,name-calling,Inflammatory Language,Name-Calling,1,Prerana,inflammatory language,name-calling,True,True
"Ron Desantis Signs Amendment 4 Bill, Limiting Felon Voting",1,out one of the most racist and enduring policie,inflammatory language,name-calling,Persuasive Propaganda,Exaggeration,1,Prerana,inflammatory language,name-calling,False,False
"Senate Confirms Judge Who Attacked Roe V. Wade, Called Being Transgender 'A Delusion'",2,drape black robes over these bigoted views?,inflammatory language,name-calling,Inflammatory Language,Demonization,1,Prerana,inflammatory language,name-calling,True,False
"Senate Confirms Judge Who Attacked Roe V. Wade, Called Being Transgender 'A Delusion'",2,one of trump's most extreme nominees,persuasive propaganda,exaggeration,Persuasive Propaganda,Exaggeration,1,Prerana,persuasive propaganda,exaggeration,True,True
"Trump Rips 'Horrible' New York Times, Washington Post, Wonders If People Will 'Demand' He Stay In White House",1,the failing new york times,inflammatory language,name-calling,Inflammatory Language,Name-Calling,1,Ashrey,inflammatory language,name-calling,True,True
"Trump Rips 'Horrible' New York Times, Washington Post, Wonders If People Will 'Demand' He Stay In White House",1,virtual act of treason,inflammatory language,demonization,Inflammatory Language,Demonization,2,Ashrey; Prerana,inflammatory language; persuasive propaganda,demonization; exaggeration,True,True
'We Are Livid!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,orance and disrespect shown toward police is at an al,persuasive propaganda,exaggeration,Persuasive Propaganda,Exaggeration,1,Prerana,persuasive propaganda,exaggeration,True,True
