Headline,News body,Topic,News Source,Rating
"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'","WASHINGTON ― The Senate voted Wednesday to confirm Matthew Kacsmaryk to a lifetime federal judgeship despite his record of hostility toward LGBTQ rights and abortion rights. The Senate voted 52-46 to put Kacsmaryk, 42, onto the U.S. District Court for the Northern District of Texas. Every Democrat present voted no. Every Republican present but one, Susan Collins (Maine), voted yes. The full vote tally is here . LGBTQ and reproductive rights groups have been protesting Kacsmaryk's nomination for more than a year because of his extreme views on both fronts. Last week, dozens of human rights groups signed a letter opposing him. Kacsmaryk fought against protections for LGBTQ people in employment , housing and health care . He called including protections for LGBTQ people in the Violence Against Women Act ""a grave mistake."" In 2015, when Utah passed nondiscrimination protections, Kacsmaryk called the law "" a bad idea "" because it suggests that discrimination based on sexual orientation and gender identity should be taken as seriously as other forms of discrimination. He signed a 2016 letter that called being transgender ""a delusion."" On reproductive rights, Kacsmaryk opposed the employer contraceptive mandate in the Affordable Care Act and played a lead role in opposing a Washington state law that required pharmacists to provide birth control to women. He also criticized the Supreme Court's decision in Roe v. Wade , describing that case as one in which ""seven justices of the Supreme Court found an unwritten 'fundamental right' to abortion hiding in the due process clause of the Fourteenth Amendment and the shadowy 'penumbras' of the Bill of Rights, a celestial phenomenon invisible to the non-lawyer eye."" (What?) Senate Minority Leader Chuck Schumer (D-N.Y.) wondered aloud how anyone could expect Kacsmaryk to be a fair and impartial judge. He cited bizarre comments Kacsmaryk has made about the Equality Act, a sweeping LGBTQ anti-discrimination bill. ""He labeled the Equality Act a 'public affirmation of the lie that the human person is an autonomous blob of Silly Putty, unconstrained by nature or biology, and that marriage, sexuality, gender identity, and even the unborn child must yield to the erotic desires of liberated adults,'"" Schumer said Wednesday on the Senate floor. ""Why on earth is this man a nominee for a lifetime appointment? Why would my colleagues want to drape black robes over these bigoted views? Our judicial system is designed to protect liberties, not denigrate them."" Kacsmaryk, who is the deputy general counsel for First Liberty Institute, a right-wing Christian advocacy group, sounds like a lot of President Donald Trump's other judicial nominees   young, right-wing ideologues , the vast majority of whom are white men . But even within the homogeneity of Trump's court picks, Kacsmaryk stands out. ""He is one of Trump's most extreme nominees,"" said Carl Tobias, a University of Richmond law professor and an expert on judicial nominations. ""His public statements about LGBTQ people and about abortion suggest that in litigation involving LGBTQ and abortion rights, litigants will have difficulty believing that he will fairly resolve their cases."" Kacsmaryk does have something in common with nearly all of Trump's judicial nominees: He's a member of the conservative Federalist Society, which has been driving Trump's judicial selection process and funneling anti-abortion and anti-LGBTQ nominees to the White House. Senate Majority Leader Mitch McConnell (R-Ky.) has made judicial confirmations his top priority while Trump is in the White House. In the past two and a half years, he has ushered through the confirmations of two Supreme Court justices, 76 district judges and 41 circuit judges. That's more circuit judges than any president has gotten through by this point in a first term. To put that into perspective: 1 in 5 of all of the nation's current circuit judges was nominated by Trump. This article originally appeared on HuffPost .",science,Business Insider,center
GOP lawmaker suggests Colin Kaepernick move to a different country,"Rep. Mo Brooks, an Alabama Republican, suggested former NFL quarterback Colin Kaepernick should consider moving to another country if he is unhappy with the United States. When asked to weigh in on the controversy over Nike sneakers with a Revolutionary War-era flag, Brooks told SiriusXM Patriot's Breitbart News Tonight that Kaepernick ""ought to consider moving to a country where he believes the laws are better for his purposes."" Kaepernick, who is well known for his political activism, made headlines last week when he complained to Nike, who sponsors him, about their ""Air Max 1 Quick Strike Fourth of July"" trainer because it featured an image of the Betsy Ross version of the American flag. He told the company it shouldn't sell a shoe with a symbol that he and others consider offensive because the flag marked an era when slavery existed in the United States, according to the Wall Street Journal . After the company shipped the shoes to retailers, Nike asked for them to be returned. In a statement, Nike spokeswoman Sandra Carreon-John said, ""NIKE made the decision to halt distribution of the Air Max 1 Quick Strike Fourth of July based on concerns that it could unintentionally offend and detract from the nation's patriotic holiday."" The Betsy Ross American flag is the nickname for the design of 13 stars that represents the 13 colonies arranged in a circle. It has been used periodically by some white supremacist groups such as the Ku Klux Klan, but it does not appear in the Anti-Defamation League's database of hate symbols and is widely seen as a patriotic flag that even appeared at former President Barack Obama's second inauguration. Brooks said there are some ""very radical people in the United States of America who don't like America."" ""They don't like the foundational principles that have made us a great nation, and I would put Mr. Kaepernick in that category ... In my mind, perhaps he ought to consider moving to a country where he believes the laws are better for his purposes,"" he continued. ""I doubt he will do that because in this country we've had over a million Americans die fighting for our liberties. All of these things that we enjoy he seems to frown upon, and so I just assume he'd leave.""",politics,Breitbart News,right
"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house","President Trump on Sunday ramped up his attacks against the nation's biggest newspapers, saying that a poll should be done to see whether The New York Times or The Washington Post is ""more dishonest and deceitful."" ""A poll should be done on which is the more dishonest and deceitful newspaper, the Failing New York Times or the Amazon (lobbyist) Washington Post!"" he said on Twitter. ""They are both a disgrace to our Country, the Enemy of the People, but I just can't seem to figure out which is worse?"" .....news is that at the end of 6 years, after America has been made GREAT again and I leave the beautiful White House (do you think the people would demand that I stay longer? KEEP AMERICA GREAT), both of these horrible papers will quickly go out of business & be forever gone! - Donald J. Trump (@realDonaldTrump) June 16, 2019 ""The good news is that at the end of 6 years, after America has been made GREAT again and I leave the beautiful White House both of these horrible papers will quickly go out of business & be forever gone,"" Trump continued. He also asked if ""people would demand that I stay longer"" to ""keep America great"" after two terms in the White House. Trump has repeatedly criticized the press corps during his two years in the White House, often referring to it as the ""enemy of the people."" His Twitter latest tirade came just a day after he claimed that The Times committed a ""virtual act of treason"" by reporting on the administration's digital attacks against Russia. ""Do you believe that the Failing New York Times just did a story stating that the United States is substantially increasing Cyber Attacks on Russia,"" Trump tweeted, before claiming that the report was ""not true."" ""This is a virtual act of Treason by a once great paper so desperate for a story, any story, even if bad for our Country."" The Times on Saturday published a report about the United States' efforts to penetrate Russia's power grid. The Times, citing current and former government officials, noted that the actions are a warning to Moscow on how the Trump administration is using new authorities to unleash cyber tools in an aggressive manner. Two administration officials told the newspaper that they do not think Trump was briefed about the plans. The newspaper added that some Pentagon and intelligence officials said there was a hesitation about addressing the operations with Trump. Trump has also lashed out at the media over reports about his internal polling. He d enounced the ""fake news "" and ""fake polling"" after reports surfaced that he was trailing Vice President Joe Biden in a hypothetical 2020 matchup. ""The Fake News has never been more dishonest than it is today. Thank goodness we can fight back on Social Media. There new weapon of choice is Fake Polling, sometimes referred to as Suppression Polls (they suppress the numbers),"" Trump tweeted. Polls released in the past week have shown Trump trailing multiple Democratic presidential contenders in hypothetical 2020 matchups. A Quinnipiac University survey released last week found Trump trailing six candidates by healthy margins.",legal arguments,The Washington Post,left
"'if you're directly complicit in spreading hate, consider dining at home': restaurant owner who kicked sarah sanders out last year defends chicago server who spat on eric trump in a cocktail bar","The Virginia restaurant owner who kicked Sarah Huckabee Sanders out of her restaurant last year is defending the Chicago cocktail bar server who spat in Eric Trump's face last week, saying politicians involved in 'spreading hate' should consider dining at home. Stephanie Wilkinson made headlines last year when she booted Sanders out of her restaurant the Red Hen in Lexington, Virginia. Now she's backing the unnamed server at the upscale Chicago bar The Aviary who spat in Eric Trump's face as he walked in on Tuesday night and was briefly detained by Secret Service agents. Wilkinson says restaurants are 'a part of the soundstage for our ongoing national spectacle'. 'Whether the bar or restaurant serves merely as the backdrop... or takes an active role in the drama, as was the case with Cracker Barrel, Aviary or my restaurant last June, the business involved inevitably comes under attack,' Wilkinson wrote in an opinion piece for the Washington Post published Friday. 'A portion of the public will scold owners and managers about ""staying in their lane"" and express chagrin at the loss of a perceived ""politics-free zone,""' she added. Despite an open service policy where it's illegal to deny someone service because of their race, religion or national origin, Wilkinson says eateries have the right to refuse service. 'If you're an unsavory individual - of whatever persuasion or affiliation - we have no legal or moral obligation to do business with you,' she said. She added that the high-profile clashes usually have nothing to do about the meals themselves. 'It's more often a frustrated person (some of whom are restaurant employees) lashing out at the representatives of an administration that has made its name trashing norms and breaking backs,' she said. 'Not surprising, if you think about it: You can't call people your enemies by day and expect hospitality from them in the evening,' she added. Wilkinson closed her op-ed saying that when the world returns to 'its normal axis' there will be less 'highly charged encounters' making headlines. But for now her message is clear. 'In the meantime, the new rules apply. If you're directly complicit in spreading hate or perpetuating suffering, maybe you should consider dining at home,' she said. 'For the rest, your table is waiting,' she added. Wilkinson's bold move to ask Sarah Sanders to leave the Red Hen in June 2018 when she arrived with seven family members was met with public outrage and support. Following the incident Sanders tweeted about the encounter saying she 'politely left' and '[Wilkinson's] actions say far more about her than about me. I always do my best to treat people, including those I disagree with, respectfully and will continue to do so.' Wilkinson said that her employees felt uncomfortable having Sanders there and took a vote before asking her to leave. On Tuesday June 25 Eric Trump was visiting Chicago for work when he walked into the upscale Aviary bar - run by the famed chef Grant Achatz. After entering a female server approached him and allegedly spat on him. U.S. Secret Service took that employee into custody and Chicago Police arrested her. Eric then asked Chicago Police to let her free when told she would otherwise be charged. Alinea Group, which runs the bar, says that the employee has been placed on leave.",politics,Boston Herald,right
"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki","Video by CNBC Of all the critical statements issued about Monday's Helsinki happenings, the one by Senate Armed Services Chairman John McCain perhaps stood out the most, as the Arizona Republican accused President Donald Trump of making a ""tragic mistake"" in his meetings with Russian President Vladimir Putin and the joint press conference that followed. The Republican pulled no punches in his latest verbal fisticuffs with the president, issuing a lengthy statement from Arizona about what may he thinks may be incalculable damage to U.S. foreign policy. McCain's absence from the Capitol has been obvious throughout his battle with brain cancer, but no more so than during debates over the relationship between the United States and Russia, as well as between the U.S. and NATO allies. The full statement from McCain appears below: ""Today's press conference in Helsinki was one of the most disgraceful performances by an American president in memory. The damage inflicted by President Trump's naiveté, egotism, false equivalence, and sympathy for autocrats is difficult to calculate. But it is clear that the summit in Helsinki was a tragic mistake. ""President Trump proved not only unable, but unwilling to stand up to Putin. He and Putin seemed to be speaking from the same script as the president made a conscious choice to defend a tyrant against the fair questions of a free press, and to grant Putin an uncontested platform to spew propaganda and lies to the world. ""It is tempting to describe the press conference as a pathetic rout   as an illustration of the perils of under-preparation and inexperience. But these were not the errant tweets of a novice politician. These were the deliberate choices of a president who seems determined to realize his delusions of a warm relationship with Putin's regime without any regard for the true nature of his rule, his violent disregard for the sovereignty of his neighbors, his complicity in the slaughter of the Syrian people, his violation of international treaties, and his assault on democratic institutions throughout the world. ""Coming close on the heels of President Trump's bombastic and erratic conduct towards our closest friends and allies in Brussels and Britain, today's press conference marks a recent low point in the history of the American Presidency. That the president was attended in Helsinki by a team of competent and patriotic advisors makes his blunders and capitulations all the more painful and inexplicable. ""No prior president has ever abased himself more abjectly before a tyrant. Not only did President Trump fail to speak the truth about an adversary; but speaking for America to the world, our president failed to defend all that makes us who we are   a republic of free people dedicated to the cause of liberty at home and abroad. American presidents must be the champions of that cause if it is to succeed. Americans are waiting and hoping for President Trump to embrace that sacred responsibility. One can only hope they are not waiting totally in vain."" Get breaking news alerts and more from Roll Call on your iPhone or your Android .",legal arguments,The Washington Post,left
"ron desantis signs amendment 4 bill, limiting felon voting","TALLAHASSEE   Gov. Ron DeSantis signed into law Friday evening a controversial bill limiting how many felons will be able to vote, undercutting much of the promise of last year's historic Amendment 4. DeSantis announced the signing in a news release after the close of business before a weekend   one day short of his deadline to sign it. ""I am considering whether to seek restoration of all civil rights to some of those whose rights were restored by Amendment 4,"" DeSantis wrote in a letter to Florida's Secretary of State Laurel Lee. ""However, I would only consider restoring rights to those convicted of non-violent offenses."" DeSantis, however, did not address the most controversial part of the Legislature's bill. The bill passed last month by Florida's Republican-controlled Legislature was called a ""poll tax"" by critics because it requires all felons to pay back their financial obligations before being eligible to vote. Those obligations are expected to disenfranchise hundreds of thousands of felons who can't immediately afford to pay off their court fees, fines and restitution to victims. The bill was a blow to supporters of last year's Amendment 4, which was supposed to wipe out one of the most racist and enduring policies of Florida's Jim Crow era. Nearly two-thirds of voters last year approved the historic amendment. The 150-year-old law preventing felons from voting was created in the wake of the Civil War, and it was meant to keep black people off the voter rolls. VOTING RIGHTS: Florida Legislature approves Amendment 4 bill that creates hurdles for voting felons Amendment 4 will likely cost 'millions' to carry out. Here's why. She owes $59 million. Should she be allowed to vote under Amendment 4? It worked. By 2016, more than one in five black Floridians were ineligible to vote because they were felons. And the process for getting the right to vote back was arduous, requiring, under Gov. Rick Scott, felons to drive to Tallahassee and plead their case before the governor and Cabinet. The amendment voters passed allowed felons to automatically be eligible to vote if they completed ""all terms of their sentence including parole or probation."" Supporters of the amendment argued that the language was simple enough, and that the Legislature didn't need to clarify it further. But county elections supervisors asked lawmakers for guidance interpreting the amendment. For supporters of Amendment 4, the language meant that felons who left prison and completed parole and probation could automatically vote. That would also have been the simplest way to carry it out, too, since the Florida Department of Corrections tracks felons who are still under supervision. But Republican lawmakers took a more restrictive approach. They argued that ""all terms of sentence"" included the various court fines, fees and restitution to victims that felons often have to pay, and that felons would have to repay all of those debts before being able to vote. While some other states have similar policies, it means that some felons will have to wait years to vote, if they can ever vote at all. One woman told lawmakers during the Legislative session that she owes $59 million in restitution, which she'll never be able to repay. And the Republicans' approach is confusing and expensive. Because no state or local agency tracks restitution, lawmakers estimated it would cost ""millions"" to carry out. It goes into effect Monday.     ©2019 the Tampa Bay Times (St. Petersburg, Fla.) Visit the Tampa Bay Times (St. Petersburg, Fla.) at www.tampabay.com Distributed by Tribune Content Agency, LLC.",Voting Rights,The Sacramento Bee,left
Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,"PHILADELPHIA (CBS)   Philadelphia Police officials announced Wednesday that more than 70 officers are now off the street in connection to controversial Facebook posts. Members of the Rally for Justice coalition say more needs to be done and want all the officers connected to be taken off the street. The Rally for Justice coalition held a protest on Thursday that began at City Hall, calling for more action to be taken in the scandal connected to a number of police officers. The group is comprised of civic leaders NAACP members the black clergy and other activists. 72 Philadelphia Police Officers On Administrative Duty Over Alleged Racist And Violent Social Media Posts, Commissioner Says They are not fully happy with the response to hundreds of officers who reportedly posted racist and violent public Facebook posts unearthed by the Plain View Project. ""We support Derrick Green's resolution, calling for hearings on the racist police who posted on Facebook,"" Solomon Jones said, ""and said openly that they hate the people whose communities they patrol."" The group wants city council to intervene on the heels of Philadelphia Police Commissioner Richard Ross's announcement that 72 of the 328 officers involved have been placed on administrative duty. The Rally for Justice coalition showed up in force at the City Council meeting Thursday afternoon. They say they won't be satisfied until all officers involved in this scandal are removed from the streets. ""We know there's several members of council are planning to make statements around this issue, we need them to make a statement and speak up and do what they're hired to do, their job is to represent the people,"" Jones said. 'Get Them Off The Streets': Protesters Demand Hundreds Of Philadelphia Police Officers Accused Of Racist Facebook Posts Be Placed On Desk Duty ""So today, we want our city leaders, who we just voted for to join with us to make certain that the police that do not want to police our community are removed,"" Paula Peebles said. Despite calls for mass firings within the police department, Fraternal Order of Police officials say their officials deserve due process as the investigation plays out. ""We feel that it's excessive to take over 6,000 police officers off the street with the level of violence that's occurring in the city,"" FOP vice president John McGrody said. ""We're also backing the officers here on a daily basis with the interviews. We think the investigation is far too broad."" The FOP concerned that the more officers that are taken off the streets, the more vulnerable the city becomes to the crime wave they say it's already experiencing. FOP members are also upset that action is already being taken before the investigation has concluded.",crime,CBS News,left
"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal","Rep. Alexandria Ocasio-Cortez and Sen. Bernie Sanders will introduce Tuesday a resolution declaring a climate change emergency, a move that comes after the Green New Deal failed to take off the ground earlier this year. The resolution, also co-sponsored by Oregon Rep. Earl Blumenauer, will call for a wide-scale mobilization to combat the emergency and restore the climate ""for future generations."" GREEN NEW DEAL FAILS SENATE TEST VOTE AS DOZENS OF DEMOCRATS VOTE 'PRESENT' ""The global warming caused by human activities,"" claims the draft resolution, according to the Mother Jones magazine, ""has resulted in a climate emergency that … demands a national, social, industrial, and economic mobilization of the resources and labor of the United States at a massive-scale."" Ocasio-Cortez and Blumenauer, meanwhile, also wrote to fellow members of Congress urging them to declare climate change an emergency in a bid to ""swiftly mobilize federal resources in response."" The resolution, according to the outlet, details how climate change impacts public health and national security of the U.S., though it doesn't make any exact recommendations how to address the so-called emergency. The latest declaration comes after Ocasio-Cortez's signature Green New Deal, a sweeping Democratic proposal for dealing with climate change, failed a test vote in the U.S. Senate back in March, with 42 Democrats and Sen. Bernie Sanders, I-Vt., voting ""present."" OCASIO-CORTEZ ASSAILS BIDEN'S 'MIDDLE GROUND' CLIMATE CHANGE PLAN, SAYS IT'S 'DEALBREAKER' Both the New York Democrat and her colleagues decried Senate Majority Leader Mitch McConnell's move to bring the Green New Deal up for a vote, saying the Republicans purposely rushed the vote while McConnell only wanted Democrats to go on record to support the sweeping proposal that he himself called ""a radical, top-down, socialist makeover of the entire U.S. economy."" The Green New Deal calls for the U.S. to shift away from fossil fuels such as oil and coal and replace them with renewable sources such as wind and solar power. It calls for virtual elimination by 2030 of greenhouse gas emissions responsible for global warming. Republicans have railed against the proposal, saying it would devastate the economy and trigger massive tax increases. It remains unclear how the new resolution differs from the Green New Deal, though a spokesperson for Sanders told the magazine that unlike President Trump's emergencies, the climate change declaration warrants the use of emergency powers. CLICK HERE TO GET THE FOX NEWS APP ""President Trump has routinely declared phony national emergencies to advance his deeply unpopular agenda,"" the spokesperson said. ""On the existential threat of climate change, Trump insists on calling it a hoax.""",environmental issues,Fox News,right
Killer of 16-year-old New York girl in 1980 released on parole despite outrage,"A New York man convicted of brutally murdering a 16-year-old girl in 1980 was released from prison Monday despite outrage from community members and criticism from the state's former governor. Richard LaBarbera, 66, walked free 38 years after he began serving a sentence of 25 years to life for the second-degree murder of Paula Bohovesky. 'SO HIDEOUS' THAT 16-YEAR-OLD NEW YORK GIRL'S KILLER IS BEING RELEASED, PATAKI SAYS IN PLEA TO CUOMO Bohovesky, an honors student, was walking home from her part-time job at the library on Oct. 28, 1980, in Pearl River, a quiet community some 30 miles north of New York City. Police say she was hit in the head with a concrete block, raped twice, strangled and stabbed five times just a block away from her home by LaBarbera and Robert McCain what the local medical examiner described as the most brutal murder he had ever seen. Both men were given the toughest sentence available at the time and had previously been denied parole every two years since becoming eligible in 2005. However, last month, LaBarbera was granted parole in a hearing with three members of the state's 12-person parole board while McCain, now 58, was denied parole . A non-profit organization ""Petition for Paula"" filed a lawsuit last week in New York Supreme Court along with the victim's mother, Lois Bohovesky , demanding that LaBarbera be given another parole hearing in front of all 12 members and that his scheduled release be delayed because full transcripts of the decisive hearing have not been released. The lawsuit also asked a judge not to allow LaBarbera to go within five counties of Pearl River because the victim's mother still lives there. The Journal News reported Monday that the state initially intended to release LaBarbera in Peekskill, less than an hour from Pearl River. However, attorneys for Lois Bohovesky convinced the state attorney general's office to reassign the parolee to an office in Buffalo and a judge in Albany ordered LaBarbera to stay at least three counties away from his victim's mother. A July 26 hearing has been scheduled to determine whether the restrictions should be made permanent. Last month, hundreds of protestors walked silently in the dark, with candles illuminating the same path Bohovesky walked on that fateful night, hoping to inspire New York Gov. Andrew Cuomo to intervene in the Parole Board's decision. HUNDREDS PROTEST PLAN TO RELEASE 16-YEAR-OLD GIRL'S CONVICTED KILLER Former New York Gov. George Pataki told Fox News last week Cuomo should force the parole board   filled with the governor's appointees   to reconsider its decision to parole LaBarbera. ""The governor can certainly ask the parole board to take another look and to look at the facts, to look at the lack of remorse, and if they did, they would have to see that this man should not be out in the streets,"" Pataki said. ""I have been very careful about not commenting on state government policies since I left office, but this release of this rapist and murderer is so hideous to me, I really feel an obligation to speak out so that first, hopefully, it won't happen, but if it sadly does, that it won't happen again."" All of these pleas were to no avail. Opponents of LaBarbera's release, including Lois Bohovesky, contend he has neither accepted full responsibility nor shown remorse for his crime. CLICK HERE FOR THE FOX NEWS APP ""He [LaBarbera] still hasn't taken responsibility for the murder,"" Bohovesky, 87, told Fox News last month in an exclusive on-camera interview. "" ... I don't think he's sorry. He's never accepted responsibility for it, so how can he be sorry?"" Fox News' Cristina Corbin contributed to this report.",crime,Fox News,right
george conway urges trump to resign over aborted iran strike,"George Conway blasted President Trump and called for him to resign from office after he walked back a planned military strike against Iran in response to the downing of a U.S. surveillance drone. ""Trump didn't realize UNTIL TEN MINUTES BEFOREHAND that a planned airstrike would kill over a hundred people and would therefore be grossly disproportionate to the loss of a UAV?"" Conway, lawyer and husband of White House counselor Kellyanne Conway, tweeted Friday. ""To say this is amateur hour would defame amateurs."" ""Resign. If you didn't know this until it was almost too late, you're even more of an idiot than people think you are,"" Conway tweeted in response to Trump. ""Do the country and the world a favor. Go back to real estate, where the worst you can do is kill banks."" Trump didn't realize UNTIL TEN MINUTES BEFOREHAND that a planned airstrike would kill over a hundred people and would therefore be grossly disproportionate to the loss of a UAV? To say this is amateur hour would defame amateurs. - George Conway (@gtconway3d) June 21, 2019 Resign. If you didn't know this until it was almost too late, you're even more of an idiot than people think you are. Do the country and the world a favor. Go back to real estate, where the worst you can do is kill banks. https://t.co/k7z9KW4Elt - George Conway (@gtconway3d) June 21, 2019 Conway's comments came after Trump confirmed via Twitter that the U.S. had been ""cocked and loaded"" to retaliate against Iran, but that he called off the mission at the last minute after learning that 150 Iranians would die. ""We were cocked & loaded to retaliate last night on 3 different sights when I asked, how many will die. 150 people, sir, was the answer from a General. 10 minutes before the strike I stopped it, not proportionate to shooting down an unmanned drone,"" Trump tweeted. Iranian officials said Friday that Trump warned them that an attack was imminent. The officials also said Friday that they were informed of the planned attack in a ""short period"" before it was initially scheduled to be carried out. ""In his message, Trump said he was against any war with Iran and wanted to talk to Tehran about various issues,"" one Iranian official said. U.S. and Iranian officials are disputing the location of the drone when it was shot down late Wednesday, with Iran arguing that it had entered the country's airspace. The U.S. Central Command (Centcom) said the U.S. Navy RQ-4A Global Hawk drone was shot down by an Iranian missile system in an ""unprovoked attack."" Centcom denied claims from Iranian officials stating that the drone had flown over Hormozgan Province in southern Iran. ""This attack is an attempt to disrupt our ability to monitor the area following recent threats to international shipping and free flow of commerce, "" Lt. Gen. Joseph Guastella, commander of U.S. Air Forces Central Command, said in a statement. The New York Times reported late Thursday that Trump had ordered a strike overnight against Iran, but pulled back. Following that report, Conway railed against Trump in a late-night tweet that he has since pinned to his Twitter page , slamming the commander in chief as an ""erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man whose judgment no serious, intelligent person trusts.""",science,The Boston Globe,left
