cluster_id,article_title,paragraph_index,representative_span,source_count,candidate_count,accept_score,threshold,accepted,final_category,final_subcategory,sources
democrat robert martwick sworn in as state senat__p1__c1,Democrat Robert Martwick sworn in as state senator; GOP taps Rosemont Mayor Brad Stephens for House seat,1,deliver for his district on day one,1,1,0.282051,0.5,False,Persuasive Propaganda,exaggeration,gpt5mini_prompt5
democrat robert martwick sworn in as state senat__p3__c1,Democrat Robert Martwick sworn in as state senator; GOP taps Rosemont Mayor Brad Stephens for House seat,3,We will do whatever it takes to win,1,1,0.282051,0.5,False,Persuasive Propaganda,slogans,gpt5mini_prompt5
phoenix chief says police response to incident w__p0__c1,phoenix chief says police response to incident with 4-year-old is 'unacceptable',0,"When I tell you to do something, you f------ do it!",1,1,0.282051,0.5,False,Inflammatory Language,name-calling,gpt5mini_prompt5
phoenix chief says police response to incident w__p1__c1,phoenix chief says police response to incident with 4-year-old is 'unacceptable',1,one of the most insane attacks on a black family,3,3,0.820513,0.5,True,Persuasive Propaganda,exaggeration,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
four top residencies now offered to local artist__p0__c1,"Four top residencies now offered to local artists, thanks to Oolite",0,superpower their careers,2,2,0.461538,0.5,False,Persuasive Propaganda,exaggeration,claude_haiku_prompt5|gpt5mini_prompt5
port of la sued after canceling agreement for a __p2__c1,port of l.a. sued after canceling agreement for a shipping container facility,2,stymied by a single entity for their own narrow reasons,2,2,0.538462,0.5,True,Inflammatory Language,scapegoating,gemini_flash_prompt5|gpt5mini_prompt5
port of la sued after canceling agreement for a __p2__c2,port of l.a. sued after canceling agreement for a shipping container facility,2,they [ILWU] run the Port,1,1,0.282051,0.5,False,Inflammatory Language,scapegoating,gpt5mini_prompt5
get these trending washington restaurants on you__p1__c1,get these trending washington restaurants on your radar today,1,bagged a staggering 141.7% increase,1,1,0.282051,0.5,False,Persuasive Propaganda,exaggeration,gpt5mini_prompt5
south african woman reunited with son six years __p1__c1,"south african woman reunited with son six years after he disappeared and was tracked down 1,000 miles away",1,"In 90% of missing persons cases, it doesn't end well.",1,1,0.282051,0.5,False,Persuasive Propaganda,exaggeration,gpt5mini_prompt5
protest in madrid as conservatives suspend ban o__p0__c1,Protest in Madrid as conservatives suspend ban on most polluting cars,0,We aspire to have a Madrid without smoke,2,2,0.564103,0.5,True,Persuasive Propaganda,slogans,adjudicated_prompt2|gpt5mini_prompt5
