index,title,topic,source,rating,provider,model,prompt_file,temperature,raw_json
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",legal arguments,The Washington Post,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""most disgraceful performances by an American president in memory"",
      ""openFeedback"": ""This strongly condemns the president's conduct as exceptionally disgraceful in historical terms."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""a pathetic rout"",
      ""openFeedback"": ""This is an insulting, loaded label for the press conference performance."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""to defend a tyrant against the fair questions of a free press"",
      ""openFeedback"": ""Calling Putin a tyrant frames him as fundamentally oppressive and dangerous."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""to grant Putin an uncontested platform to spew propaganda and lies to the world"",
      ""openFeedback"": ""Describes Putin’s speech as toxic and deceitful on a global scale."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""his delusions of a warm relationship with Putin's regime"",
      ""openFeedback"": ""Labeling the president’s views as delusions is a loaded, derogatory characterization."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""his violent disregard for the sovereignty of his neighbors, his complicity in the slaughter of the Syrian people"",
      ""openFeedback"": ""Portrays Putin as violently expansionist and complicit in mass killing."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""his assault on democratic institutions throughout the world"",
      ""openFeedback"": ""Frames Putin as attacking democracy on a global scale."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""exaggeration"",
      ""text"": ""marks a recent low point in the history of the American Presidency"",
      ""openFeedback"": ""Presents the event as an extreme historical low without qualification."",
      ""paragraphIndex"": 3
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""his blunders and capitulations"",
      ""openFeedback"": ""Uses charged labels to characterize the president’s actions as foolish and surrendering."",
      ""paragraphIndex"": 3
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""No prior president has ever abased himself more abjectly before a tyrant"",
      ""openFeedback"": ""Depicts both unprecedented self-humiliation and frames Putin as a tyrant."",
      ""paragraphIndex"": 4
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""exaggeration"",
      ""text"": ""No prior president has ever abased himself more abjectly"",
      ""openFeedback"": ""Asserts an absolute historical superlative about the president’s behavior."",
      ""paragraphIndex"": 4
    }
  ]
}"
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",legal arguments,The Washington Post,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""ramped up his attacks against the nation's biggest newspapers"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""Descriptive but not clearly polarizing by itself."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""more dishonest and deceitful"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Applies charged labels without evidence."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""the Failing New York Times"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Derogatory label aimed at discrediting the outlet."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""the Amazon (lobbyist) Washington Post"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Loaded label implying corrupt lobbying role."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""They are both a disgrace to our Country"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Portrays the newspapers as disgraceful threats to the nation."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""the Enemy of the People"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Frames outlets as enemies of the population."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""these horrible papers will quickly go out of business & be forever gone"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Wishes for their disappearance, depicting them as wholly negative."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""both of these horrible papers"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Uses the label \""horrible\"" to discredit without evidence."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""KEEP AMERICA GREAT"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""slogans"",
      ""openFeedback"": ""Short political slogan evoking support for a cause."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""after America has been made GREAT again"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""Sweeping positive claim about national condition."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""He also asked if \""people would demand that I stay longer\"""",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""bandwagon"",
      ""openFeedback"": ""Invokes popular demand as justification for extended rule."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""\""keep America great\"""",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""slogans"",
      ""openFeedback"": ""Repetition of campaign-style slogan."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""\""enemy of the people\"""",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Depicts the press as hostile to the populace."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""Twitter latest tirade"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""Mildly negative but not clearly propaganda or inflammatory per definitions."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""a \""virtual act of treason\"""",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Portrays reporting as traitorous and dangerous to the country."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""so desperate for a story, any story, even if bad for our Country"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Frames the paper as willing to harm the country for stories."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""a once great paper"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Contrasts past greatness with implied current disgrace."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""This paragraph neutrally summarizes reported actions and sourcing."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""lashed out at the media"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""Descriptive of criticism; not clearly a propaganda or inflammatory technique."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""\""fake news \"" and \""fake polling\"""",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Assigns disparaging labels to media and polling."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""The Fake News has never been more dishonest than it is today"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Depicts the media as maximally dishonest and untrustworthy."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""Their new weapon of choice is Fake Polling"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Frames media as using \""weapons\"" against the public."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""Fake Polling, sometimes referred to as Suppression Polls"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""doubt"",
      ""openFeedback"": ""Encourages distrust of polling as manipulative suppression."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""thank goodness we can fight back on Social Media"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""bandwagon"",
      ""openFeedback"": ""Invites collective resistance via social media against \""Fake News.\"""",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""Purely reports polling results without charged rhetoric."",
      ""paragraphIndex"": 4
    }
  ]
}"
2,'Every American is entitled to health care': Sen. Bernie Sanders,health,ABC News,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""end the greed of the health insurance and pharmaceutical industries"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""This phrase portrays entire industries as driven by greed, suggesting they are fundamentally corrupt or harmful."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""our dysfunctional system"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Labels the health care system with a strongly negative, loaded descriptor instead of neutrally describing problems."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""no longer private corporations to make billions of dollars in profits off Americans' health care"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""This sweeping claim about corporations making \""billions\"" off Americans’ health care functions as an emotionally charged overstatement to support reform."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 2
    }
  ]
}"
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,crime,CBS News,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 0,
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language.""
    },
    {
      ""text"": ""they hate the people whose communities they patrol"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""paragraphIndex"": 1,
      ""openFeedback"": ""This portrays the targeted police officers as hating the very people they serve, suggesting a fundamentally hostile and dangerous attitude.""
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 2,
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language.""
    },
    {
      ""text"": ""the crime wave they say it's already experiencing"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""paragraphIndex"": 3,
      ""openFeedback"": ""The phrase \""crime wave\"" can be an overstatement used to amplify fear about crime levels without specific evidence here.""
    }
  ]
}"
4,the latest: nadler says panel will move quickly on mcgahn,politics,Louisville Courier Journal,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""\""Nervous Nancy\"""",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""This is a derogatory nickname used to label Pelosi."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 3
    }
  ]
}"
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,crime,CBS,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""\""It's sickening and disgusting that some low-life would deface the mural of hero and fallen-officer, Robert Wilson III,\"""",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""The term \""low-life\"" is an explicitly derogatory label aimed at the vandal."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""low-life"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""This is a concise, emotionally charged insult directed at the vandal."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""This paragraph expresses distress and sympathy but does not use explicit polarizing techniques."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""\""The ignorance and disrespect shown toward police is at an all time high."",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""Claiming disrespect toward police is at an \""all time high\"" amplifies the seriousness in a potentially overstated way."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""has resulted in an indescribable emotional reaction"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""Describing the emotional reaction as \""indescribable\"" heightens the emotional impact beyond specific description."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""WE ARE LIVID!"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""slogans"",
      ""openFeedback"": ""The phrase is short, emphatic, all-caps, and functions as a rallying emotional slogan."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""the DA of this city set this tone of disrespect for the city by slighting Sgt. Wilson, III by offering a backdoor plea and denying him a trial."",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""casual oversimplification"",
      ""openFeedback"": ""This attributes a broad \""tone of disrespect\"" in the city to a single DA decision, simplifying a complex issue to one cause."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""top persecutor of this city"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Calling the DA the \""top persecutor\"" is a disparaging, loaded label playing on \""prosecutor\"" to portray hostility."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""while backing criminals"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Accusing the DA of \""backing criminals\"" frames the official as aligning with dangerous wrongdoers."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""why should any other layman warrant any real respect and keep their memory alive?"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""doubt"",
      ""openFeedback"": ""This rhetorical question encourages doubt about whether ordinary people deserve respect for fallen officers’ memory."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""the consequences of such are as minuscule as a slap on the wrist."",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""Comparing consequences to \""a slap on the wrist\"" minimizes them for rhetorical effect, likely overstating leniency."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""This closing paragraph is a straightforward call for information without polarizing rhetoric."",
      ""paragraphIndex"": 3
    }
  ]
}"
6,george conway urges trump to resign over aborted iran strike,science,The Boston Globe,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""you're even more of an idiot than people think you are"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Uses the insult 'idiot' as a loaded negative label for Trump."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""you're even more of an idiot than people think you are"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Quoted insult directly labels Trump with a derogatory term."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""slamming the commander in chief as an \""erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""A string of harsh, loaded negative descriptors functioning as insults toward Trump."",
      ""paragraphIndex"": 3
    }
  ]
}"
7,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,legal arguments,Newsweek,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""Jared Kushner has repeatedly benefited from special treatment; as with his many deceptions regarding his security clearance"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Describing Kushner as having 'many deceptions' and 'repeatedly benefited from special treatment' portrays him as broadly dishonest and corrupt, going beyond specific criticism into character-focused vilification."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""Jared Kushner lied on his SF-86 form and must lose his security clearance"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""doubt"",
      ""openFeedback"": ""The statement asserts that Kushner lied on a key security form and argues he must lose clearance, directly encouraging doubt about his honesty and trustworthiness in a national-security context."",
      ""paragraphIndex"": 2
    }
  ]
}"
8,"ron desantis signs amendment 4 bill, limiting felon voting",environmental issues,The Sacramento Bee,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""one of the most racist and enduring policies of Florida's Jim Crow era"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""This phrase portrays a policy as deeply racist and enduring, framing it as morally abhorrent and socially destructive."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""was arduous, requiring, under Gov. Rick Scott, felons to drive to Tallahassee and plead their case"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""This is strong criticism but describes a burdensome process without using demonizing or name-calling language."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""some felons will have to wait years to vote, if they can ever vote at all"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""The phrase implies an indefinite or permanent loss of voting rights in a sweeping way, heightening the perceived severity."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""the Republicans' approach is confusing and expensive"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""This evaluative statement characterizes the policy in broad negative terms without specific evidence in the same clause, amplifying its downsides."",
      ""paragraphIndex"": 3
    }
  ]
}"
9,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",science,Business Insider,center,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""record of hostility toward LGBTQ rights and abortion rights"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Frames the subject as broadly hostile to key rights, casting him as a threat rather than neutrally describing positions."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""extreme views on both fronts"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Uses the loaded label \""extreme\"" as a negative characterization rather than a neutral description."",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""being transgender \""a delusion.\"""",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Describes transgender identity as a mental delusion, demeaning and dehumanizing a group."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""\""seven justices of the Supreme Court found an unwritten 'fundamental right' to abortion hiding in the due process clause of the Fourteenth Amendment and the shadowy 'penumbras' of the Bill of Rights, a celestial phenomenon invisible to the non-lawyer eye.\"""",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""openFeedback"": ""Mocks the Court’s reasoning as a fantastical \""celestial phenomenon,\"" overstating its supposed absurdity for rhetorical effect."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""bizarre comments"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Labels his comments as \""bizarre,\"" a pejorative descriptor aimed at discrediting rather than neutrally describing them."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""\""public affirmation of the lie that the human person is an autonomous blob of Silly Putty, unconstrained by nature or biology\"""",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Depicts people supporting the Equality Act as endorsing a \""lie\"" and portrays the human person as a malleable \""blob of Silly Putty,\"" demeaning and framing them as detached from reality."",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""\""Why on earth is this man a nominee for a lifetime appointment? Why would my colleagues want to drape black robes over these bigoted views?"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Refers to his views as \""bigoted,\"" a strongly negative label aimed at discrediting him."",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""right-wing Christian advocacy group"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""Describes the ideological and religious orientation of the group without overtly inflammatory or propagandistic phrasing."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""young, right-wing ideologues"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""\""Ideologues\"" is a pejorative label suggesting rigid, dogmatic beliefs rather than neutral description."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""He is one of Trump's most extreme nominees"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""openFeedback"": ""Calling him \""most extreme\"" assigns a strongly negative label without specific evidence in the phrase itself."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""driving Trump's judicial selection process and funneling anti-abortion and anti-LGBTQ nominees to the White House"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""openFeedback"": ""Portrays the organization as covertly channeling ideologically hostile nominees, implying a threatening influence."",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""openFeedback"": ""This paragraph provides quantitative confirmation statistics and context without clear polarizing rhetorical techniques."",
      ""paragraphIndex"": 4
    }
  ]
}"
