index,title,topic,source,rating,provider,model,prompt_file,temperature,raw_json
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",legal arguments,The Washington Post,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
    ""category"": ""Inflammatory Language"",
    ""subcategory"": ""name-calling"",
    ""text"": ""tragic mistake"",
    ""openFeedback"": ""McCain uses 'tragic mistake' as a loaded label to characterize Trump's actions, employing emotionally charged language rather than evidence-based argument."",
    ""paragraphIndex"": 1
  }"
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",legal arguments,The Washington Post,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
    ""category"": ""Inflammatory Language"",
    ""subcategory"": ""name-calling"",
    ""text"": ""the Enemy of the People"",
    ""openFeedback"": ""Direct loaded label assigned to newspapers to shape audience perception negatively."",
    ""paragraphIndex"": 0
  }"
2,'Every American is entitled to health care': Sen. Bernie Sanders,health,ABC News,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
    ""category"": ""Persuasive Propaganda"",
    ""subcategory"": ""exaggeration"",
    ""text"": ""international embarrassment of not guaranteeing health care as a right"",
    ""openFeedback"": ""Characterizing the U.S. healthcare system as an 'international embarrassment' artificially amplifies and dramatizes the issue beyond factual description."",
    ""paragraphIndex"": 0
  }"
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,crime,CBS News,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
    ""category"": ""Inflammatory Language"",
    ""subcategory"": ""name-calling"",
    ""text"": ""racist police who posted on Facebook"",
    ""openFeedback"": ""Direct labeling of officers as 'racist police' rather than describing their conduct neutrally."",
    ""paragraphIndex"": 1
  }"
4,the latest: nadler says panel will move quickly on mcgahn,politics,Louisville Courier Journal,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
    ""category"": ""No Polarizing language"",
    ""subcategory"": ""no polarizing language"",
    ""text"": ""no polarizing language selected"",
    ""openFeedback"": ""The paragraph reports factual information about House Judiciary Committee actions and the Mueller report without inflammatory language or persuasive propaganda techniques."",
    ""paragraphIndex"": 0
  }"
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,crime,CBS,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
    ""category"": ""Inflammatory Language"",
    ""subcategory"": ""name-calling"",
    ""text"": ""low-life"",
    ""openFeedback"": ""This is a direct emotionally charged label assigned to describe the vandal."",
    ""paragraphIndex"": 2
  }"
6,george conway urges trump to resign over aborted iran strike,science,The Boston Globe,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
    ""category"": ""Inflammatory Language"",
    ""subcategory"": ""name-calling"",
    ""text"": ""you're even more of an idiot than people think you are"",
    ""openFeedback"": ""Direct name-calling using 'idiot' as a loaded negative label to shape audience perception of Trump."",
    ""paragraphIndex"": 0
  }"
7,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,legal arguments,Newsweek,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
    ""category"": ""No Polarizing language"",
    ""subcategory"": ""no polarizing language"",
    ""text"": ""no polarizing language selected"",
    ""openFeedback"": ""Paragraph introduces the recommendation and Democratic request for investigation. The language is factual and neutral reporting of official actions and statements."",
    ""paragraphIndex"": 0
  }"
8,"ron desantis signs amendment 4 bill, limiting felon voting",environmental issues,The Sacramento Bee,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
    ""category"": ""Inflammatory Language"",
    ""subcategory"": ""name-calling"",
    ""text"": ""poll tax"",
    ""openFeedback"": ""The phrase 'poll tax' is a loaded label used by critics to shape how the audience views the bill. It assigns an emotionally charged historical comparison rather than describing the bill's mechanism neutrally."",
    ""paragraphIndex"": 0
  }"
9,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",science,Business Insider,center,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_4_boundary_examples_precision.md,0.0,"{
    ""category"": ""Inflammatory Language"",
    ""subcategory"": ""name-calling"",
    ""text"": ""bigoted views"",
    ""openFeedback"": ""Schumer uses 'bigoted' as a loaded negative label to characterize Kacsmaryk's positions rather than engaging with substantive arguments."",
    ""paragraphIndex"": 2
  }"
