article_title,paragraph_index,cluster_status,vote_pattern,representative_accept,representative_deny,representative_total_votes,representative_accept_rate,subcategory,category,representative_text,representative_meta,cluster_member_count,cluster_metas,cluster_texts
Every American is entitled to health care': Sen. Bernie Sanders,1,majority_accept,2-1,2,1,3,0.6666666667,demonization,inflammatory language,"f you support Medicare for all, you have to be willing to end the greed of the health insurance and pharmaceutical industries",Ashrey,2,Ashrey | Prerana,"f you support Medicare for all, you have to be willing to end the greed of the health insurance and pharmaceutical industries || be willing to end the greed of the health insurance"
Every American is entitled to health care': Sen. Bernie Sanders,1,majority_accept,2-1,2,1,3,0.6666666667,demonization,inflammatory language,no longer private corporations to make billions of dollars in profits off Americans' health care.,Ashrey,1,Ashrey,no longer private corporations to make billions of dollars in profits off Americans' health care.
Every American is entitled to health care': Sen. Bernie Sanders,1,majority_accept,2-1,2,1,3,0.6666666667,doubt,persuasive propaganda,That means boldly transforming our dysfunctional system by ending the use of private health insurance,Ashrey,1,Ashrey,That means boldly transforming our dysfunctional system by ending the use of private health insurance
Every American is entitled to health care': Sen. Bernie Sanders,1,majority_accept,2-1,2,1,3,0.6666666667,slogans,persuasive propaganda,guarantee health care as a human right,Prerana,2,Ashrey | Prerana,guarantee health care as a human right || guarantee health care as a human right
Every American is entitled to health care': Sen. Bernie Sanders,2,majority_accept,2-1,2,1,3,0.6666666667,no polarizing language,no polarizing language,no polarizing language selected,Ashrey,2,Aarush | Ashrey,no polarizing language selected || no polarizing language selected
WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,0,majority_accept,3-0,3,0,3,1,name-calling,inflammatory language,"f hero and fallen-officer,",Prerana,1,Prerana,"f hero and fallen-officer,"
WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,majority_accept,2-1,2,1,3,0.6666666667,bandwagon,persuasive propaganda,why should any other layman warrant any real respect and keep their memory alive?,Ashrey,1,Ashrey,why should any other layman warrant any real respect and keep their memory alive?
WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,majority_accept,2-1,2,1,3,0.6666666667,exaggeration,persuasive propaganda,orance and disrespect shown toward police is at an al,Prerana,1,Prerana,orance and disrespect shown toward police is at an al
WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,majority_accept,2-1,2,1,3,0.6666666667,slogans,persuasive propaganda,"WE ARE LIVID! One year ago,",Prerana,1,Prerana,"WE ARE LIVID! One year ago,"
WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,2,majority_accept,3-0,3,0,3,1,exaggeration,persuasive propaganda,h are as minuscule as a slap on the wrist.,Prerana,1,Prerana,h are as minuscule as a slap on the wrist.
"if you're directly complicit in spreading hate, consider dining at home': restaurant owner who kicked sarah sanders out last year defends chicago server who spat on eric trump in a cocktail bar",0,majority_accept,2-1,2,1,3,0.6666666667,demonization,inflammatory language,"who spat in Eric Trump's face last week, saying politicians involved in 'spreading hate' should consider dining at home",Ashrey,1,Ashrey,"who spat in Eric Trump's face last week, saying politicians involved in 'spreading hate' should consider dining at home"
"if you're directly complicit in spreading hate, consider dining at home': restaurant owner who kicked sarah sanders out last year defends chicago server who spat on eric trump in a cocktail bar",1,majority_accept,2-1,2,1,3,0.6666666667,name-calling,inflammatory language,"If you're an unsavory individual - of whatever persuasion or affiliation - we have no legal or moral obligation to do business with you,",Prerana,1,Prerana,"If you're an unsavory individual - of whatever persuasion or affiliation - we have no legal or moral obligation to do business with you,"
"if you're directly complicit in spreading hate, consider dining at home': restaurant owner who kicked sarah sanders out last year defends chicago server who spat on eric trump in a cocktail bar",2,majority_accept,2-1,2,1,3,0.6666666667,exaggeration,persuasive propaganda,its normal axis' there will be less 'highly charged encounters' making headlines.,Prerana,1,Prerana,its normal axis' there will be less 'highly charged encounters' making headlines.
"pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",0,majority_accept,2-1,2,1,3,0.6666666667,no polarizing language,no polarizing language,no polarizing language selected,Aarush,1,Aarush,no polarizing language selected
Biden criticizes Amazon for paying $0 in corporate taxes,0,majority_accept,2-1,2,1,3,0.6666666667,exaggeration,persuasive propaganda,"I have nothing against Amazon, but no company pulling in billions of dollars of profits should pay a lower tax rate than firefighters and teachers",Ashrey,2,Ashrey | Prerana,"I have nothing against Amazon, but no company pulling in billions of dollars of profits should pay a lower tax rate than firefighters and teachers || ut no company pulling in billions of dollars of profits should pay a lower tax rate"
Biden criticizes Amazon for paying $0 in corporate taxes,0,majority_accept,2-1,2,1,3,0.6666666667,exaggeration,persuasive propaganda,presidential candidate to slam one,Aarush,1,Aarush,presidential candidate to slam one
Biden criticizes Amazon for paying $0 in corporate taxes,0,majority_accept,2-1,2,1,3,0.6666666667,slogans,persuasive propaganda,"We need to reward work, not just wealth",Ashrey,2,Ashrey | Prerana,"We need to reward work, not just wealth || e need to reward work, not just wealth."""
Biden criticizes Amazon for paying $0 in corporate taxes,1,majority_accept,2-1,2,1,3,0.6666666667,demonization,inflammatory language,who said they were treated inhumanely at the facilitie,Prerana,1,Prerana,who said they were treated inhumanely at the facilitie
Biden criticizes Amazon for paying $0 in corporate taxes,3,majority_accept,2-1,2,1,3,0.6666666667,no polarizing language,no polarizing language,no polarizing language selected,Ashrey,2,Aarush | Ashrey,no polarizing language selected || no polarizing language selected
BuzzFeed Journalists Protest in Push for Union Recognition,0,majority_accept,2-1,2,1,3,0.6666666667,name-calling,inflammatory language,also a giant inflatable rat -- a common form of protest by striking trade unions,Prerana,1,Prerana,also a giant inflatable rat -- a common form of protest by striking trade unions
BuzzFeed Journalists Protest in Push for Union Recognition,0,majority_accept,3-0,3,0,3,1,no polarizing language,no polarizing language,no polarizing language selected,Aarush,1,Aarush,no polarizing language selected
BuzzFeed Journalists Protest in Push for Union Recognition,0,majority_accept,2-1,2,1,3,0.6666666667,slogans,persuasive propaganda,"Recognize the BuzzFeed Union!!""",Prerana,2,Ashrey | Prerana,"Recognize the BuzzFeed Union!! || Recognize the BuzzFeed Union!!"""
BuzzFeed Journalists Protest in Push for Union Recognition,1,majority_accept,2-1,2,1,3,0.6666666667,exaggeration,persuasive propaganda,"unfair pay disparities, mismanaged pivots and layoffs, weak benefits, skyrocketing health insurance costs, diversity, and more",Prerana,1,Prerana,"unfair pay disparities, mismanaged pivots and layoffs, weak benefits, skyrocketing health insurance costs, diversity, and more"
BuzzFeed Journalists Protest in Push for Union Recognition,1,majority_accept,3-0,3,0,3,1,no polarizing language,no polarizing language,no polarizing language selected,Ashrey,2,Aarush | Ashrey,no polarizing language selected || no polarizing language selected
BuzzFeed Journalists Protest in Push for Union Recognition,2,majority_accept,3-0,3,0,3,1,name-calling,inflammatory language,once the darlings of the media industry,Prerana,1,Prerana,once the darlings of the media industry
DC mayor says Trump's Fourth of July celebration emptied security fund,0,majority_accept,3-0,3,0,3,1,no polarizing language,no polarizing language,no polarizing language selected,Ashrey,2,Aarush | Ashrey,no polarizing language selected || no polarizing language selected
DC mayor says Trump's Fourth of July celebration emptied security fund,1,majority_accept,2-1,2,1,3,0.6666666667,no polarizing language,no polarizing language,no polarizing language selected,Ashrey,2,Aarush | Ashrey,no polarizing language selected || no polarizing language selected
DC mayor says Trump's Fourth of July celebration emptied security fund,1,majority_accept,3-0,3,0,3,1,slogans,persuasive propaganda,Nothing America cannot do':,Prerana,1,Prerana,Nothing America cannot do':
DC mayor says Trump's Fourth of July celebration emptied security fund,2,majority_accept,2-1,2,1,3,0.6666666667,name-calling,inflammatory language,More: Far-right extremists Proud Boys ou,Prerana,1,Prerana,More: Far-right extremists Proud Boys ou
DC mayor says Trump's Fourth of July celebration emptied security fund,2,majority_accept,3-0,3,0,3,1,no polarizing language,no polarizing language,no polarizing language selected,Aarush,1,Aarush,no polarizing language selected
Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,0,majority_accept,3-0,3,0,3,1,doubt,persuasive propaganda,Democratic congressman on Monday to demand an investigation into whether the president's son-in-law Jared Kushner similarly broke federal law.,Prerana,1,Prerana,Democratic congressman on Monday to demand an investigation into whether the president's son-in-law Jared Kushner similarly broke federal law.
Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,0,majority_accept,2-1,2,1,3,0.6666666667,no polarizing language,no polarizing language,no polarizing language selected,Ashrey,2,Aarush | Ashrey,no polarizing language selected || no polarizing language selected
Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,1,majority_accept,2-1,2,1,3,0.6666666667,demonization,inflammatory language,benefited from special treatment; as with his many deceptions regarding his security clearance this is something no rank-and-file federal employee would get away with,Ashrey,1,Ashrey,benefited from special treatment; as with his many deceptions regarding his security clearance this is something no rank-and-file federal employee would get away with
