vote_pattern,article_title,paragraph_index,subcategory,representative_text,overlap_type
2-1,'Every American is entitled to health care': Sen. Bernie Sanders,1,demonization,"f you support Medicare for all, you have to be willing to end the greed of the health insurance and pharmaceutical industries",partial
2-1,'Every American is entitled to health care': Sen. Bernie Sanders,1,demonization,no longer private corporations to make billions of dollars in profits off Americans' health care.,partial
2-1,'Every American is entitled to health care': Sen. Bernie Sanders,1,doubt,That means boldly transforming our dysfunctional system by ending the use of private health insurance,partial
2-1,'Every American is entitled to health care': Sen. Bernie Sanders,1,slogans,guarantee health care as a human right,none
2-1,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,bandwagon,why should any other layman warrant any real respect and keep their memory alive?,none
2-1,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,exaggeration,orance and disrespect shown toward police is at an al,partial
2-1,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,slogans,"WE ARE LIVID! One year ago,",none
2-1,"'if you're directly complicit in spreading hate, consider dining at home': restaurant owner who kicked sarah sanders out last year defends chicago server who spat on eric trump in a cocktail bar",0,demonization,"who spat in Eric Trump's face last week, saying politicians involved in 'spreading hate' should consider dining at home",partial
2-1,"'if you're directly complicit in spreading hate, consider dining at home': restaurant owner who kicked sarah sanders out last year defends chicago server who spat on eric trump in a cocktail bar",1,name-calling,"If you're an unsavory individual - of whatever persuasion or affiliation - we have no legal or moral obligation to do business with you,",none
2-1,"'if you're directly complicit in spreading hate, consider dining at home': restaurant owner who kicked sarah sanders out last year defends chicago server who spat on eric trump in a cocktail bar",2,exaggeration,'its normal axis' there will be less 'highly charged encounters' making headlines.,none
2-1,Biden criticizes Amazon for paying $0 in corporate taxes,0,exaggeration,"I have nothing against Amazon, but no company pulling in billions of dollars of profits should pay a lower tax rate than firefighters and teachers",none
2-1,Biden criticizes Amazon for paying $0 in corporate taxes,0,exaggeration,presidential candidate to slam one,none
2-1,Biden criticizes Amazon for paying $0 in corporate taxes,0,slogans,"We need to reward work, not just wealth",none
2-1,Biden criticizes Amazon for paying $0 in corporate taxes,1,demonization,who said they were treated inhumanely at the facilitie,none
2-1,BuzzFeed Journalists Protest in Push for Union Recognition,0,name-calling,also a giant inflatable rat -- a common form of protest by striking trade unions,none
