family,system,subcategory,gold_count,missed_count,miss_rate
strong single,Claude Sonnet - P1 default,no polarizing language,16,5,0.312
strong single,Claude Sonnet - P1 default,exaggeration,18,5,0.278
strong single,Claude Sonnet - P1 default,casual oversimplification,2,0,0.0
strong single,Claude Sonnet - P1 default,doubt,10,9,0.9
strong single,Claude Sonnet - P1 default,bandwagon,1,0,0.0
strong single,Claude Sonnet - P1 default,slogans,6,5,0.833
strong single,Claude Sonnet - P1 default,scapegoating,2,0,0.0
strong single,Claude Sonnet - P1 default,name-calling,26,6,0.231
strong single,Claude Sonnet - P1 default,demonization,5,0,0.0
strong single,Gemini Pro - P1 default,no polarizing language,16,0,0.0
strong single,Gemini Pro - P1 default,exaggeration,18,15,0.833
strong single,Gemini Pro - P1 default,casual oversimplification,2,1,0.5
strong single,Gemini Pro - P1 default,doubt,10,9,0.9
strong single,Gemini Pro - P1 default,bandwagon,1,1,1.0
strong single,Gemini Pro - P1 default,slogans,6,4,0.667
strong single,Gemini Pro - P1 default,scapegoating,2,1,0.5
strong single,Gemini Pro - P1 default,name-calling,26,10,0.385
strong single,Gemini Pro - P1 default,demonization,5,2,0.4
strong single,GPT-5.1 - P1 default,no polarizing language,16,7,0.438
strong single,GPT-5.1 - P1 default,exaggeration,18,1,0.056
strong single,GPT-5.1 - P1 default,casual oversimplification,2,1,0.5
strong single,GPT-5.1 - P1 default,doubt,10,5,0.5
strong single,GPT-5.1 - P1 default,bandwagon,1,1,1.0
strong single,GPT-5.1 - P1 default,slogans,6,3,0.5
strong single,GPT-5.1 - P1 default,scapegoating,2,0,0.0
strong single,GPT-5.1 - P1 default,name-calling,26,5,0.192
strong single,GPT-5.1 - P1 default,demonization,5,0,0.0
strong single,Claude Sonnet - P2 Bagozzi,no polarizing language,16,6,0.375
strong single,Claude Sonnet - P2 Bagozzi,exaggeration,18,5,0.278
strong single,Claude Sonnet - P2 Bagozzi,casual oversimplification,2,1,0.5
strong single,Claude Sonnet - P2 Bagozzi,doubt,10,2,0.2
strong single,Claude Sonnet - P2 Bagozzi,bandwagon,1,1,1.0
strong single,Claude Sonnet - P2 Bagozzi,slogans,6,2,0.333
strong single,Claude Sonnet - P2 Bagozzi,scapegoating,2,0,0.0
strong single,Claude Sonnet - P2 Bagozzi,name-calling,26,5,0.192
strong single,Claude Sonnet - P2 Bagozzi,demonization,5,1,0.2
strong single,Gemini Pro - P2 Bagozzi,no polarizing language,16,1,0.062
strong single,Gemini Pro - P2 Bagozzi,exaggeration,18,11,0.611
strong single,Gemini Pro - P2 Bagozzi,casual oversimplification,2,1,0.5
strong single,Gemini Pro - P2 Bagozzi,doubt,10,5,0.5
strong single,Gemini Pro - P2 Bagozzi,bandwagon,1,1,1.0
strong single,Gemini Pro - P2 Bagozzi,slogans,6,3,0.5
strong single,Gemini Pro - P2 Bagozzi,scapegoating,2,1,0.5
strong single,Gemini Pro - P2 Bagozzi,name-calling,26,8,0.308
strong single,Gemini Pro - P2 Bagozzi,demonization,5,2,0.4
strong single,GPT-5.1 - P2 Bagozzi,no polarizing language,16,7,0.438
strong single,GPT-5.1 - P2 Bagozzi,exaggeration,18,2,0.111
strong single,GPT-5.1 - P2 Bagozzi,casual oversimplification,2,1,0.5
strong single,GPT-5.1 - P2 Bagozzi,doubt,10,2,0.2
strong single,GPT-5.1 - P2 Bagozzi,bandwagon,1,1,1.0
strong single,GPT-5.1 - P2 Bagozzi,slogans,6,1,0.167
strong single,GPT-5.1 - P2 Bagozzi,scapegoating,2,1,0.5
strong single,GPT-5.1 - P2 Bagozzi,name-calling,26,9,0.346
strong single,GPT-5.1 - P2 Bagozzi,demonization,5,0,0.0
strong single,Claude Sonnet - P3 short spans,no polarizing language,16,1,0.062
strong single,Claude Sonnet - P3 short spans,exaggeration,18,11,0.611
strong single,Claude Sonnet - P3 short spans,casual oversimplification,2,1,0.5
strong single,Claude Sonnet - P3 short spans,doubt,10,7,0.7
strong single,Claude Sonnet - P3 short spans,bandwagon,1,1,1.0
strong single,Claude Sonnet - P3 short spans,slogans,6,4,0.667
strong single,Claude Sonnet - P3 short spans,scapegoating,2,2,1.0
strong single,Claude Sonnet - P3 short spans,name-calling,26,16,0.615
strong single,Claude Sonnet - P3 short spans,demonization,5,5,1.0
strong single,Gemini Pro - P3 short spans,no polarizing language,16,0,0.0
