index,title,topic,source,rating,provider,model,prompt_file,temperature,raw_json
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",legal arguments,The Washington Post,left,anthropic,claude-haiku-4-5,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
    ""text"": ""accused President Donald Trump of making a tragic mistake in his meetings"",
    ""category"": ""Inflammatory Language"",
    ""subcategory"": ""Name-Calling"",
    ""paragraphIndex"": 0
  }"
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",legal arguments,The Washington Post,left,anthropic,claude-haiku-4-5,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
    ""text"": ""A poll should be done on which is the more dishonest and deceitful newspaper"",
    ""category"": ""Inflammatory Language"",
    ""subcategory"": ""Name-Calling"",
    ""paragraphIndex"": 0
  }"
2,'Every American is entitled to health care': Sen. Bernie Sanders,health,ABC News,left,anthropic,claude-haiku-4-5,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
    ""text"": ""The United States must end the international embarrassment of not guaranteeing health care"",
    ""category"": ""Persuasive Propaganda"",
    ""subcategory"": ""Exaggeration"",
    ""paragraphIndex"": 0
  }"
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,crime,CBS News,left,anthropic,claude-haiku-4-5,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
    ""text"": ""more than 70 officers are now off the street in connection to controversial Facebook posts"",
    ""category"": ""No Polarizing language"",
    ""subcategory"": ""no polarizing language"",
    ""paragraphIndex"": 0
  }"
4,the latest: nadler says panel will move quickly on mcgahn,politics,Louisville Courier Journal,left,anthropic,claude-haiku-4-5,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
    ""text"": ""no polarizing language selected"",
    ""category"": ""No Polarizing language"",
    ""subcategory"": ""no polarizing language"",
    ""paragraphIndex"": 0
  }"
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,crime,CBS,left,anthropic,claude-haiku-4-5,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
    ""text"": ""a mural honoring a fallen Philadelphia police officer was vandalized"",
    ""category"": ""No Polarizing language"",
    ""subcategory"": ""no polarizing language"",
    ""paragraphIndex"": 0
  }"
6,george conway urges trump to resign over aborted iran strike,science,The Boston Globe,left,anthropic,claude-haiku-4-5,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
    ""text"": ""George Conway blasted President Trump and called for him to resign"",
    ""category"": ""Inflammatory Language"",
    ""subcategory"": ""Name-Calling"",
    ""paragraphIndex"": 0
  }"
7,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,legal arguments,Newsweek,left,anthropic,claude-haiku-4-5,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
    ""text"": ""led two Democratic congressman on Monday to demand an investigation into whether the president's son-in-law Jared Kushner similarly broke federal law"",
    ""category"": ""Persuasive Propaganda"",
    ""subcategory"": ""Doubt"",
    ""paragraphIndex"": 0
  }"
8,"ron desantis signs amendment 4 bill, limiting felon voting",environmental issues,The Sacramento Bee,left,anthropic,claude-haiku-4-5,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
    ""text"": ""controversial bill limiting how many felons will be able to vote"",
    ""category"": ""Persuasive Propaganda"",
    ""subcategory"": ""Doubt"",
    ""paragraphIndex"": 0
  }"
9,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",science,Business Insider,center,anthropic,claude-haiku-4-5,/Users/kathleenhiggins/mturkstudy-3/src/dataset_comparison_scripts/prompt_versions/dr_bagozzi_codebook_addendum.md,0.0,"{
    ""text"": ""attacked roe v. wade, called being transgender 'a delusion'"",
    ""category"": ""Inflammatory Language"",
    ""subcategory"": ""Name-Calling"",
    ""paragraphIndex"": 0
  }"
