Headline,News body,Topic,News Source,Rating
"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki","Video by CNBC Of all the critical statements issued about Monday's Helsinki happenings, the one by Senate Armed Services Chairman John McCain perhaps stood out the most, as the Arizona Republican accused President Donald Trump of making a ""tragic mistake"" in his meetings with Russian President Vladimir Putin and the joint press conference that followed. The Republican pulled no punches in his latest verbal fisticuffs with the president, issuing a lengthy statement from Arizona about what may he thinks may be incalculable damage to U.S. foreign policy. McCain's absence from the Capitol has been obvious throughout his battle with brain cancer, but no more so than during debates over the relationship between the United States and Russia, as well as between the U.S. and NATO allies. The full statement from McCain appears below: ""Today's press conference in Helsinki was one of the most disgraceful performances by an American president in memory. The damage inflicted by President Trump's naiveté, egotism, false equivalence, and sympathy for autocrats is difficult to calculate. But it is clear that the summit in Helsinki was a tragic mistake. ""President Trump proved not only unable, but unwilling to stand up to Putin. He and Putin seemed to be speaking from the same script as the president made a conscious choice to defend a tyrant against the fair questions of a free press, and to grant Putin an uncontested platform to spew propaganda and lies to the world. ""It is tempting to describe the press conference as a pathetic rout   as an illustration of the perils of under-preparation and inexperience. But these were not the errant tweets of a novice politician. These were the deliberate choices of a president who seems determined to realize his delusions of a warm relationship with Putin's regime without any regard for the true nature of his rule, his violent disregard for the sovereignty of his neighbors, his complicity in the slaughter of the Syrian people, his violation of international treaties, and his assault on democratic institutions throughout the world. ""Coming close on the heels of President Trump's bombastic and erratic conduct towards our closest friends and allies in Brussels and Britain, today's press conference marks a recent low point in the history of the American Presidency. That the president was attended in Helsinki by a team of competent and patriotic advisors makes his blunders and capitulations all the more painful and inexplicable. ""No prior president has ever abased himself more abjectly before a tyrant. Not only did President Trump fail to speak the truth about an adversary; but speaking for America to the world, our president failed to defend all that makes us who we are   a republic of free people dedicated to the cause of liberty at home and abroad. American presidents must be the champions of that cause if it is to succeed. Americans are waiting and hoping for President Trump to embrace that sacred responsibility. One can only hope they are not waiting totally in vain."" Get breaking news alerts and more from Roll Call on your iPhone or your Android .",legal arguments,The Washington Post,left
"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house","President Trump on Sunday ramped up his attacks against the nation's biggest newspapers, saying that a poll should be done to see whether The New York Times or The Washington Post is ""more dishonest and deceitful."" ""A poll should be done on which is the more dishonest and deceitful newspaper, the Failing New York Times or the Amazon (lobbyist) Washington Post!"" he said on Twitter. ""They are both a disgrace to our Country, the Enemy of the People, but I just can't seem to figure out which is worse?"" .....news is that at the end of 6 years, after America has been made GREAT again and I leave the beautiful White House (do you think the people would demand that I stay longer? KEEP AMERICA GREAT), both of these horrible papers will quickly go out of business & be forever gone! - Donald J. Trump (@realDonaldTrump) June 16, 2019 ""The good news is that at the end of 6 years, after America has been made GREAT again and I leave the beautiful White House both of these horrible papers will quickly go out of business & be forever gone,"" Trump continued. He also asked if ""people would demand that I stay longer"" to ""keep America great"" after two terms in the White House. Trump has repeatedly criticized the press corps during his two years in the White House, often referring to it as the ""enemy of the people."" His Twitter latest tirade came just a day after he claimed that The Times committed a ""virtual act of treason"" by reporting on the administration's digital attacks against Russia. ""Do you believe that the Failing New York Times just did a story stating that the United States is substantially increasing Cyber Attacks on Russia,"" Trump tweeted, before claiming that the report was ""not true."" ""This is a virtual act of Treason by a once great paper so desperate for a story, any story, even if bad for our Country."" The Times on Saturday published a report about the United States' efforts to penetrate Russia's power grid. The Times, citing current and former government officials, noted that the actions are a warning to Moscow on how the Trump administration is using new authorities to unleash cyber tools in an aggressive manner. Two administration officials told the newspaper that they do not think Trump was briefed about the plans. The newspaper added that some Pentagon and intelligence officials said there was a hesitation about addressing the operations with Trump. Trump has also lashed out at the media over reports about his internal polling. He d enounced the ""fake news "" and ""fake polling"" after reports surfaced that he was trailing Vice President Joe Biden in a hypothetical 2020 matchup. ""The Fake News has never been more dishonest than it is today. Thank goodness we can fight back on Social Media. There new weapon of choice is Fake Polling, sometimes referred to as Suppression Polls (they suppress the numbers),"" Trump tweeted. Polls released in the past week have shown Trump trailing multiple Democratic presidential contenders in hypothetical 2020 matchups. A Quinnipiac University survey released last week found Trump trailing six candidates by healthy margins.",legal arguments,The Washington Post,left
'Every American is entitled to health care': Sen. Bernie Sanders,"The United States must end the international embarrassment of not guaranteeing health care as a right, Sen. Bernie Sanders , I-Vt., said ABC's ""This Week"" Sunday. Sanders spoke with ABC News Chief Anchor George Stephanopoulos, days after the first Democratic presidential debates , where many of his progressive policies were front and center . His proposal for Medicare for all would dismantle President Barack Obama's Affordable Care Act, eliminate private insurance and create a single-payer program, in which all Americans would participate in a single, government-run plan that does not include deductibles and out-of-out pocket costs. Critics say Sanders' plan would dramatically increase taxes. Following his push for the policy in 2016, the policy has become a progressive litmus test for candidates this election cycle. During the debate on Thursday , the 10 candidates were asked to raise their hands if they would eliminate private insurance to implement Medicare for all. Sen. Kamala Harris, D-Calif., was one of two candidates to raise her hand in favor of eliminating private insurance. The following morning she walked back her support of eliminating private insurance on MSNBC , saying that she had misunderstood the question and she would not eliminate private insurance in favor of Medicare for all, but does support Sanders' proposal for a single-payer government-run insurance plan. (MORE: Bernie Sanders details plan to cancel $1.6 trillion in student loan debt for everyone) Sanders' responded to Harris' backtracking Friday in a statement, writing that he ""demanded that all candidates be clear about their stance on Medicare for all."" ""If you support Medicare for all, you have to be willing to end the greed of the health insurance and pharmaceutical industries. That means boldly transforming our dysfunctional system by ending the use of private health insurance"" Sanders wrote. ""It is imperative that we remain steadfast in our commitment to guarantee health care as a human right and no longer private corporations to make billions of dollars in profits off Americans' health care."" (MORE: Democratic debate night 2: Fact-checking the candidates on the issues) Referencing a Wall Street Journal editorial claiming that he has ""set the Democratic agenda,"" the senator touted both nights of the debate as a victory during a campaign stop in Hudson, New Hampshire. ""So how did we win a debate that we weren't even participating in? Because of New Hampshire and 21 other states that supported our agenda, other Democratic candidates now understand that they have got to talk to the needs of the working class of this country,"" he said. ""So we came here to New Hampshire and everybody said our ideas are crazy and wild and extreme and now it turns out, all of the other candidates are saying what we said four years ago."" This is a developing news story. Please check back for updates.",health,ABC News,left
Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,"PHILADELPHIA (CBS)   Philadelphia Police officials announced Wednesday that more than 70 officers are now off the street in connection to controversial Facebook posts. Members of the Rally for Justice coalition say more needs to be done and want all the officers connected to be taken off the street. The Rally for Justice coalition held a protest on Thursday that began at City Hall, calling for more action to be taken in the scandal connected to a number of police officers. The group is comprised of civic leaders NAACP members the black clergy and other activists. 72 Philadelphia Police Officers On Administrative Duty Over Alleged Racist And Violent Social Media Posts, Commissioner Says They are not fully happy with the response to hundreds of officers who reportedly posted racist and violent public Facebook posts unearthed by the Plain View Project. ""We support Derrick Green's resolution, calling for hearings on the racist police who posted on Facebook,"" Solomon Jones said, ""and said openly that they hate the people whose communities they patrol."" The group wants city council to intervene on the heels of Philadelphia Police Commissioner Richard Ross's announcement that 72 of the 328 officers involved have been placed on administrative duty. The Rally for Justice coalition showed up in force at the City Council meeting Thursday afternoon. They say they won't be satisfied until all officers involved in this scandal are removed from the streets. ""We know there's several members of council are planning to make statements around this issue, we need them to make a statement and speak up and do what they're hired to do, their job is to represent the people,"" Jones said. 'Get Them Off The Streets': Protesters Demand Hundreds Of Philadelphia Police Officers Accused Of Racist Facebook Posts Be Placed On Desk Duty ""So today, we want our city leaders, who we just voted for to join with us to make certain that the police that do not want to police our community are removed,"" Paula Peebles said. Despite calls for mass firings within the police department, Fraternal Order of Police officials say their officials deserve due process as the investigation plays out. ""We feel that it's excessive to take over 6,000 police officers off the street with the level of violence that's occurring in the city,"" FOP vice president John McGrody said. ""We're also backing the officers here on a daily basis with the interviews. We think the investigation is far too broad."" The FOP concerned that the more officers that are taken off the streets, the more vulnerable the city becomes to the crime wave they say it's already experiencing. FOP members are also upset that action is already being taken before the investigation has concluded.",crime,CBS News,left
the latest: nadler says panel will move quickly on mcgahn,"WASHINGTON   The Latest on Congress and special counsel Robert Mueller's report (all times local): 5:15 p.m. The House Judiciary Committee chairman says his panel will move ""as quickly as possible"" to seek court enforcement of a subpoena against former White House Counsel Don McGahn. New York Democratic Rep. Jerrold Nadler spoke after the House approved a resolution that makes it easier to file lawsuits against witnesses who defy subpoenas. That includes McGahn, who declined last month to provide documents or testimony at the urging of the White House. McGahn is the most-cited witness in special counsel Robert Mueller's report. The resolution passed 229-191 Tuesday, along party lines. Democrats have moved toward lawsuits as they investigate President Donald Trump and his administration. Mueller found no conspiracy between Trump and Russia, but did not clear him of obstruction. __ 4:30 p.m. The House has approved a resolution that will make it easier to file lawsuits against the Trump administration when officials defy subpoenas. The legislation passed 229-191, along party lines. It empowers Democrats to take legal action to enforce subpoenas against Attorney General William Barr and former White House counsel Don McGahn. It also allows committee chairmen to take future legal action without a vote of the full House, as long as they have approval from a bipartisan group of House leaders. Tuesday's vote reflects an evolving strategy for Democrats, who have moved toward lawsuits and away from criminal contempt as they investigate President Donald Trump and his administration. House Speaker Nancy Pelosi said Democrats ""need answers on the questions left unanswered"" by special counsel Robert Mueller's Trump-Russia report. ___ 11:20 a.m. Speaker Nancy Pelosi is brushing back impeachment questions, saying ""it's not even close"" to having enough support among House Democrats for a vote. Pelosi said at a policy conference Tuesday that her ""stock goes up"" when President Donald Trump attacks her, as he did last week. Trump lashed out at Pelosi while both were overseas commemorating the 75th anniversary of D-Day in Normandy. He called her ""Nervous Nancy"" after it was reported she privately told Democrats she'd rather see him voted out of office and ""in prison"" than impeached. Pelosi said she never criticizes the president while abroad and won't do so now because she's ""done with him."" Dozens of House Democrats want Pelosi to start impeachment proceedings from the Trump-Russia report, but she prefers to conduct more investigations. ___ 12:30 a.m. A resolution being voted on in the House would make it easier for Democrats to sue members of President Donald Trump's administration and other potential witnesses who refuse to comply with subpoenas. The House resolution being considered Tuesday would authorize lawsuits against Attorney General William Barr and former White House counsel Don McGahn for defying subpoenas pertaining to special counsel Robert Mueller's report. It would also empower committee chairmen to take legal action to enforce subpoenas in the future without a vote of the full House, so long as they have approval from a bipartisan group of House leaders. The votes aren't technically necessary, as Democrats already can go to court. But a House vote will give them increased standing if they do decide to file lawsuits.",politics,Louisville Courier Journal,left
'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,"PHILADELPHIA (CBS)   Neighbors are upset after a mural honoring a fallen Philadelphia police officer was vandalized on Thursday. The mural was dedicated to Sgt. Robert Wilson in 2017. Wilson was killed in the line of duty when he walked in on an attempted robbery at a North Philadelphia GameStop in 2015. Wilson went to the store to buy a gift for his son's birthday. The Philadelphia FOP is offering a $10,000 reward for any information that leads to the arrest of the vandal. ""It's sickening and disgusting that some low-life would deface the mural of hero and fallen-officer, Robert Wilson III,"" said FOP Lodge #5 President John McNesby. ""We will never forget Rob's bravery, courage and valor when he saved lives inside that GameStop store."" 'I'm Disgusted': Family Of Murdered Philadelphia Police Sgt. Robert Wilson III Frustrated With Killers' Plea Deal Denise Hooks, the owner of the Strawberry Mansion building where the mural is painted, is speaking out. ""I don't know if this is a racial slur against the police, or if it's a slur because they want this neighborhood back, but there's something going on around here,"" Hooks said. ""It's terrible because I feel like his mother got to see this, his son got to see this, his sister has to see this and they already buried their son, their father, their brother. We loved Officer Wilson, he was a hero."" Shaki'ra Wilson-Burroughs, the sister of officer Wilson released a statement Thursday night. ""The ignorance and disrespect shown toward police is at an all time high. Learning of the blatant disrespect that has been repeatedly shown toward my brother has resulted in an indescribable emotional reaction. In other words, WE ARE LIVID! One year ago, the DA of this city set this tone of disrespect for the city by slighting Sgt. Wilson, III by offering a backdoor plea and denying him a trial. ""If the DA, top persecutor of this city, can tarnish the efforts and life of a slain officer while backing criminals then, why should any other layman warrant any real respect and keep their memory alive? Stating this is not to take away from the shaming and defacement of Sgt. Wilson's mural. It has enhanced the ignorance and disrespect shown toward our officers as the consequences of such are as minuscule as a slap on the wrist. ""Yes, my brother was an officer of the Philadelphia Police Department. He was also a man who put his life on the line to protect and save the lives of those in that GameStop. He lost his life and, in any capacity, that should be enough to warrant respect."" If you know anything about this graffiti, call police.",crime,CBS,left
george conway urges trump to resign over aborted iran strike,"George Conway blasted President Trump and called for him to resign from office after he walked back a planned military strike against Iran in response to the downing of a U.S. surveillance drone. ""Trump didn't realize UNTIL TEN MINUTES BEFOREHAND that a planned airstrike would kill over a hundred people and would therefore be grossly disproportionate to the loss of a UAV?"" Conway, lawyer and husband of White House counselor Kellyanne Conway, tweeted Friday. ""To say this is amateur hour would defame amateurs."" ""Resign. If you didn't know this until it was almost too late, you're even more of an idiot than people think you are,"" Conway tweeted in response to Trump. ""Do the country and the world a favor. Go back to real estate, where the worst you can do is kill banks."" Trump didn't realize UNTIL TEN MINUTES BEFOREHAND that a planned airstrike would kill over a hundred people and would therefore be grossly disproportionate to the loss of a UAV? To say this is amateur hour would defame amateurs. - George Conway (@gtconway3d) June 21, 2019 Resign. If you didn't know this until it was almost too late, you're even more of an idiot than people think you are. Do the country and the world a favor. Go back to real estate, where the worst you can do is kill banks. https://t.co/k7z9KW4Elt - George Conway (@gtconway3d) June 21, 2019 Conway's comments came after Trump confirmed via Twitter that the U.S. had been ""cocked and loaded"" to retaliate against Iran, but that he called off the mission at the last minute after learning that 150 Iranians would die. ""We were cocked & loaded to retaliate last night on 3 different sights when I asked, how many will die. 150 people, sir, was the answer from a General. 10 minutes before the strike I stopped it, not proportionate to shooting down an unmanned drone,"" Trump tweeted. Iranian officials said Friday that Trump warned them that an attack was imminent. The officials also said Friday that they were informed of the planned attack in a ""short period"" before it was initially scheduled to be carried out. ""In his message, Trump said he was against any war with Iran and wanted to talk to Tehran about various issues,"" one Iranian official said. U.S. and Iranian officials are disputing the location of the drone when it was shot down late Wednesday, with Iran arguing that it had entered the country's airspace. The U.S. Central Command (Centcom) said the U.S. Navy RQ-4A Global Hawk drone was shot down by an Iranian missile system in an ""unprovoked attack."" Centcom denied claims from Iranian officials stating that the drone had flown over Hormozgan Province in southern Iran. ""This attack is an attempt to disrupt our ability to monitor the area following recent threats to international shipping and free flow of commerce, "" Lt. Gen. Joseph Guastella, commander of U.S. Air Forces Central Command, said in a statement. The New York Times reported late Thursday that Trump had ordered a strike overnight against Iran, but pulled back. Following that report, Conway railed against Trump in a late-night tweet that he has since pinned to his Twitter page , slamming the commander in chief as an ""erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man whose judgment no serious, intelligent person trusts.""",science,The Boston Globe,left
Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,"The Office of Special Counsel's recommendation last week that Counselor to the President Kellyanne Conway be removed from service for violating the Hatch Act led two Democratic congressman on Monday to demand an investigation into whether the president's son-in-law Jared Kushner similarly broke federal law. In a letter to Special Counsel Henry Kerner, who last Thursday recommended that Trump remove Conway, Representatives Donald Beyer Jr. of Virginia and Ted Lieu of California requested a probe into whether Kushner violated the Hatch Act by ""engaging in prohibited campaign fundraising activities."" The Hatch Act prohibits federal employees from fundraising for political candidates and only the president and vice president are exempt. Butthe congressmen, citing recent media reports, accused Kushner, in his official White House role, of ""taking a direct role in raising funds"" for Trump's reelection campaign. In February, a Trump 2020 campaign release referred to Kushner as ""Senior Advisor and Assistant to the President, and President Trump's son-in-law,"" before being amended to simply, ""President Trump's son-in-law."" Last month, Yahoo reported that Kushner had several discussions per day with Trump campaign manager Brad Parscale and plays a key liaison role. The New York Times then reported a meeting Kushner arranged at the White House with Parscale, the Republican National Committee chair, Treasury Secretary Steven Mnuchin and major donors to talk about the fundraising strategy. ""We have strong reason to believe that Jared Kushner is in violation of both the spirit and the letter of that Act,"" the congressmen wrote. Beyer and Lieu stated that Kushner's ""poor track record of compliance with the spirit of the Hatch Act,"" including the discussions and using his official title in Trump campaign materials, ""merit enhanced scrutiny."" ""Jared Kushner has repeatedly benefited from special treatment; as with his many deceptions regarding his security clearance this is something no rank-and-file federal employee would get away with,"" Beyer tweeted. ""He shouldn't."" Lieu has been a longtime critic of Kushner and his top security clearance, which was revoked and then reinstated against the advice of career national security officials reportedly after Trump intervened. ""National security is more important than party. Jared Kushner lied on his SF-86 form and must lose his security clearance,"" Lieu tweeted in July 2017, along with the hashtag #RevokeKushner. The White House and the Office of Special Counsel did not immediately respond to requests for comment from Newsweek on Monday on the call to investigate Kushner. Trump on Friday refused to fire Conway and defended her by saying, ""it looks to me like they're trying to take away her right to free speech and that's just not fair."" Related Articles Jared Kushner Wanted 2020 Re-Election Campaign Launch At Trump Tower but President Rejected Idea: Report Kellyanne Conway Violated Hatch Act and Should Be Fired, Special Counsel Tells Donald Trump 'ÄãDonald Trump's Refusal to Fire Kellyanne Conway is 'Dangerous' and She Should Resign: Ethics Experts'Äã Sign up to our newsletter and get Newsweek stories delivered to your e-mail",legal arguments,Newsweek,left
"ron desantis signs amendment 4 bill, limiting felon voting","TALLAHASSEE   Gov. Ron DeSantis signed into law Friday evening a controversial bill limiting how many felons will be able to vote, undercutting much of the promise of last year's historic Amendment 4. DeSantis announced the signing in a news release after the close of business before a weekend   one day short of his deadline to sign it. ""I am considering whether to seek restoration of all civil rights to some of those whose rights were restored by Amendment 4,"" DeSantis wrote in a letter to Florida's Secretary of State Laurel Lee. ""However, I would only consider restoring rights to those convicted of non-violent offenses."" DeSantis, however, did not address the most controversial part of the Legislature's bill. The bill passed last month by Florida's Republican-controlled Legislature was called a ""poll tax"" by critics because it requires all felons to pay back their financial obligations before being eligible to vote. Those obligations are expected to disenfranchise hundreds of thousands of felons who can't immediately afford to pay off their court fees, fines and restitution to victims. The bill was a blow to supporters of last year's Amendment 4, which was supposed to wipe out one of the most racist and enduring policies of Florida's Jim Crow era. Nearly two-thirds of voters last year approved the historic amendment. The 150-year-old law preventing felons from voting was created in the wake of the Civil War, and it was meant to keep black people off the voter rolls. VOTING RIGHTS: Florida Legislature approves Amendment 4 bill that creates hurdles for voting felons Amendment 4 will likely cost 'millions' to carry out. Here's why. She owes $59 million. Should she be allowed to vote under Amendment 4? It worked. By 2016, more than one in five black Floridians were ineligible to vote because they were felons. And the process for getting the right to vote back was arduous, requiring, under Gov. Rick Scott, felons to drive to Tallahassee and plead their case before the governor and Cabinet. The amendment voters passed allowed felons to automatically be eligible to vote if they completed ""all terms of their sentence including parole or probation."" Supporters of the amendment argued that the language was simple enough, and that the Legislature didn't need to clarify it further. But county elections supervisors asked lawmakers for guidance interpreting the amendment. For supporters of Amendment 4, the language meant that felons who left prison and completed parole and probation could automatically vote. That would also have been the simplest way to carry it out, too, since the Florida Department of Corrections tracks felons who are still under supervision. But Republican lawmakers took a more restrictive approach. They argued that ""all terms of sentence"" included the various court fines, fees and restitution to victims that felons often have to pay, and that felons would have to repay all of those debts before being able to vote. While some other states have similar policies, it means that some felons will have to wait years to vote, if they can ever vote at all. One woman told lawmakers during the Legislative session that she owes $59 million in restitution, which she'll never be able to repay. And the Republicans' approach is confusing and expensive. Because no state or local agency tracks restitution, lawmakers estimated it would cost ""millions"" to carry out. It goes into effect Monday.     ©2019 the Tampa Bay Times (St. Petersburg, Fla.) Visit the Tampa Bay Times (St. Petersburg, Fla.) at www.tampabay.com Distributed by Tribune Content Agency, LLC.",Voting Rights,The Sacramento Bee,left
"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'","WASHINGTON ― The Senate voted Wednesday to confirm Matthew Kacsmaryk to a lifetime federal judgeship despite his record of hostility toward LGBTQ rights and abortion rights. The Senate voted 52-46 to put Kacsmaryk, 42, onto the U.S. District Court for the Northern District of Texas. Every Democrat present voted no. Every Republican present but one, Susan Collins (Maine), voted yes. The full vote tally is here . LGBTQ and reproductive rights groups have been protesting Kacsmaryk's nomination for more than a year because of his extreme views on both fronts. Last week, dozens of human rights groups signed a letter opposing him. Kacsmaryk fought against protections for LGBTQ people in employment , housing and health care . He called including protections for LGBTQ people in the Violence Against Women Act ""a grave mistake."" In 2015, when Utah passed nondiscrimination protections, Kacsmaryk called the law "" a bad idea "" because it suggests that discrimination based on sexual orientation and gender identity should be taken as seriously as other forms of discrimination. He signed a 2016 letter that called being transgender ""a delusion."" On reproductive rights, Kacsmaryk opposed the employer contraceptive mandate in the Affordable Care Act and played a lead role in opposing a Washington state law that required pharmacists to provide birth control to women. He also criticized the Supreme Court's decision in Roe v. Wade , describing that case as one in which ""seven justices of the Supreme Court found an unwritten 'fundamental right' to abortion hiding in the due process clause of the Fourteenth Amendment and the shadowy 'penumbras' of the Bill of Rights, a celestial phenomenon invisible to the non-lawyer eye."" (What?) Senate Minority Leader Chuck Schumer (D-N.Y.) wondered aloud how anyone could expect Kacsmaryk to be a fair and impartial judge. He cited bizarre comments Kacsmaryk has made about the Equality Act, a sweeping LGBTQ anti-discrimination bill. ""He labeled the Equality Act a 'public affirmation of the lie that the human person is an autonomous blob of Silly Putty, unconstrained by nature or biology, and that marriage, sexuality, gender identity, and even the unborn child must yield to the erotic desires of liberated adults,'"" Schumer said Wednesday on the Senate floor. ""Why on earth is this man a nominee for a lifetime appointment? Why would my colleagues want to drape black robes over these bigoted views? Our judicial system is designed to protect liberties, not denigrate them."" Kacsmaryk, who is the deputy general counsel for First Liberty Institute, a right-wing Christian advocacy group, sounds like a lot of President Donald Trump's other judicial nominees   young, right-wing ideologues , the vast majority of whom are white men . But even within the homogeneity of Trump's court picks, Kacsmaryk stands out. ""He is one of Trump's most extreme nominees,"" said Carl Tobias, a University of Richmond law professor and an expert on judicial nominations. ""His public statements about LGBTQ people and about abortion suggest that in litigation involving LGBTQ and abortion rights, litigants will have difficulty believing that he will fairly resolve their cases."" Kacsmaryk does have something in common with nearly all of Trump's judicial nominees: He's a member of the conservative Federalist Society, which has been driving Trump's judicial selection process and funneling anti-abortion and anti-LGBTQ nominees to the White House. Senate Majority Leader Mitch McConnell (R-Ky.) has made judicial confirmations his top priority while Trump is in the White House. In the past two and a half years, he has ushered through the confirmations of two Supreme Court justices, 76 district judges and 41 circuit judges. That's more circuit judges than any president has gotten through by this point in a first term. To put that into perspective: 1 in 5 of all of the nation's current circuit judges was nominated by Trump. This article originally appeared on HuffPost .",science,Business Insider,center
