article_title,inhouse_polarizing_count,bagozzi_polarizing_count,all_matching_pairs_count,greedy_agreed_span_count,inhouse_with_any_bagozzi_match,bagozzi_with_any_inhouse_match,inhouse_unmatched_existence,bagozzi_unmatched_existence,greedy_unmatched_inhouse,greedy_unmatched_bagozzi,existence_complete,greedy_complete
"Trump Rips 'Horrible' New York Times, Washington Post, Wonders If People Will 'Demand' He Stay In White House",10,15,11,8,9,10,1,5,2,7,False,False
George Conway Urges Trump To Resign Over Aborted Iran Strike,13,7,10,7,9,7,4,0,6,0,False,False
"'Pathetic Rout,' 'Tragic Mistake' And 'Painful' John Mccain Holds Little Back In Describing Helsinki",11,11,6,6,6,6,5,5,5,5,False,False
'We Are Livid!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,10,9,10,5,7,7,3,2,5,4,False,False
"Senate Confirms Judge Who Attacked Roe V. Wade, Called Being Transgender 'A Delusion'",9,8,5,5,5,5,4,3,4,3,False,False
Trump Hits Polling On Fox News: 'Something Weird Going On At Fox',8,6,6,5,5,5,3,1,3,1,False,False
"Editorial: Six Months After California'S Landmark Police Transparency Law, Many Agencies Still Won'T Release Their Records",8,4,4,4,4,4,4,0,4,0,False,False
'Every American Is Entitled To Health Care': Sen. Bernie Sanders,4,5,3,3,3,3,1,2,1,2,False,False
"Donald Trump Jr. Mocks Roy Moore After Campaign Announcement, Reigniting Feud",9,7,3,3,3,3,6,4,6,4,False,False
Gabbard Was Most Searched Democratic Candidate After Debate Despite Getting Third-Lowest Speaking Time,4,5,5,3,4,4,0,1,1,2,False,False
"Ocasio-Cortez, Sanders Call For Climate Change Emergency Mobilization, Seeks A Re-Do Of Failed Green New Deal",7,3,5,3,5,3,2,0,4,0,False,False
"'If You'Re Directly Complicit In Spreading Hate, Consider Dining At Home': Restaurant Owner Who Kicked Sarah Sanders Out Last Year Defends Chicago Server Who Spat On Eric Trump In A Cocktail Bar",6,3,2,2,2,2,4,1,4,1,False,False
Buzzfeed Journalists Protest In Push For Union Recognition,5,2,2,2,2,2,3,0,3,0,False,False
Dc Mayor Says Trump'S Fourth Of July Celebration Emptied Security Fund,4,2,3,2,2,2,2,0,2,0,False,False
"Ron Desantis Signs Amendment 4 Bill, Limiting Felon Voting",2,2,2,2,2,2,0,0,0,0,True,True
Biden Criticizes Amazon For Paying $0 In Corporate Taxes,7,1,1,1,1,1,6,0,6,0,False,False
Did Jared Kushner Violate The Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,6,3,1,1,1,1,5,2,5,2,False,False
Donald Trump'S Criminal Justice Reform Shows Results,9,1,1,1,1,1,8,0,8,0,False,False
Gop Lawmaker Suggests Colin Kaepernick Move To A Different Country,3,2,2,1,2,1,1,1,2,1,False,False
Meghan Markle Has Been Branded 'Difficult' By Tabloids. It'S The Same Sexism That Demonizes Driven Women In The Workplace.,4,8,2,1,1,2,3,6,3,7,False,False
Protest In Madrid As Conservatives Suspend Ban On Most Polluting Cars,1,5,2,1,1,2,0,3,0,4,False,False
Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,4,3,1,1,1,1,3,2,3,2,False,False
The Latest: Nadler Says Panel Will Move Quickly On Mcgahn,2,1,1,1,1,1,1,0,1,0,False,False
Trump Vows To Cure Cancer And Eradicate Aids,7,1,1,1,1,1,6,0,6,0,False,False
Tutankhamun Sculpture'S London Auction Sparks Egyptian Outcry,3,1,1,1,1,1,2,0,2,0,False,False
Killer Of 16-Year-Old New York Girl In 1980 Released On Parole Despite Outrage,6,2,0,0,0,0,6,2,6,2,False,False
"Rmv Fail: 546 License Suspensions, More To Come",5,0,0,0,0,0,5,0,5,0,False,False
