article_index,article_title,paragraph_index,meta,subcategory,span,accept,deny,total_votes,accept_rate
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",0,Ashrey,exaggeration,Today's press conference in Helsinki was one of the most disgraceful performances by an American president in memory,3,0,3,1.0
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",0,Ashrey,name-calling,"The damage inflicted by President Trump's naiveté, egotism, false equivalence, and sympathy for autocrats is difficult to calculate.",2,1,3,0.666667
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",0,Aarush,no polarizing language,no polarizing language selected,2,1,3,0.666667
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",0,Prerana,exaggeration,"a ""tragic mistake"" in his meetings with Russian P",3,0,3,1.0
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",0,Prerana,exaggeration,ne of the most disgraceful performances,3,0,3,1.0
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",0,Prerana,name-calling,"President Trump's naiveté, egotism, false equivalence, and sympathy for autocrats is difficult to calculate.",2,0,2,1.0
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",1,Ashrey,no polarizing language,no polarizing language selected,0,2,2,0.0
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",1,Aarush,name-calling,president made a conscious choice to defend a tyrant,1,1,2,0.5
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",1,Aarush,exaggeration,President Trump's bombastic and erratic conduct towards our closest friends and allies in Brussels and Britain,2,0,2,1.0
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",1,Prerana,demonization,e to defend a tyrant against the fair questions of a f,2,0,2,1.0
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",1,Prerana,bandwagon,m to spew propaganda and lies to the world,0,2,2,0.0
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",1,Prerana,demonization,"sovereignty of his neighbors, his complicity in the slaughter of the Syrian people,",2,0,2,1.0
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",1,Prerana,exaggeration,bombastic and erratic conduct towards our closest frien,2,0,2,1.0
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",1,Prerana,exaggeration,low point in the history,2,0,2,1.0
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",2,Ashrey,exaggeration,No prior president has ever abased himself more abjectly before a tyrant.,2,0,2,1.0
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",2,Ashrey,bandwagon,"but speaking for America to the world, our president failed to defend all that makes us who we are a republic of free people",2,0,2,1.0
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",2,Ashrey,bandwagon,Americans are waiting and hoping for President Trump to embrace that sacred responsibility. One can only hope they are not waiting totally in vain.,2,0,2,1.0
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",2,Aarush,no polarizing language,no polarizing language selected,0,2,2,0.0
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",2,Prerana,exaggeration,ions all the more painful and inexplicable,2,0,2,1.0
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",2,Prerana,name-calling,es his blunders and capitulations,0,2,2,0.0
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",2,Prerana,exaggeration,No prior president has ever abased himself more abjectly before a tyrant.,2,0,2,1.0
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",2,Prerana,bandwagon,Americans are waiting and hoping for President Trump to,2,0,2,1.0
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",0,Ashrey,demonization,"They are both a disgrace to our Country, the Enemy of the People, but I just can't seem to figure out which is worse?",3,0,3,1.0
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",0,Ashrey,slogans,"news is that at the end of 6 years, after America has been made GREAT again and I leave the beautiful White House",3,0,3,1.0
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",0,Ashrey,exaggeration,"both of these horrible papers will quickly go out of business & be forever gone,",3,0,3,1.0
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",0,Aarush,demonization,"hey are both a disgrace to our Country, the Enemy of the People",3,0,3,1.0
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",0,Prerana,name-calling,more dishonest and deceitful.,1,2,3,0.333333
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",0,Prerana,name-calling,e Amazon (lobbyist) Washington,3,0,3,1.0
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",0,Prerana,demonization,"hey are both a disgrace to our Country, the Enemy of the People",3,0,3,1.0
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",0,Prerana,slogans,America has been made GREAT again,3,0,3,1.0
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",1,Ashrey,name-calling,the Failing New York Times,2,1,3,0.666667
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",1,Ashrey,exaggeration,"a virtual act of Treason by a once great paper so desperate for a story, any story, even if bad for our Country",3,0,3,1.0
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",1,Aarush,demonization,enemy of the peopl,3,0,3,1.0
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",1,Prerana,bandwagon,"ed if ""people would demand that I stay longer"" to ""k",0,3,3,0.0
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",1,Prerana,demonization,enemy of the people.,3,0,3,1.0
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",1,Prerana,demonization,"committed a ""virtual act of treason"" by",2,1,3,0.666667
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",2,Ashrey,name-calling,The Fake News has never been more dishonest than it is today,3,0,3,1.0
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",2,Ashrey,doubt,"There new weapon of choice is Fake Polling, sometimes referred to as Suppression Polls (they suppress the numbers)",3,0,3,1.0
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",2,Aarush,slogans,The Fake News has never been more dishonest than it is today,1,2,3,0.333333
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",2,Prerana,name-calling,lashed out at the media,1,2,3,0.333333
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",2,Prerana,exaggeration,The Fake News has never been more dishonest than it is today.,3,0,3,1.0
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",3,Ashrey,no polarizing language,no polarizing language selected,3,0,3,1.0
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",3,Aarush,no polarizing language,no polarizing language selected,3,0,3,1.0
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",3,Prerana,no polarizing language,no polarizing language selected,3,0,3,1.0
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",3,Prerana,no polarizing language,no polarizing language selected,3,0,3,1.0
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",3,Prerana,no polarizing language,no polarizing language selected,3,0,3,1.0
2,'Every American is entitled to health care': Sen. Bernie Sanders,0,Ashrey,name-calling,The United States must end the international embarrassment of not guaranteeing health care as a right,2,2,4,0.5
2,'Every American is entitled to health care': Sen. Bernie Sanders,0,Aarush,no polarizing language,no polarizing language selected,1,3,4,0.25
2,'Every American is entitled to health care': Sen. Bernie Sanders,0,Prerana,name-calling,end the international embarrassment of not guarant,2,2,4,0.5
2,'Every American is entitled to health care': Sen. Bernie Sanders,0,Prerana,no polarizing language,no polarizing language selected,1,3,4,0.25
2,'Every American is entitled to health care': Sen. Bernie Sanders,0,Prerana,no polarizing language,no polarizing language selected,1,3,4,0.25
2,'Every American is entitled to health care': Sen. Bernie Sanders,1,Ashrey,demonization,"f you support Medicare for all, you have to be willing to end the greed of the health insurance and pharmaceutical industries",2,1,3,0.666667
2,'Every American is entitled to health care': Sen. Bernie Sanders,1,Ashrey,doubt,That means boldly transforming our dysfunctional system by ending the use of private health insurance,2,1,3,0.666667
2,'Every American is entitled to health care': Sen. Bernie Sanders,1,Ashrey,slogans,guarantee health care as a human right,2,1,3,0.666667
2,'Every American is entitled to health care': Sen. Bernie Sanders,1,Ashrey,demonization,no longer private corporations to make billions of dollars in profits off Americans' health care.,2,1,3,0.666667
2,'Every American is entitled to health care': Sen. Bernie Sanders,1,Aarush,no polarizing language,no polarizing language selected,0,3,3,0.0
2,'Every American is entitled to health care': Sen. Bernie Sanders,1,Prerana,demonization,be willing to end the greed of the health insurance,2,1,3,0.666667
2,'Every American is entitled to health care': Sen. Bernie Sanders,1,Prerana,slogans,guarantee health care as a human right,2,1,3,0.666667
2,'Every American is entitled to health care': Sen. Bernie Sanders,1,Prerana,exaggeration,"make billions of dollars in profits off Americans' health care.""",1,2,3,0.333333
2,'Every American is entitled to health care': Sen. Bernie Sanders,2,Ashrey,no polarizing language,no polarizing language selected,2,1,3,0.666667
2,'Every American is entitled to health care': Sen. Bernie Sanders,2,Aarush,no polarizing language,no polarizing language selected,2,1,3,0.666667
2,'Every American is entitled to health care': Sen. Bernie Sanders,2,Prerana,exaggeration,are crazy and wild and extreme a,1,2,3,0.333333
2,'Every American is entitled to health care': Sen. Bernie Sanders,2,Prerana,casual oversimplification,e got to talk to the needs of the working class of this count,1,2,3,0.333333
2,'Every American is entitled to health care': Sen. Bernie Sanders,2,Prerana,bandwagon,verybody said our ideas are crazy,1,2,3,0.333333
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,0,Ashrey,no polarizing language,no polarizing language selected,0,4,4,0.0
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,0,Aarush,no polarizing language,no polarizing language selected,0,4,4,0.0
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,0,Prerana,casual oversimplification,the scandal connected to a number of police officers.,1,2,3,0.333333
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,0,Prerana,name-calling,"gs on the racist police who posted on Facebook,""",3,0,3,1.0
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,1,Ashrey,slogans,Get Them Off The Streets,3,0,3,1.0
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,1,Aarush,casual oversimplification,involved in this scandal are removed,1,2,3,0.333333
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,1,Prerana,exaggeration,ey won't be satisfied until all officers involved in this scandal are removed from the streets.,2,1,3,0.666667
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,1,Prerana,slogans,Get Them Off The Streets':,3,0,3,1.0
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,1,Prerana,bandwagon,e group wants city council to intervene on the heels of Philadelphia,1,2,3,0.333333
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,1,Prerana,scapegoating,ake certain that the police that do not want to police our community are removed,1,2,3,0.333333
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,2,Ashrey,no polarizing language,no polarizing language selected,3,0,3,1.0
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,2,Aarush,no polarizing language,no polarizing language selected,3,0,3,1.0
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,2,Prerana,exaggeration,level of violence that's occurring in the city,0,3,3,0.0
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,2,Prerana,doubt,"ws. We think the investigation is far too broad.""",1,2,3,0.333333
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,2,Prerana,exaggeration,"ore officers that are taken off the streets, the more vulnerable the city becomes to",2,1,3,0.666667
4,the latest: nadler says panel will move quickly on mcgahn,0,Ashrey,no polarizing language,no polarizing language selected,2,2,4,0.5
4,the latest: nadler says panel will move quickly on mcgahn,0,Aarush,no polarizing language,no polarizing language selected,2,2,4,0.5
4,the latest: nadler says panel will move quickly on mcgahn,0,Prerana,demonization,ainst witnesses who defy subpoenas,1,2,3,0.333333
4,the latest: nadler says panel will move quickly on mcgahn,1,Ashrey,no polarizing language,no polarizing language selected,2,1,3,0.666667
4,the latest: nadler says panel will move quickly on mcgahn,1,Aarush,no polarizing language,no polarizing language selected,2,1,3,0.666667
4,the latest: nadler says panel will move quickly on mcgahn,1,Prerana,doubt,ed answers on the questions left unanswered,2,1,3,0.666667
4,the latest: nadler says panel will move quickly on mcgahn,1,Prerana,exaggeration,"ying ""it's not even close""",0,3,3,0.0
4,the latest: nadler says panel will move quickly on mcgahn,2,Ashrey,name-calling,"He called her ""Nervous Nancy""",3,0,3,1.0
4,the latest: nadler says panel will move quickly on mcgahn,2,Aarush,no polarizing language,no polarizing language selected,0,3,3,0.0
4,the latest: nadler says panel will move quickly on mcgahn,2,Prerana,name-calling,"d her ""Nervous Nancy"" after it was reported she privately told De",3,0,3,1.0
4,the latest: nadler says panel will move quickly on mcgahn,3,Ashrey,no polarizing language,no polarizing language selected,3,0,3,1.0
4,the latest: nadler says panel will move quickly on mcgahn,3,Aarush,no polarizing language,no polarizing language selected,3,0,3,1.0
4,the latest: nadler says panel will move quickly on mcgahn,3,Prerana,no polarizing language,no polarizing language selected,3,0,3,1.0
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,0,Aarush,no polarizing language,no polarizing language selected,0,3,3,0.0
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,0,Ashrey,name-calling,"It's sickening and disgusting that some low-life would deface the mural of hero and fallen-officer, Robert Wilson III,",3,0,3,1.0
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,0,Prerana,name-calling,'I'm Disgusted': Family Of Murdered Philadelphia Police Sgt,0,3,3,0.0
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,0,Prerana,name-calling,'s sickening and disgusting that some low-life would deface,3,0,3,1.0
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,0,Prerana,exaggeration,"f hero and fallen-officer,",3,0,3,1.0
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,Aarush,scapegoating,he DA of this city set this tone of disrespect for the city,3,0,3,1.0
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,Ashrey,doubt,"this is a racial slur against the police, or if it's a slur because they want this neighborhood back, but there's something going on",3,0,3,1.0
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,Ashrey,demonization,"If the DA, top persecutor of this city, can tarnish the efforts and life of a slain officer while backing criminals then,",3,0,3,1.0
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,Ashrey,bandwagon,why should any other layman warrant any real respect and keep their memory alive?,2,1,3,0.666667
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,Prerana,doubt,know if this is a racial slur against the police,2,1,3,0.666667
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,Prerana,exaggeration,orance and disrespect shown toward police is at an al,2,1,3,0.666667
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,Prerana,name-calling,Learning of the blatant disrespect that has been repeatedly,0,3,3,0.0
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,Prerana,slogans,"WE ARE LIVID! One year ago,",2,1,3,0.666667
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,Prerana,demonization,"while backing criminals then, why should any other",2,1,3,0.666667
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,2,Aarush,casual oversimplification,as the consequences of such are as minuscule as a slap on the wrist.,3,0,3,1.0
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,2,Ashrey,no polarizing language,no polarizing language selected,0,3,3,0.0
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,2,Prerana,demonization,the shaming and defacement of Sgt. Wilson's mural.,1,2,3,0.333333
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,2,Prerana,exaggeration,h are as minuscule as a slap on the wrist.,3,0,3,1.0
6,george conway urges trump to resign over aborted iran strike,0,Ashrey,doubt,Trump didn't realize UNTIL TEN MINUTES BEFOREHAND that a planned airstrike would kill over a hundred people,3,0,3,1.0
6,george conway urges trump to resign over aborted iran strike,0,Ashrey,name-calling,"Resign. If you didn't know this until it was almost too late, you're even more of an idiot than people think you are",3,0,3,1.0
6,george conway urges trump to resign over aborted iran strike,0,Ashrey,doubt,"Do the country and the world a favor. Go back to real estate, where the worst you can do is kill banks.",2,1,3,0.666667
6,george conway urges trump to resign over aborted iran strike,0,Ashrey,doubt,Trump didn't realize UNTIL TEN MINUTES BEFOREHAND that a planned airstrike would kill over a hundred people,3,0,3,1.0
6,george conway urges trump to resign over aborted iran strike,0,Ashrey,doubt,"To say this is amateur hour would defame amateurs.""",3,0,3,1.0
6,george conway urges trump to resign over aborted iran strike,0,Aarush,exaggeration,George Conway blasted President Trum,3,0,3,1.0
6,george conway urges trump to resign over aborted iran strike,0,Prerana,name-calling,ay blasted President Trump and called for hi,0,3,3,0.0
6,george conway urges trump to resign over aborted iran strike,0,Prerana,name-calling,o say this is amateur hour would defame amateurs.,3,0,3,1.0
6,george conway urges trump to resign over aborted iran strike,0,Prerana,slogans,Do the country and the world a favor,1,2,3,0.333333
6,george conway urges trump to resign over aborted iran strike,0,Prerana,exaggeration,ould therefore be grossly disproportionate t,2,1,3,0.666667
6,george conway urges trump to resign over aborted iran strike,1,Ashrey,name-calling,"If you didn't know this until it was almost too late, you're even more of an idiot than people think you are.",3,0,3,1.0
6,george conway urges trump to resign over aborted iran strike,1,Ashrey,doubt,To say this is amateur hour would defame amateurs,1,2,3,0.333333
6,george conway urges trump to resign over aborted iran strike,1,Aarush,no polarizing language,no polarizing language selected,3,0,3,1.0
6,george conway urges trump to resign over aborted iran strike,1,Prerana,name-calling,To say this is amateur hour would defame amateurs,2,1,3,0.666667
6,george conway urges trump to resign over aborted iran strike,1,Prerana,name-calling,", you're even more of an idiot than people think you are",3,0,3,1.0
6,george conway urges trump to resign over aborted iran strike,1,Prerana,demonization,"Go back to real estate, where the worst yo",0,3,3,0.0
6,george conway urges trump to resign over aborted iran strike,1,Prerana,exaggeration,"cocked and loaded"" to retaliate against Iran",1,2,3,0.333333
6,george conway urges trump to resign over aborted iran strike,1,Prerana,exaggeration,cocked & loaded to retaliate last night on 3 different sights,1,2,3,0.333333
6,george conway urges trump to resign over aborted iran strike,2,Ashrey,no polarizing language,no polarizing language selected,3,0,3,1.0
6,george conway urges trump to resign over aborted iran strike,2,Aarush,no polarizing language,no polarizing language selected,3,0,3,1.0
6,george conway urges trump to resign over aborted iran strike,2,Prerana,demonization,"m in an ""unprovoked attack.",0,3,3,0.0
