index,title,topic,source,rating,provider,model,prompt_file,temperature,raw_json
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",legal arguments,The Washington Post,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_2_dr_bagozzi.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""making a \""tragic mistake\"" in his meetings with Russian President Vladimir Putin"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""what may he thinks may be incalculable damage to U.S. foreign policy"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""one of the most disgraceful performances by an American president in memory"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""tragic mistake"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""unwilling to stand up to Putin"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Doubt"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""defend a tyrant against the fair questions of a free press"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""grant Putin an uncontested platform to spew propaganda and lies to the world"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""tempting to describe the press conference as a pathetic rout"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""a president who seems determined to realize his delusions of a warm relationship"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Doubt"",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""his violent disregard for the sovereignty of his neighbors"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""his complicity in the slaughter of the Syrian people"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""his assault on democratic institutions throughout the world"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""marks a recent low point in the history of the American Presidency"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 5
    },
    {
      ""text"": ""his blunders and capitulations all the more painful and inexplicable"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 5
    },
    {
      ""text"": ""No prior president has ever abased himself more abjectly before a tyrant"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 6
    },
    {
      ""text"": ""failed to defend all that makes us who we are a republic of free people dedicated to the cause of liberty"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Doubt"",
      ""paragraphIndex"": 6
    },
    {
      ""text"": ""Americans are waiting and hoping for President Trump to embrace that sacred responsibility"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Bandwagon"",
      ""paragraphIndex"": 6
    },
    {
      ""text"": ""Get breaking news alerts and more from Roll Call on your iPhone or your Android"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 7
    }
  ]
}"
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",legal arguments,The Washington Post,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_2_dr_bagozzi.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""more dishonest and deceitful"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""both a disgrace to our Country, the Enemy of the People"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""America has been made GREAT again"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""KEEP AMERICA GREAT"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Slogans"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""both of these horrible papers will quickly go out of business & be forever gone"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""these horrible papers"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""keep America great"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Slogans"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""enemy of the people"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""virtual act of treason"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""once great paper so desperate for a story, any story, even if bad for our Country"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""lashed out at the media"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""denounced the \""fake news \"" and \""fake polling\"""",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""The Fake News has never been more dishonest than it is today"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""Their new weapon of choice is Fake Polling"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Causal Oversimplification"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""Fake Polling, sometimes referred to as Suppression Polls (they suppress the numbers)"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Doubt"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""Fake News"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 4
    }
  ]
}"
2,'Every American is entitled to health care': Sen. Bernie Sanders,health,ABC News,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_2_dr_bagozzi.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""end the international embarrassment of not guaranteeing health care as a right"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""end the greed of the health insurance and pharmaceutical industries"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""our ideas are crazy and wild and extreme"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 3
    }
  ]
}"
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,crime,CBS News,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_2_dr_bagozzi.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""alleged Racist And Violent Social Media Posts"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""racist and violent public Facebook posts unearthed by the Plain View Project"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""the racist police who posted on Facebook"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""they hate the people whose communities they patrol"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""They say they won't be satisfied until all officers involved in this scandal are removed from the streets."",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""Get Them Off The Streets': Protesters Demand Hundreds Of Philadelphia Police Officers Accused Of Racist Facebook Posts Be Placed On Desk Duty"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""the police that do not want to police our community are removed"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Causal Oversimplification"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""we feel that it's excessive to take over 6,000 police officers off the street"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""the more vulnerable the city becomes to the crime wave they say it's already experiencing"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 2
    }
  ]
}"
4,the latest: nadler says panel will move quickly on mcgahn,politics,Louisville Courier Journal,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_2_dr_bagozzi.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""Trump lashed out at Pelosi while both were overseas"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""he called her \""Nervous Nancy\"""",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""she'd rather see him voted out of office and \""in prison\"" than impeached"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 3
    }
  ]
}"
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,crime,CBS,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_2_dr_bagozzi.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""\""It's sickening and disgusting that some low-life would deface the mural"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""ignorance and disrespect shown toward police is at an all time high"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""WE ARE LIVID!"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""set this tone of disrespect for the city by slighting Sgt. Wilson, III"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Causal Oversimplification"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""tarnish the efforts and life of a slain officer while backing criminals"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""efforts and life of a slain officer while backing criminals then, why should any other layman warrant any real respect"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Causal Oversimplification"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""consequences of such are as minuscule as a slap on the wrist"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 2
    }
  ]
}"
6,george conway urges trump to resign over aborted iran strike,science,The Boston Globe,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_2_dr_bagozzi.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""even more of an idiot than people think you are"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""amateur hour would defame amateurs"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""cocked and loaded\"" to retaliate against Iran"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""an \""unprovoked attack.\"""",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Doubt"",
      ""paragraphIndex"": 4
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 5
    },
    {
      ""text"": ""an \""erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 6
    }
  ]
}"
7,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,legal arguments,Newsweek,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_2_dr_bagozzi.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""Jared Kushner has repeatedly benefited from special treatment; as with his many deceptions regarding his security clearance"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""Jared Kushner lied on his SF-86 form and must lose his security clearance"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 3
    }
  ]
}"
8,"ron desantis signs amendment 4 bill, limiting felon voting",environmental issues,The Sacramento Bee,left,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_2_dr_bagozzi.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""a controversial bill limiting how many felons will be able to vote, undercutting much of the promise"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""a blow to supporters of last year's Amendment 4, which was supposed to wipe out one of the most racist and enduring policies of Florida's Jim Crow era"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""the most racist and enduring policies of Florida's Jim Crow era"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""And the Republicans' approach is confusing and expensive"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Doubt"",
      ""paragraphIndex"": 3
    }
  ]
}"
9,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",science,Business Insider,center,openai,gpt-5.1,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_2_dr_bagozzi.md,0.0,"{
  ""annotations"": [
    {
      ""text"": ""record of hostility toward LGBTQ rights and abortion rights"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""extreme views on both fronts"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 0
    },
    {
      ""text"": ""that called being transgender \""a delusion.\"""",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""\""seven justices of the Supreme Court found an unwritten 'fundamental right' to abortion hiding in the due process clause"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Doubt"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""a celestial phenomenon invisible to the non-lawyer eye"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Exaggeration"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""wondered aloud how anyone could expect Kacsmaryk to be a fair and impartial judge"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Doubt"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""\""public affirmation of the lie that the human person is an autonomous blob of Silly Putty"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 1
    },
    {
      ""text"": ""\""Why on earth is this man a nominee for a lifetime appointment?"",
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""Doubt"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""drape black robes over these bigoted views"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 2
    },
    {
      ""text"": ""a right-wing Christian advocacy group"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""young, right-wing ideologues , the vast majority of whom are white men"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""\""He is one of Trump's most extreme nominees,\"""",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Name-Calling"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""funneling anti-abortion and anti-LGBTQ nominees to the White House"",
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""Demonization"",
      ""paragraphIndex"": 3
    },
    {
      ""text"": ""no polarizing language selected"",
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""paragraphIndex"": 4
    }
  ]
}"
