article_id,article_title,paragraph_index,original_polarizing_count,reconstructed_polarizing_count,changed,signature,retained_rows,original_labels,reconstructed_labels
1,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",0,2,1,True,"{""has_npl_2_1"": true, ""has_npl_3_0"": false, ""has_polarizing_2_1"": false, ""has_polarizing_3_0"": false}","[{""meta"": ""Aarush"", ""subcategory"": ""no polarizing language"", ""vote_pattern"": ""2-1"", ""text"": ""no polarizing language selected""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}"
2,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",1,3,2,True,"{""has_npl_2_1"": false, ""has_npl_3_0"": false, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Prerana"", ""subcategory"": ""demonization"", ""vote_pattern"": ""2-1"", ""text"": ""committed a \""virtual act of treason\"" by""}, {""meta"": ""Ashrey"", ""subcategory"": ""name-calling"", ""vote_pattern"": ""2-1"", ""text"": ""the Failing New York Times""}]","{""Aarush"": ""polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}"
3,'Every American is entitled to health care': Sen. Bernie Sanders,1,2,2,False,"{""has_npl_2_1"": false, ""has_npl_3_0"": false, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Ashrey"", ""subcategory"": ""demonization"", ""vote_pattern"": ""2-1"", ""text"": ""f you support Medicare for all, you have to be willing to end the greed of the health insurance and pharmaceutical industries""}, {""meta"": ""Ashrey"", ""subcategory"": ""demonization"", ""vote_pattern"": ""2-1"", ""text"": ""no longer private corporations to make billions of dollars in profits off Americans' health care.""}, {""meta"": ""Ashrey"", ""subcategory"": ""doubt"", ""vote_pattern"": ""2-1"", ""text"": ""That means boldly transforming our dysfunctional system by ending the use of private health insurance""}, {""meta"": ""Prerana"", ""subcategory"": ""slogans"", ""vote_pattern"": ""2-1"", ""text"": ""guarantee health care as a human right""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}"
3,'Every American is entitled to health care': Sen. Bernie Sanders,2,1,1,False,"{""has_npl_2_1"": true, ""has_npl_3_0"": false, ""has_polarizing_2_1"": false, ""has_polarizing_3_0"": false}","[{""meta"": ""Ashrey"", ""subcategory"": ""no polarizing language"", ""vote_pattern"": ""2-1"", ""text"": ""no polarizing language selected""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}"
4,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,1,3,2,True,"{""has_npl_2_1"": false, ""has_npl_3_0"": false, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Prerana"", ""subcategory"": ""exaggeration"", ""vote_pattern"": ""2-1"", ""text"": ""ey won't be satisfied until all officers involved in this scandal are removed from the streets.""}]","{""Aarush"": ""polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}"
4,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,2,1,2,True,"{""has_npl_2_1"": false, ""has_npl_3_0"": true, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Prerana"", ""subcategory"": ""exaggeration"", ""vote_pattern"": ""2-1"", ""text"": ""ore officers that are taken off the streets, the more vulnerable the city becomes to""}, {""meta"": ""Ashrey"", ""subcategory"": ""no polarizing language"", ""vote_pattern"": ""3-0"", ""text"": ""no polarizing language selected""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}"
5,the latest: nadler says panel will move quickly on mcgahn,1,1,2,True,"{""has_npl_2_1"": true, ""has_npl_3_0"": false, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Prerana"", ""subcategory"": ""doubt"", ""vote_pattern"": ""2-1"", ""text"": ""ed answers on the questions left unanswered""}, {""meta"": ""Ashrey"", ""subcategory"": ""no polarizing language"", ""vote_pattern"": ""2-1"", ""text"": ""no polarizing language selected""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}"
6,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,0,2,3,True,"{""has_npl_2_1"": false, ""has_npl_3_0"": false, ""has_polarizing_2_1"": false, ""has_polarizing_3_0"": true}","[{""meta"": ""Prerana"", ""subcategory"": ""name-calling"", ""vote_pattern"": ""3-0"", ""text"": ""f hero and fallen-officer,""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}"
6,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,3,2,True,"{""has_npl_2_1"": false, ""has_npl_3_0"": false, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Ashrey"", ""subcategory"": ""bandwagon"", ""vote_pattern"": ""2-1"", ""text"": ""why should any other layman warrant any real respect and keep their memory alive?""}, {""meta"": ""Prerana"", ""subcategory"": ""exaggeration"", ""vote_pattern"": ""2-1"", ""text"": ""orance and disrespect shown toward police is at an al""}, {""meta"": ""Prerana"", ""subcategory"": ""slogans"", ""vote_pattern"": ""2-1"", ""text"": ""WE ARE LIVID! One year ago,""}]","{""Aarush"": ""polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}"
6,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,2,2,3,True,"{""has_npl_2_1"": false, ""has_npl_3_0"": false, ""has_polarizing_2_1"": false, ""has_polarizing_3_0"": true}","[{""meta"": ""Prerana"", ""subcategory"": ""exaggeration"", ""vote_pattern"": ""3-0"", ""text"": ""h are as minuscule as a slap on the wrist.""}]","{""Aarush"": ""polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}"
