index,title,topic,source,rating,provider,model,prompt_file,temperature,raw_json
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",legal arguments,The Washington Post,left,gemini,gemini-3.1-pro-preview,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
  ""title"": ""'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki"",
  ""topic"": ""legal arguments"",
  ""source"": ""The Washington Post"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""President Trump's naiveté, egotism, false equivalence, and sympathy for autocrats"",
      ""openFeedback"": ""Uses loaded negative labels to discredit the president's character and actions."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""text"": ""one of the most disgraceful performances by an American president in memory"",
      ""openFeedback"": ""Overstates the severity of the press conference to maximize negative impact."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""his complicity in the slaughter of the Syrian people"",
      ""openFeedback"": ""Frames the subject as deeply evil and dangerous by linking him to the slaughter of people."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""describe the press conference as a pathetic rout"",
      ""openFeedback"": ""Applies a highly charged negative label ('pathetic rout') to the event."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""President Trump's bombastic and erratic conduct"",
      ""openFeedback"": ""Uses loaded adjectives to discredit the president's behavior."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""text"": ""No prior president has ever abased himself more abjectly before a tyrant."",
      ""openFeedback"": ""Uses extreme hyperbole to criticize the interaction, making an absolute, sweeping claim."",
      ""paragraphIndex"": 2
    }
  ]
}"
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",legal arguments,The Washington Post,left,gemini,gemini-3.1-pro-preview,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
  ""title"": ""trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house"",
  ""topic"": ""legal arguments"",
  ""source"": ""The Washington Post"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""the Failing New York Times"",
      ""openFeedback"": ""Uses a loaded negative label to discredit the newspaper."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""the Enemy of the People"",
      ""openFeedback"": ""Frames the press as evil and a direct threat to society."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""slogans"",
      ""text"": ""after America has been made GREAT again"",
      ""openFeedback"": ""Uses Trump's well-known political campaign slogan."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""referring to it as the \""enemy of the people.\"""",
      ""openFeedback"": ""Repeats the demonizing phrase that frames the press as a dangerous threat."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""the Failing New York Times"",
      ""openFeedback"": ""Uses a loaded negative label to shape audience perception of the newspaper."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""committed a \""virtual act of treason\"""",
      ""openFeedback"": ""Accusing the publication of treason frames them as a dangerous enemy of the state."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""The Fake News has never been more dishonest"",
      ""openFeedback"": ""Uses the derogatory label 'Fake News' to discredit media organizations."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""There new weapon of choice is Fake Polling"",
      ""openFeedback"": ""Uses 'Fake Polling' as a loaded label to discredit unfavorable poll results."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 3
    }
  ]
}"
2,'Every American is entitled to health care': Sen. Bernie Sanders,health,ABC News,left,gemini,gemini-3.1-pro-preview,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
  ""title"": ""'Every American is entitled to health care': Sen. Bernie Sanders"",
  ""topic"": ""health"",
  ""source"": ""ABC News"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""end the greed of the health insurance and pharmaceutical industries"",
      ""openFeedback"": ""The speaker uses the loaded negative label 'greed' to discredit and shape negative feelings toward the health insurance and pharmaceutical industries."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 2
    }
  ]
}"
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,crime,CBS News,left,gemini,gemini-3.1-pro-preview,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
  ""title"": ""Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets"",
  ""topic"": ""crime"",
  ""source"": ""CBS News"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 2
    }
  ]
}"
4,the latest: nadler says panel will move quickly on mcgahn,politics,Louisville Courier Journal,left,gemini,gemini-3.1-pro-preview,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
  ""title"": ""the latest: nadler says panel will move quickly on mcgahn"",
  ""topic"": ""politics"",
  ""source"": ""Louisville Courier Journal"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""He called her \""Nervous Nancy\"""",
      ""openFeedback"": ""The text quotes a loaded negative label used to demean a political opponent."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 3
    }
  ]
}"
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,crime,CBS,left,gemini,gemini-3.1-pro-preview,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
  ""title"": ""'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized"",
  ""topic"": ""crime"",
  ""source"": ""CBS"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""sickening and disgusting that some low-life"",
      ""openFeedback"": ""The speaker uses the loaded negative label 'low-life' combined with emotionally charged wording to insult and discredit the vandal."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""top persecutor of this city"",
      ""openFeedback"": ""The speaker purposefully replaces 'prosecutor' with the loaded negative label 'persecutor' to shape negative feelings about the District Attorney."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 3
    }
  ]
}"
6,george conway urges trump to resign over aborted iran strike,science,The Boston Globe,left,gemini,gemini-3.1-pro-preview,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
  ""title"": ""george conway urges trump to resign over aborted iran strike"",
  ""topic"": ""science"",
  ""source"": ""The Boston Globe"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""you're even more of an idiot than people think you are"",
      ""openFeedback"": ""The speaker uses the emotionally charged and insulting label 'idiot' to discredit the target."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man"",
      ""openFeedback"": ""The speaker uses a litany of loaded negative labels to discredit and demean the target."",
      ""paragraphIndex"": 2
    }
  ]
}"
7,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,legal arguments,Newsweek,left,gemini,gemini-3.1-pro-preview,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
  ""title"": ""Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings"",
  ""topic"": ""legal arguments"",
  ""source"": ""Newsweek"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 2
    }
  ]
}"
8,"ron desantis signs amendment 4 bill, limiting felon voting",environmental issues,The Sacramento Bee,left,gemini,gemini-3.1-pro-preview,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
  ""title"": ""ron desantis signs amendment 4 bill, limiting felon voting"",
  ""topic"": ""environmental issues"",
  ""source"": ""The Sacramento Bee"",
  ""rating"": ""left"",
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""The paragraph consists of routine political reporting and quoting critics; no language strictly meets the definitions of propaganda or inflammatory language."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""The text describes historical context and the impact of the policy without using explicit polarizing language or propaganda techniques."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""The paragraph explains the differing interpretations of the amendment by supporters and lawmakers neutrally."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""Although critical of the policy's effects and costs, the reporting remains within bounds of standard political journalism and lacks explicit propaganda markers."",
      ""paragraphIndex"": 3
    }
  ]
}"
9,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",science,Business Insider,center,gemini,gemini-3.1-pro-preview,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
  ""title"": ""senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'"",
  ""topic"": ""science"",
  ""source"": ""Business Insider"",
  ""rating"": ""center"",
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""called being transgender \""a delusion.\"""",
      ""openFeedback"": ""The word 'delusion' is used as a loaded negative label to discredit transgender identity."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""bizarre comments Kacsmaryk has made"",
      ""openFeedback"": ""The author uses 'bizarre' as a loaded negative label to shape the audience's perception of the judge's comments."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""an autonomous blob of Silly Putty"",
      ""openFeedback"": ""The speaker uses a loaded negative label to mock and discredit the concept of the human person under the Equality Act."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""drape black robes over these bigoted views"",
      ""openFeedback"": ""The term 'bigoted' is used as a loaded negative label to discredit the nominee's views."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language."",
      ""paragraphIndex"": 3
    }
  ]
}"
