article_title,paragraph_index,cluster_status,vote_pattern,representative_accept,representative_deny,representative_total_votes,representative_accept_rate,subcategory,category,representative_text,representative_meta,cluster_member_count,cluster_metas,cluster_texts
Every American is entitled to health care': Sen. Bernie Sanders,1.0,majority_accept,2-1,2.0,1.0,3,0.666666666666666,demonization,inflammatory language,"f you support Medicare for all, you have to be willing to end the greed of the health insurance and pharmaceutical industries",Ashrey,2.0,Ashrey | Prerana,"f you support Medicare for all, you have to be willing to end the greed of the health insurance and pharmaceutical industries || be willing to end the greed of the health insurance"
Every American is entitled to health care': Sen. Bernie Sanders,1.0,majority_accept,2-1,2.0,1.0,3,0.666666666666666,demonization,inflammatory language,no longer private corporations to make billions of dollars in profits off Americans' health care.,Ashrey,1.0,Ashrey,no longer private corporations to make billions of dollars in profits off Americans' health care.
Every American is entitled to health care': Sen. Bernie Sanders,1.0,majority_accept,2-1,2.0,1.0,3,0.666666666666666,doubt,persuasive propaganda,That means boldly transforming our dysfunctional system by ending the use of private health insurance,Ashrey,1.0,Ashrey,That means boldly transforming our dysfunctional system by ending the use of private health insurance
Every American is entitled to health care': Sen. Bernie Sanders,1.0,majority_accept,2-1,2.0,1.0,3,0.666666666666666,slogans,persuasive propaganda,guarantee health care as a human right,Prerana,2.0,Ashrey | Prerana,guarantee health care as a human right || guarantee health care as a human right
Every American is entitled to health care': Sen. Bernie Sanders,2.0,majority_accept,2-1,2.0,1.0,3,0.666666666666666,no polarizing language,no polarizing language,no polarizing language selected,Ashrey,2.0,Aarush | Ashrey,no polarizing language selected || no polarizing language selected
WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,0.0,majority_accept,3-0,3,0,3,1.0,name-calling,inflammatory language,"f hero and fallen-officer,",Prerana,3,Prerana,"f hero and fallen-officer,"
WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1.0,majority_accept,2-1,2.0,1.0,3,0.666666666666666,bandwagon,persuasive propaganda,why should any other layman warrant any real respect and keep their memory alive?,Ashrey,1.0,Ashrey,why should any other layman warrant any real respect and keep their memory alive?
WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1.0,majority_accept,2-1,2.0,1.0,3,0.666666666666666,exaggeration,persuasive propaganda,orance and disrespect shown toward police is at an al,Prerana,1.0,Prerana,orance and disrespect shown toward police is at an al
WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1.0,majority_accept,2-1,2.0,1.0,3,0.666666666666666,slogans,persuasive propaganda,"WE ARE LIVID! One year ago,",Prerana,1.0,Prerana,"WE ARE LIVID! One year ago,"
WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,2.0,majority_accept,3-0,3,0,3,1.0,exaggeration,persuasive propaganda,h are as minuscule as a slap on the wrist.,Prerana,3,Prerana,h are as minuscule as a slap on the wrist.
"if you're directly complicit in spreading hate, consider dining at home': restaurant owner who kicked sarah sanders out last year defends chicago server who spat on eric trump in a cocktail bar",0.0,majority_accept,2-1,2.0,1.0,3,0.666666666666666,demonization,inflammatory language,"who spat in Eric Trump's face last week, saying politicians involved in 'spreading hate' should consider dining at home",Ashrey,1.0,Ashrey,"who spat in Eric Trump's face last week, saying politicians involved in 'spreading hate' should consider dining at home"
"if you're directly complicit in spreading hate, consider dining at home': restaurant owner who kicked sarah sanders out last year defends chicago server who spat on eric trump in a cocktail bar",1.0,majority_accept,2-1,2.0,1.0,3,0.666666666666666,name-calling,inflammatory language,"If you're an unsavory individual - of whatever persuasion or affiliation - we have no legal or moral obligation to do business with you,",Prerana,1.0,Prerana,"If you're an unsavory individual - of whatever persuasion or affiliation - we have no legal or moral obligation to do business with you,"
"if you're directly complicit in spreading hate, consider dining at home': restaurant owner who kicked sarah sanders out last year defends chicago server who spat on eric trump in a cocktail bar",2.0,majority_accept,2-1,2.0,1.0,3,0.666666666666666,exaggeration,persuasive propaganda,its normal axis' there will be less 'highly charged encounters' making headlines.,Prerana,1.0,Prerana,its normal axis' there will be less 'highly charged encounters' making headlines.
"pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",0.0,majority_accept,2-1,2.0,1.0,3,0.666666666666666,no polarizing language,no polarizing language,no polarizing language selected,Aarush,1.0,Aarush,no polarizing language selected
Biden criticizes Amazon for paying $0 in corporate taxes,0.0,majority_accept,2-1,2.0,1.0,3,0.666666666666666,exaggeration,persuasive propaganda,"I have nothing against Amazon, but no company pulling in billions of dollars of profits should pay a lower tax rate than firefighters and teachers",Ashrey,2.0,Ashrey | Prerana,"I have nothing against Amazon, but no company pulling in billions of dollars of profits should pay a lower tax rate than firefighters and teachers || ut no company pulling in billions of dollars of profits should pay a lower tax rate"
Biden criticizes Amazon for paying $0 in corporate taxes,0.0,majority_accept,2-1,2.0,1.0,3,0.666666666666666,exaggeration,persuasive propaganda,presidential candidate to slam one,Aarush,1.0,Aarush,presidential candidate to slam one
Biden criticizes Amazon for paying $0 in corporate taxes,0.0,majority_accept,2-1,2.0,1.0,3,0.666666666666666,slogans,persuasive propaganda,"We need to reward work, not just wealth",Ashrey,2.0,Ashrey | Prerana,"We need to reward work, not just wealth || e need to reward work, not just wealth."""
