article_index,article_title,paragraph_index,cluster_index,raw_meta,raw_subcategory,raw_span,old_accept,old_deny,new_accept,new_deny,adjudicated_vote_pattern,adjudicated_row_meta,adjudicated_row_text
2,'Every American is entitled to health care': Sen. Bernie Sanders,1,0,Ashrey,demonization,"f you support Medicare for all, you have to be willing to end the greed of the health insurance and pharmaceutical industries",2,1,2,1,2-1,Ashrey,"f you support Medicare for all, you have to be willing to end the greed of the health insurance and pharmaceutical industries"
2,'Every American is entitled to health care': Sen. Bernie Sanders,1,0,Prerana,demonization,be willing to end the greed of the health insurance,2,1,2,1,2-1,Ashrey,"f you support Medicare for all, you have to be willing to end the greed of the health insurance and pharmaceutical industries"
2,'Every American is entitled to health care': Sen. Bernie Sanders,1,3,Ashrey,demonization,no longer private corporations to make billions of dollars in profits off Americans' health care.,2,1,2,1,2-1,Ashrey,no longer private corporations to make billions of dollars in profits off Americans' health care.
2,'Every American is entitled to health care': Sen. Bernie Sanders,1,1,Ashrey,doubt,That means boldly transforming our dysfunctional system by ending the use of private health insurance,2,1,2,1,2-1,Ashrey,That means boldly transforming our dysfunctional system by ending the use of private health insurance
2,'Every American is entitled to health care': Sen. Bernie Sanders,1,2,Ashrey,slogans,guarantee health care as a human right,2,1,2,1,2-1,Prerana,guarantee health care as a human right
2,'Every American is entitled to health care': Sen. Bernie Sanders,1,2,Prerana,slogans,guarantee health care as a human right,2,1,2,1,2-1,Prerana,guarantee health care as a human right
2,'Every American is entitled to health care': Sen. Bernie Sanders,2,0,Ashrey,no polarizing language,no polarizing language selected,2,1,2,1,2-1,Ashrey,no polarizing language selected
2,'Every American is entitled to health care': Sen. Bernie Sanders,2,0,Aarush,no polarizing language,no polarizing language selected,2,1,2,1,2-1,Ashrey,no polarizing language selected
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,0,3,Prerana,exaggeration,"f hero and fallen-officer,",1,2,3,0,3-0,Prerana,"f hero and fallen-officer,"
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,3,Ashrey,bandwagon,why should any other layman warrant any real respect and keep their memory alive?,2,1,2,1,2-1,Ashrey,why should any other layman warrant any real respect and keep their memory alive?
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,4,Prerana,exaggeration,orance and disrespect shown toward police is at an al,2,1,2,1,2-1,Prerana,orance and disrespect shown toward police is at an al
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,6,Prerana,slogans,"WE ARE LIVID! One year ago,",2,1,2,1,2-1,Prerana,"WE ARE LIVID! One year ago,"
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,2,3,Prerana,exaggeration,h are as minuscule as a slap on the wrist.,1,2,3,0,3-0,Prerana,h are as minuscule as a slap on the wrist.
21,"'if you're directly complicit in spreading hate, consider dining at home': restaurant owner who kicked sarah sanders out last year defends chicago server who spat on eric trump in a cocktail bar",0,0,Ashrey,demonization,"who spat in Eric Trump's face last week, saying politicians involved in 'spreading hate' should consider dining at home",2,1,2,1,2-1,Ashrey,"who spat in Eric Trump's face last week, saying politicians involved in 'spreading hate' should consider dining at home"
21,"'if you're directly complicit in spreading hate, consider dining at home': restaurant owner who kicked sarah sanders out last year defends chicago server who spat on eric trump in a cocktail bar",1,3,Prerana,name-calling,"If you're an unsavory individual - of whatever persuasion or affiliation - we have no legal or moral obligation to do business with you,",2,1,2,1,2-1,Prerana,"If you're an unsavory individual - of whatever persuasion or affiliation - we have no legal or moral obligation to do business with you,"
21,"'if you're directly complicit in spreading hate, consider dining at home': restaurant owner who kicked sarah sanders out last year defends chicago server who spat on eric trump in a cocktail bar",2,2,Prerana,exaggeration,'its normal axis' there will be less 'highly charged encounters' making headlines.,2,1,2,1,2-1,Prerana,its normal axis' there will be less 'highly charged encounters' making headlines.
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",0,2,Aarush,no polarizing language,no polarizing language selected,2,1,2,1,2-1,Aarush,no polarizing language selected
16,Biden criticizes Amazon for paying $0 in corporate taxes,0,1,Ashrey,exaggeration,"I have nothing against Amazon, but no company pulling in billions of dollars of profits should pay a lower tax rate than firefighters and teachers",2,1,2,1,2-1,Ashrey,"I have nothing against Amazon, but no company pulling in billions of dollars of profits should pay a lower tax rate than firefighters and teachers"
16,Biden criticizes Amazon for paying $0 in corporate taxes,0,1,Prerana,exaggeration,ut no company pulling in billions of dollars of profits should pay a lower tax rate,2,1,2,1,2-1,Ashrey,"I have nothing against Amazon, but no company pulling in billions of dollars of profits should pay a lower tax rate than firefighters and teachers"
16,Biden criticizes Amazon for paying $0 in corporate taxes,0,2,Aarush,exaggeration,presidential candidate to slam one,2,1,2,1,2-1,Aarush,presidential candidate to slam one
16,Biden criticizes Amazon for paying $0 in corporate taxes,0,0,Ashrey,slogans,"We need to reward work, not just wealth",2,1,2,1,2-1,Ashrey,"We need to reward work, not just wealth"
16,Biden criticizes Amazon for paying $0 in corporate taxes,0,0,Prerana,slogans,"e need to reward work, not just wealth.""",2,1,2,1,2-1,Ashrey,"We need to reward work, not just wealth"
16,Biden criticizes Amazon for paying $0 in corporate taxes,1,2,Prerana,demonization,who said they were treated inhumanely at the facilitie,2,1,2,1,2-1,Prerana,who said they were treated inhumanely at the facilitie
16,Biden criticizes Amazon for paying $0 in corporate taxes,3,0,Ashrey,no polarizing language,no polarizing language selected,2,1,2,1,2-1,Ashrey,no polarizing language selected
16,Biden criticizes Amazon for paying $0 in corporate taxes,3,0,Aarush,no polarizing language,no polarizing language selected,2,1,2,1,2-1,Ashrey,no polarizing language selected
11,BuzzFeed Journalists Protest in Push for Union Recognition,0,2,Prerana,name-calling,also a giant inflatable rat -- a common form of protest by striking trade unions,2,1,2,1,2-1,Prerana,also a giant inflatable rat -- a common form of protest by striking trade unions
11,BuzzFeed Journalists Protest in Push for Union Recognition,0,1,Aarush,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Aarush,no polarizing language selected
11,BuzzFeed Journalists Protest in Push for Union Recognition,0,0,Ashrey,slogans,Recognize the BuzzFeed Union!!,2,1,2,1,2-1,Prerana,"Recognize the BuzzFeed Union!!"""
11,BuzzFeed Journalists Protest in Push for Union Recognition,0,0,Prerana,slogans,"Recognize the BuzzFeed Union!!""",2,1,2,1,2-1,Prerana,"Recognize the BuzzFeed Union!!"""
11,BuzzFeed Journalists Protest in Push for Union Recognition,1,1,Prerana,exaggeration,"unfair pay disparities, mismanaged pivots and layoffs, weak benefits, skyrocketing health insurance costs, diversity, and more",2,1,2,1,2-1,Prerana,"unfair pay disparities, mismanaged pivots and layoffs, weak benefits, skyrocketing health insurance costs, diversity, and more"
11,BuzzFeed Journalists Protest in Push for Union Recognition,1,0,Ashrey,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Ashrey,no polarizing language selected
11,BuzzFeed Journalists Protest in Push for Union Recognition,1,0,Aarush,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Ashrey,no polarizing language selected
