article_title,paragraph_index,agreed_text,category,subcategory,bagozzi_text,inhouse_text,bagozzi_category,bagozzi_subcategory,inhouse_category,inhouse_subcategory,inhouse_vote_pattern
George Conway Urges Trump To Resign Over Aborted Iran Strike,0,trump didn't realize until ten minutes beforehand that a planned airstrike would kill over a hundred people,Persuasive Propaganda,Doubt,trump didn't realize until ten minutes beforehand that a planned airstrike would kill over a hundred people,Trump didn't realize UNTIL TEN MINUTES BEFOREHAND that a planned airstrike would kill over a hundred people,Persuasive Propaganda,Doubt,persuasive propaganda,doubt,3-0
George Conway Urges Trump To Resign Over Aborted Iran Strike,0,to say this is amateur hour would defame amateurs,Persuasive Propaganda,Exaggeration,To say this is amateur hour would defame amateurs,"To say this is amateur hour would defame amateurs.""",Persuasive Propaganda,Exaggeration,persuasive propaganda,doubt,3-0
George Conway Urges Trump To Resign Over Aborted Iran Strike,0,even more of an idiot than people think you are,Inflammatory Language,Name-Calling,even more of an idiot than people think you are,"Resign. If you didn't know this until it was almost too late, you're even more of an idiot than people think you are",Inflammatory Language,Name-Calling,inflammatory language,name-calling,3-0
George Conway Urges Trump To Resign Over Aborted Iran Strike,1,to say this is amateur hour would defame amateurs,Persuasive Propaganda,Exaggeration,To say this is amateur hour would defame amateurs,To say this is amateur hour would defame amateurs,Persuasive Propaganda,Exaggeration,inflammatory language,name-calling,2-1
George Conway Urges Trump To Resign Over Aborted Iran Strike,1,even more of an idiot than people think you are,Inflammatory Language,Name-Calling,even more of an idiot than people think you are,"If you didn't know this until it was almost too late, you're even more of an idiot than people think you are.",Inflammatory Language,Name-Calling,inflammatory language,name-calling,3-0
George Conway Urges Trump To Resign Over Aborted Iran Strike,3,"erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man",Inflammatory Language,Name-Calling,"erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man","""erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man whose judgment no serious, intelligent person trusts",Inflammatory Language,Name-Calling,inflammatory language,demonization,3-0
George Conway Urges Trump To Resign Over Aborted Iran Strike,3,"whose judgment no serious, intelligent person trusts",Persuasive Propaganda,Bandwagon,"whose judgment no serious, intelligent person trusts","whose judgment no serious, intelligent person trusts",Persuasive Propaganda,Bandwagon,persuasive propaganda,bandwagon,2-1
"'Pathetic Rout,' 'Tragic Mistake' And 'Painful' John Mccain Holds Little Back In Describing Helsinki",0,one of the most disgraceful performances by an american president in memory,Persuasive Propaganda,Exaggeration,one of the most disgraceful performances by an American president in memory,Today's press conference in Helsinki was one of the most disgraceful performances by an American president in memory,Persuasive Propaganda,Exaggeration,persuasive propaganda,exaggeration,3-0
"'Pathetic Rout,' 'Tragic Mistake' And 'Painful' John Mccain Holds Little Back In Describing Helsinki",0,"naiveté, egotism, false equivalence, and sympathy for autocrats",Inflammatory Language,Name-Calling,"naiveté, egotism, false equivalence, and sympathy for autocrats","President Trump's naiveté, egotism, false equivalence, and sympathy for autocrats is difficult to calculate.",Inflammatory Language,Name-Calling,inflammatory language,name-calling,2-0
"'Pathetic Rout,' 'Tragic Mistake' And 'Painful' John Mccain Holds Little Back In Describing Helsinki",0,tragic mistake,Persuasive Propaganda,Exaggeration,tragic mistake,"a ""tragic mistake"" in his meetings with Russian P",Persuasive Propaganda,Exaggeration,persuasive propaganda,exaggeration,3-0
"'Pathetic Rout,' 'Tragic Mistake' And 'Painful' John Mccain Holds Little Back In Describing Helsinki",1,low point in the history,Persuasive Propaganda,Exaggeration,marks a recent low point in the history of the American Presidency,low point in the history,Persuasive Propaganda,Exaggeration,persuasive propaganda,exaggeration,2-0
