article_index,paragraph_index,annotation_index,span,subcategory,accept,deny,total,accept_rate
0,0,0,no polarizing language selected,No Polarizing language,5,2,7,0.7142857142857143
0,1,0,no polarizing language selected,No Polarizing language,5,0,5,1.0
0,2,0,no polarizing language selected,No Polarizing language,5,0,5,1.0
0,3,0,no polarizing language selected,No Polarizing language,5,0,5,1.0
1,0,0,no polarizing language selected,No Polarizing language,3,0,3,1.0
2,0,0,no polarizing language selected,No Polarizing language,3,1,4,0.75
2,1,0,no polarizing language selected,No Polarizing language,4,0,4,1.0
3,0,0,no polarizing language selected,No Polarizing language,2,1,3,0.6666666666666666
3,1,0,no polarizing language selected,No Polarizing language,2,1,3,0.6666666666666666
4,0,0,no polarizing language selected,No Polarizing language,4,0,4,1.0
4,1,0,no polarizing language selected,No Polarizing language,2,2,4,0.5
4,2,0,"a green, job-creating project is stymied by a single entity for their own narrow reasons",exaggeration,4,0,4,1.0
5,0,0,no polarizing language selected,No Polarizing language,4,1,5,0.8
5,1,0,no polarizing language selected,No Polarizing language,5,0,5,1.0
5,2,0,no polarizing language selected,No Polarizing language,4,1,5,0.8
5,3,0,no polarizing language selected,No Polarizing language,4,1,5,0.8
5,4,0,no polarizing language selected,No Polarizing language,4,1,5,0.8
6,0,0,no polarizing language selected,No Polarizing language,4,0,4,1.0
6,1,0,no polarizing language selected,No Polarizing language,3,1,4,0.75
6,2,0,no polarizing language selected,No Polarizing language,3,1,4,0.75
7,0,0,no polarizing language selected,No Polarizing language,3,0,3,1.0
7,1,0,no polarizing language selected,No Polarizing language,2,1,3,0.6666666666666666
7,2,0,no polarizing language selected,No Polarizing language,3,0,3,1.0
8,0,0,no polarizing language selected,No Polarizing language,1,3,4,0.25
8,1,0,no polarizing language selected,No Polarizing language,2,2,4,0.5
8,2,0,no polarizing language selected,No Polarizing language,1,3,4,0.25
8,3,0,no polarizing language selected,No Polarizing language,4,0,4,1.0
9,0,0,no polarizing language selected,No Polarizing language,5,0,5,1.0
9,1,0,no polarizing language selected,No Polarizing language,5,0,5,1.0
9,2,0,no polarizing language selected,No Polarizing language,4,1,5,0.8
10,0,0,raising fears that environmental rollbacks seen in the United States may be spreading to Europe,exaggeration,4,2,6,0.6666666666666666
10,1,0,"""We have to save (the planet) starting at the local and small level, the first thing is Madrid's center,""",exaggeration,5,0,5,1.0
10,2,0,no polarizing language selected,No Polarizing language,5,0,5,1.0
11,0,0,no polarizing language selected,No Polarizing language,4,0,4,1.0
11,1,0,no polarizing language selected,No Polarizing language,3,0,3,1.0
11,2,0,another medically unnecessary requirement that the state was putting on it to whittle down Missouri residents' access to abortion,casual oversimplification,2,0,2,1.0
11,3,0,a slew of recent anti-abortion legislation across the country,exaggeration,0,2,2,0.0
11,4,0,no polarizing language selected,No Polarizing language,2,0,2,1.0
