cluster_id,article_title,paragraph_index,representative_span,source_count,candidate_count,accept_score,threshold,accepted,final_category,final_subcategory,sources
pathetic rout tragic mistake and painful john mc__p0__c1,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",0,one of the most disgraceful performances by an American president,4,4,1.0,0.5,True,Persuasive Propaganda,exaggeration,adjudicated_prompt2|claude_haiku_prompt5|gemini_flash_prompt5|gpt5mini_prompt5
pathetic rout tragic mistake and painful john mc__p0__c2,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",0,tragic mistake,2,2,0.538462,0.5,True,Persuasive Propaganda,exaggeration,gemini_flash_prompt5|gpt5mini_prompt5
pathetic rout tragic mistake and painful john mc__p0__c3,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",0,"President Trump's naiveté, egotism, false equivalence",1,1,0.282051,0.5,False,Inflammatory Language,name-calling,gpt5mini_prompt5
pathetic rout tragic mistake and painful john mc__p0__c4,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",0,incalculable damage to U.S. foreign policy,1,1,0.282051,0.5,False,Persuasive Propaganda,exaggeration,gpt5mini_prompt5
pathetic rout tragic mistake and painful john mc__p1__c1,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",1,bombastic and erratic conduct towards our closest friends and allies,2,2,0.564103,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|gpt5mini_prompt5
pathetic rout tragic mistake and painful john mc__p1__c2,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",1,recent low point in the history of the American Presidency,2,2,0.538462,0.5,True,Persuasive Propaganda,exaggeration,gemini_flash_prompt5|gpt5mini_prompt5
pathetic rout tragic mistake and painful john mc__p1__c3,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",1,conscious choice to defend a tyrant,2,2,0.564103,0.5,True,Inflammatory Language,demonization,adjudicated_prompt2|gpt5mini_prompt5
pathetic rout tragic mistake and painful john mc__p1__c4,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",1,his complicity in the slaughter of the Syrian people,2,2,0.564103,0.5,True,Inflammatory Language,demonization,adjudicated_prompt2|gpt5mini_prompt5
pathetic rout tragic mistake and painful john mc__p1__c5,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",1,pathetic rout,3,3,0.820513,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
pathetic rout tragic mistake and painful john mc__p1__c6,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",1,spew propaganda and lies to the world,1,1,0.282051,0.5,False,Inflammatory Language,demonization,gpt5mini_prompt5
pathetic rout tragic mistake and painful john mc__p2__c1,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",2,abased himself more abjectly before a tyrant,3,3,0.820513,0.5,True,Inflammatory Language,demonization,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
trump rips horrible new york times washington po__p0__c1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",0,horrible papers,4,5,1.0,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|claude_haiku_prompt5|gemini_flash_prompt5|gpt5mini_prompt5
trump rips horrible new york times washington po__p0__c2,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",0,Failing New York Times,3,4,0.820513,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
trump rips horrible new york times washington po__p0__c3,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",0,America has been made GREAT again,2,2,0.538462,0.5,True,Persuasive Propaganda,slogans,gemini_flash_prompt5|gpt5mini_prompt5
trump rips horrible new york times washington po__p0__c4,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",0,more dishonest and deceitful,1,1,0.282051,0.5,False,Inflammatory Language,name-calling,gpt5mini_prompt5
trump rips horrible new york times washington po__p0__c5,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",0,enemy of the people,3,5,0.820513,0.5,True,Inflammatory Language,demonization,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
trump rips horrible new york times washington po__p1__c1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",1,the Failing New York Times just did a story,1,1,0.282051,0.5,False,Inflammatory Language,name-calling,gpt5mini_prompt5
trump rips horrible new york times washington po__p1__c2,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",1,virtual act of treason,3,4,0.820513,0.5,True,Inflammatory Language,demonization,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
trump rips horrible new york times washington po__p2__c1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",2,fake news,3,4,0.820513,0.5,True,Persuasive Propaganda,exaggeration,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
trump rips horrible new york times washington po__p2__c2,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",2,fake news,1,1,0.282051,0.5,False,Persuasive Propaganda,exaggeration,gpt5mini_prompt5
every american is entitled to health care sen be__p0__c1,'Every American is entitled to health care': Sen. Bernie Sanders,0,international embarrassment,4,4,1.0,0.5,True,Persuasive Propaganda,exaggeration,adjudicated_prompt2|claude_haiku_prompt5|gemini_flash_prompt5|gpt5mini_prompt5
every american is entitled to health care sen be__p1__c1,'Every American is entitled to health care': Sen. Bernie Sanders,1,end the greed of the health insurance and pharmaceutical industries,3,3,0.820513,0.5,True,Inflammatory Language,demonization,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
every american is entitled to health care sen be__p1__c2,'Every American is entitled to health care': Sen. Bernie Sanders,1,make billions of dollars in profits off Americans' health care,2,2,0.564103,0.5,True,Persuasive Propaganda,exaggeration,adjudicated_prompt2|gpt5mini_prompt5
every american is entitled to health care sen be__p2__c1,'Every American is entitled to health care': Sen. Bernie Sanders,2,crazy and wild and extreme,2,2,0.564103,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|gpt5mini_prompt5
protesters want all philadelphia police officers__p0__c1,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,0,racist police,4,4,1.0,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|claude_haiku_prompt5|gemini_flash_prompt5|gpt5mini_prompt5
protesters want all philadelphia police officers__p0__c2,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,0,they hate the people whose communities they patrol,2,2,0.564103,0.5,True,Inflammatory Language,demonization,adjudicated_prompt2|gpt5mini_prompt5
protesters want all philadelphia police officers__p1__c1,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,1,Get Them Off The Streets,1,1,0.282051,0.5,False,Persuasive Propaganda,slogans,gpt5mini_prompt5
