index,title,topic,source,rating,provider,model,prompt_file,temperature,raw_json
0,Democrat Robert Martwick sworn in as state senator; GOP taps Rosemont Mayor Brad Stephens for House seat,politics,Chicago Tribune,center,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_5_human_aligned_precision_recall.md,0.0,"{
    ""category"": ""No Polarizing language"",
    ""subcategory"": ""no polarizing language"",
    ""text"": ""no polarizing language selected"",
    ""openFeedback"": ""Paragraph 0 contains neutral reporting of political transitions and appointments without polarizing rhetoric."",
    ""paragraphIndex"": 0
  }"
1,"Frozen sperm bank could be set up in space, study suggests",science,Press Association,center,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_5_human_aligned_precision_recall.md,0.0,"{
    ""category"": ""No Polarizing language"",
    ""subcategory"": ""no polarizing language"",
    ""text"": ""no polarizing language selected"",
    ""openFeedback"": ""The opening paragraph presents a scientific prediction neutrally without loaded language, exaggeration, or inflammatory framing."",
    ""paragraphIndex"": 0
  }"
2,phoenix chief says police response to incident with 4-year-old is 'unacceptable',crime,CNN,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_5_human_aligned_precision_recall.md,0.0,"{
    ""category"": ""No Polarizing language"",
    ""subcategory"": ""no polarizing language"",
    ""text"": ""no polarizing language selected"",
    ""openFeedback"": ""The opening contains factual reporting of the police chief's apology. 'Unacceptable' is the chief's own characterization of the incident, not inflammatory language by the reporter."",
    ""paragraphIndex"": 0
  }"
3,"Four top residencies now offered to local artists, thanks to Oolite",politics,Miami Herald,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_5_human_aligned_precision_recall.md,0.0,"{
    ""category"": ""Persuasive Propaganda"",
    ""subcategory"": ""exaggeration"",
    ""text"": ""superpower their careers"",
    ""openFeedback"": ""The phrase 'superpower their careers' is an exaggerated, hyperbolic characterization of the opportunity being offered. It overstates the impact of the residencies."",
    ""paragraphIndex"": 0
  }"
4,port of l.a. sued after canceling agreement for a shipping container facility,science,CNN Business,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_5_human_aligned_precision_recall.md,0.0,"{
    ""category"": ""No Polarizing language"",
    ""subcategory"": ""no polarizing language"",
    ""text"": ""no polarizing language selected"",
    ""openFeedback"": ""Paragraph 0 contains factual reporting of the lawsuit and its claims without inflammatory or propagandistic language."",
    ""paragraphIndex"": 0
  }"
5,get these trending washington restaurants on your radar today,health,USA TODAY,center,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_5_human_aligned_precision_recall.md,0.0,"{
    ""category"": ""No Polarizing language"",
    ""subcategory"": ""no polarizing language"",
    ""text"": ""no polarizing language selected"",
    ""openFeedback"": ""The introductory paragraph uses neutral language to describe a data-driven methodology. Terms like 'buzziest' are informal but not polarizing in this context."",
    ""paragraphIndex"": 0
  }"
6,"south african woman reunited with son six years after he disappeared and was tracked down 1,000 miles away",science,Los Angeles Times,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_5_human_aligned_precision_recall.md,0.0,"{
    ""category"": ""No Polarizing language"",
    ""subcategory"": ""no polarizing language"",
    ""text"": ""no polarizing language selected"",
    ""openFeedback"": ""The opening paragraph is a factual narrative about a mother-son reunion. No loaded labels, demonization, scapegoating, exaggeration, slogans, bandwagon appeals, doubt-casting, or casual oversimplification are present."",
    ""paragraphIndex"": 0
  }"
7,Ex-Posen mayor pleads guilty to embezzling village funds,crime,Chicago Tribune,center,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_5_human_aligned_precision_recall.md,0.0,"{
    ""category"": ""No Polarizing language"",
    ""subcategory"": ""no polarizing language"",
    ""text"": ""no polarizing language selected"",
    ""openFeedback"": ""The first paragraph contains factual reporting of criminal charges, guilty plea, and sentencing recommendations. Terms like 'embezzling' and 'ill-gotten gains' are legally descriptive, not loaded rhetorical language. No exact span qualifies as polarizing."",
    ""paragraphIndex"": 0
  }"
8,rosemount recreation center plan gets positive response so far,health,AP,center,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_5_human_aligned_precision_recall.md,0.0,"{
    ""category"": ""No Polarizing language"",
    ""subcategory"": ""no polarizing language"",
    ""text"": ""no polarizing language selected"",
    ""openFeedback"": ""Paragraph contains neutral reporting on consultant hiring and early positive feedback without polarizing language."",
    ""paragraphIndex"": 0
  }"
9,Ridgecrest earthquakes caused damage to the earth's crust seen from satellite,science,Los Angeles Times,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_5_human_aligned_precision_recall.md,0.0,"{
    ""category"": ""No Polarizing language"",
    ""subcategory"": ""no polarizing language"",
    ""text"": ""no polarizing language selected"",
    ""openFeedback"": ""This paragraph provides factual reporting of earthquake damage and NASA satellite imagery. Terms like 'damage,' 'ruptures,' and 'displacements' are technical, descriptive language appropriate to the subject matter, not polarizing rhetoric."",
    ""paragraphIndex"": 0
  }"
10,Protest in Madrid as conservatives suspend ban on most polluting cars,environmental issues,Reuters,center,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_5_human_aligned_precision_recall.md,0.0,"{
    ""category"": ""Persuasive Propaganda"",
    ""subcategory"": ""exaggeration"",
    ""text"": ""environmental rollbacks seen in the United States may be spreading to Europe"",
    ""openFeedback"": ""The phrase 'spreading' and comparison to US rollbacks frames a single city policy suspension as a potential continental trend, overstating the scope and inevitability of environmental reversal."",
    ""paragraphIndex"": 0
  }"
11,Missouri's only abortion clinic to remain open after judge's injunction holds,legal arguments,NBC News,left,anthropic,claude-haiku-4-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_5_human_aligned_precision_recall.md,0.0,"{
    ""category"": ""No Polarizing language"",
    ""subcategory"": ""no polarizing language"",
    ""text"": ""no polarizing language selected"",
    ""openFeedback"": ""The opening sentence reports factual legal proceedings without polarizing language."",
    ""paragraphIndex"": 0
  }"
