index,title,topic,source,rating,provider,model,prompt_file,temperature,raw_json
0,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",legal arguments,The Washington Post,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
    ""category"": ""No Polarizing language"",
    ""subcategory"": ""no polarizing language"",
    ""text"": ""no polarizing language selected"",
    ""openFeedback"": ""This paragraph provides neutral background/reporting context without explicit inflammatory or propagandistic language."",
    ""paragraphIndex"": 0
  }"
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",legal arguments,The Washington Post,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
    ""category"": ""Inflammatory Language"",
    ""subcategory"": ""name-calling"",
    ""text"": ""more dishonest and deceitful"",
    ""openFeedback"": ""Trump uses loaded language to discredit the newspapers rather than providing evidence."",
    ""paragraphIndex"": 0
  }"
2,'Every American is entitled to health care': Sen. Bernie Sanders,health,ABC News,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
    ""text"": ""the international embarrassment of not guaranteeing health care as a right"",
    ""category"": ""Persuasive Propaganda"",
    ""subcategory"": ""exaggeration"",
    ""openFeedback"": ""Frames current U.S. policy in strongly exaggerated, emotionally loaded terms to persuade rather than inform."",
    ""paragraphIndex"": 0
  }"
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,crime,CBS News,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""This paragraph is factual reporting about protests and administrative actions without loaded or polarizing language."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""demonization"",
      ""text"": ""said openly that they hate the people whose communities they patrol"",
      ""openFeedback"": ""This quote characterizes the officers as hateful toward the communities they serve, framing them as dangerous or threatening rather than presenting evidence."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""slogans"",
      ""text"": ""'Get Them Off The Streets'"",
      ""openFeedback"": ""This is a short, catchy rallying phrase used by protesters to condense their demand into an emotionally charged slogan."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""text"": ""it's excessive to take over 6,000 police officers off the street"",
      ""openFeedback"": ""This statement inflates the scale of the issue far beyond the reported number of officers actually placed on administrative duty (72 of 328), exaggerating the impact of the investigation."",
      ""paragraphIndex"": 3
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""casual oversimplification"",
      ""text"": ""the more vulnerable the city becomes to the crime wave they say it's already experiencing"",
      ""openFeedback"": ""This oversimplifies a complex issue by directly linking officer removal to a citywide crime wave without supporting evidence."",
      ""paragraphIndex"": 4
    }
  ]
}"
4,the latest: nadler says panel will move quickly on mcgahn,politics,Louisville Courier Journal,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
  ""annotations"": [
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""This paragraph is neutral, factual reporting on a committee chairman's statement and legislative action."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""This paragraph is neutral, factual reporting on the House vote."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""This paragraph describes legislative mechanics and includes a direct quote without loaded or polarizing framing."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""This paragraph reports Pelosi's own quoted statements without inflammatory or propagandistic framing."",
      ""paragraphIndex"": 3
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""He called her \""Nervous Nancy\"""",
      ""openFeedback"": ""This reports a loaded, derogatory nickname used to discredit Pelosi, fitting the name-calling definition."",
      ""paragraphIndex"": 4
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""This paragraph is factual reporting on the resolution's legal purpose and effects."",
      ""paragraphIndex"": 5
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""This paragraph is neutral procedural explanation about the legal standing of the vote."",
      ""paragraphIndex"": 6
    }
  ]
}"
5,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,crime,CBS,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
  ""annotations"": [
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""some low-life would deface the mural of hero"",
      ""openFeedback"": ""The vandal is labeled with the pejorative term 'low-life' rather than described neutrally."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""text"": ""It's sickening and disgusting that some low-life would deface the mural"",
      ""openFeedback"": ""Strongly emotionally charged language used to amplify the reaction to the vandalism."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""This paragraph presents speculation from the property owner without explicit loaded or propagandistic language."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""text"": ""The ignorance and disrespect shown toward police is at an all time high"",
      ""openFeedback"": ""Sweeping claim of disrespect being at an 'all time high' without supporting evidence, amplifying the sense of crisis."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""casual oversimplification"",
      ""text"": ""the DA of this city set this tone of disrespect for the city by slighting Sgt. Wilson"",
      ""openFeedback"": ""Attributes a broad citywide pattern of disrespect toward police to a single decision by the DA, oversimplifying a complex issue."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""the DA, top persecutor of this city, can tarnish the efforts"",
      ""openFeedback"": ""The DA is referred to with the loaded and distorted term 'top persecutor,' framing them negatively rather than neutrally."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""Persuasive Propaganda"",
      ""subcategory"": ""exaggeration"",
      ""text"": ""the consequences of such are as minuscule as a slap on the wrist"",
      ""openFeedback"": ""Uses hyperbolic comparison to emphasize perceived inadequacy of consequences for disrespecting officers."",
      ""paragraphIndex"": 3
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""This paragraph provides factual description of the officer's actions without polarizing language."",
      ""paragraphIndex"": 4
    }
  ]
}"
6,george conway urges trump to resign over aborted iran strike,science,The Boston Globe,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
  ""annotations"": [
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""you're even more of an idiot than people think you are"",
      ""openFeedback"": ""Direct insult labeling Trump as an idiot."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""To say this is amateur hour would defame amateurs"",
      ""openFeedback"": ""Sarcastic insult implying incompetence beyond amateurs."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""Go back to real estate, where the worst you can do is kill banks"",
      ""openFeedback"": ""Derisive comment mocking Trump's competence and past career."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""you're even more of an idiot than people think you are"",
      ""openFeedback"": ""Repeated insult from the tweet text quoted again in the article."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""To say this is amateur hour would defame amateurs"",
      ""openFeedback"": ""Repeated derogatory phrase quoted from the tweet."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""Go back to real estate, where the worst you can do is kill banks"",
      ""openFeedback"": ""Repeated mocking remark quoted from the tweet."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""Neutral factual reporting of Trump's tweet and reasoning for calling off the strike."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""Neutral factual statement about Iranian officials' claims."",
      ""paragraphIndex"": 3
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""Neutral quote from an Iranian official describing Trump's message."",
      ""paragraphIndex"": 4
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""Factual military and diplomatic reporting without emotionally charged language."",
      ""paragraphIndex"": 5
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""Official statement describing the incident without polarizing framing."",
      ""paragraphIndex"": 6
    },
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man"",
      ""openFeedback"": ""Series of loaded negative labels used to discredit Trump's character rather than his policy."",
      ""paragraphIndex"": 7
    }
  ]
}"
7,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,legal arguments,Newsweek,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
    ""category"": ""No Polarizing language"",
    ""subcategory"": ""no polarizing language"",
    ""text"": ""no polarizing language selected"",
    ""openFeedback"": ""This paragraph presents factual reporting about the Hatch Act investigation request without loaded or polarizing language."",
    ""paragraphIndex"": 0
  }"
8,"ron desantis signs amendment 4 bill, limiting felon voting",environmental issues,The Sacramento Bee,left,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
  ""annotations"": [
    {
      ""category"": ""Inflammatory Language"",
      ""subcategory"": ""name-calling"",
      ""text"": ""was called a \""poll tax\"" by critics"",
      ""openFeedback"": ""The bill is labeled with the loaded term 'poll tax' to discredit it, framed as a critics' characterization."",
      ""paragraphIndex"": 0
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""No exact span in this paragraph clearly qualifies as polarizing language beyond the historical description already noted."",
      ""paragraphIndex"": 1
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""This paragraph provides procedural and factual reporting without clear polarizing language."",
      ""paragraphIndex"": 2
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""This paragraph describes legislative interpretation without loaded or polarizing language."",
      ""paragraphIndex"": 3
    },
    {
      ""category"": ""No Polarizing language"",
      ""subcategory"": ""no polarizing language"",
      ""text"": ""no polarizing language selected"",
      ""openFeedback"": ""This paragraph presents factual claims and cost estimates without clear polarizing language."",
      ""paragraphIndex"": 4
    }
  ]
}"
9,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",science,Business Insider,center,anthropic,claude-sonnet-5,src/dataset_comparison_scripts/prompt_versions/npl_prompt_comparison/prompt_3_precision_short_spans.md,0.0,"{
    ""category"": ""No Polarizing language"",
    ""subcategory"": ""no polarizing language"",
    ""text"": ""no polarizing language selected"",
    ""openFeedback"": ""This paragraph describes the vote outcome and Kacsmaryk's record in neutral, factual terms."",
    ""paragraphIndex"": 0
  }"
