architecture,provider,model,prompt,titles_compared,prediction_total,gold_total,polarization_precision,polarization_recall,polarization_f1,category_precision,category_recall,category_f1,subcategory_precision,subcategory_recall,subcategory_f1,prediction_path,rank_by_polarization_f1,best_polarization_f1,best_category_f1,best_subcategory_f1,best_polarization_recall
decision point,multi-model,Decision point binary filter,P5 candidates + P2 adjudication + P4 label refinement,26,121,86,0.537,0.756,0.628,0.479,0.674,0.56,0.455,0.64,0.531,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/decision_point_adjudication_v1/ablations_for_heatmap/decision_point_binary_filter.json,1,True,True,True,False
decision point,multi-model,Decision point full,P5 candidates + P2 adjudication + P4 label refinement,26,121,86,0.529,0.744,0.618,0.455,0.64,0.531,0.413,0.581,0.483,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/decision_point_adjudication_v1/final_annotations.json,2,False,False,False,False
single small model,OpenAI,GPT-5 mini,P5 human aligned,26,140,86,0.486,0.791,0.602,0.421,0.686,0.522,0.386,0.628,0.478,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_5_human_aligned_precision_recall_single_models/openai_gpt_5_mini/final_annotations.json,3,False,False,False,False
OG adjudication,multi-model,GPT-5.1 + Gemini Pro + Claude Sonnet -> Claude Opus,P2 Bagozzi,26,138,86,0.486,0.779,0.598,0.428,0.686,0.527,0.384,0.616,0.473,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/adjudication_prompt_1_to_5/prompt_2_dr_bagozzi_temp0p0_run1/final_annotations.json,4,False,False,False,False
single small model,OpenAI,GPT-5 mini,P1 default,26,122,86,0.508,0.721,0.596,0.418,0.593,0.49,0.377,0.535,0.442,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_1_default_original_single_models/openai_gpt_5_mini/final_annotations.json,5,False,False,False,False
OG adjudication,multi-model,GPT-5.1 + Gemini Pro + Claude Sonnet -> Claude Opus,P5 human aligned,26,118,86,0.508,0.698,0.588,0.449,0.616,0.52,0.415,0.57,0.48,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/adjudication_prompt_1_to_5/prompt_5_human_aligned_precision_recall_temp0p0_run1/final_annotations.json,6,False,False,False,False
single strong model,Gemini,Gemini 3.1 Pro Preview,P5 human aligned,26,107,86,0.523,0.651,0.58,0.467,0.581,0.518,0.449,0.558,0.497,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_5_human_aligned_precision_recall_strong_single_models/gemini_gemini_3_1_pro_preview/final_annotations.json,7,False,False,False,False
single strong model,Gemini,Gemini 3.1 Pro Preview,P2 Bagozzi,26,98,86,0.541,0.616,0.576,0.5,0.57,0.533,0.459,0.523,0.489,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_2_dr_bagozzi_strong_single_models/gemini_gemini_3_1_pro_preview/final_annotations.json,8,False,False,False,False
decision point,multi-model,Decision point candidate union,P5 candidates + P2 adjudication + P4 label refinement,26,171,86,0.427,0.849,0.568,0.38,0.756,0.506,0.363,0.721,0.482,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/decision_point_adjudication_v1/ablations_for_heatmap/decision_point_candidate_union.json,9,False,False,False,True
single small model,OpenAI,GPT-5 mini,P2 Bagozzi,26,152,86,0.441,0.779,0.563,0.368,0.651,0.471,0.303,0.535,0.387,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/bagozzi_intersection_single_model_dr_bagozzi_prompt/openai_gpt_5_mini/final_annotations.json,10,False,False,False,False
