article_id,title,paragraph_units,pairwise_percent_agreement,exact_consensus_rate,fleiss_kappa,krippendorff_alpha_nominal
1,"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",3,0.333,0.0,-0.5,-0.417
2,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",4,1.0,1.0,1.0,1.0
3,'Every American is entitled to health care': Sen. Bernie Sanders,3,0.333,0.0,-0.35,-0.275
4,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,3,0.556,0.333,0.1,0.15
5,the latest: nadler says panel will move quickly on mcgahn,4,0.5,0.25,-0.125,-0.078
6,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,3,0.556,0.333,-0.286,-0.214
7,george conway urges trump to resign over aborted iran strike,4,0.667,0.5,0.111,0.148
8,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,3,0.333,0.0,-0.35,-0.275
9,"ron desantis signs amendment 4 bill, limiting felon voting",4,0.5,0.25,-0.333,-0.278
10,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",4,0.5,0.25,-0.029,0.014
11,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",4,0.333,0.0,-0.5,-0.438
12,BuzzFeed Journalists Protest in Push for Union Recognition,3,0.333,0.0,-0.35,-0.275
13,DC mayor says Trump's Fourth of July celebration emptied security fund,3,0.333,0.0,-0.35,-0.275
14,Protest in Madrid as conservatives suspend ban on most polluting cars,3,0.556,0.333,-0.0,0.056
15,tutankhamun sculpture's london auction sparks egyptian outcry,4,0.333,0.0,-0.333,-0.278
16,meghan markle has been branded 'difficult' by tabloids. it's the same sexism that demonizes driven women in the workplace.,4,0.5,0.25,0.0,0.042
17,Biden criticizes Amazon for paying $0 in corporate taxes,4,0.5,0.25,-0.029,0.014
18,trump vows to cure cancer and eradicate aids,4,0.333,0.0,-0.333,-0.278
19,donald trump's criminal justice reform shows results,5,0.6,0.4,0.196,0.223
20,GOP lawmaker suggests Colin Kaepernick move to a different country,3,0.556,0.333,-0.286,-0.214
21,Trump hits polling on Fox News: 'Something weird going on at Fox',3,0.556,0.333,-0.286,-0.214
22,"'if you're directly complicit in spreading hate, consider dining at home': restaurant owner who kicked sarah sanders out last year defends chicago server who spat on eric trump in a cocktail bar",4,0.667,0.5,0.314,0.343
23,"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",3,0.556,0.333,-0.286,-0.214
24,"RMV Fail: 546 license suspensions, more to come",5,0.467,0.2,-0.111,-0.074
25,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,4,0.333,0.0,-0.333,-0.278
26,"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",3,0.556,0.333,-0.286,-0.214
27,Gabbard was most searched Democratic candidate after debate despite getting third-lowest speaking time,3,0.556,0.333,-0.286,-0.214
